run_name,route_idx,route_label,bucket_idx,bucket_low,bucket_high,n,mean_pred,mean_true,bias,mae,rmse
vector20,0,primary_model,0,0.0,0.05,68,0.0,0.21589012706980987,-0.21589012706980987,0.21589012706980987,0.3377646281681811
vector20,0,primary_model,1,0.05,0.1,0,,,,,
vector20,0,primary_model,2,0.1,0.15000000000000002,0,,,,,
vector20,0,primary_model,3,0.15000000000000002,0.2,0,,,,,
vector20,0,primary_model,4,0.2,0.25,0,,,,,
vector20,0,primary_model,5,0.25,0.30000000000000004,0,,,,,
vector20,0,primary_model,6,0.30000000000000004,0.35000000000000003,0,,,,,
vector20,0,primary_model,7,0.35000000000000003,0.4,0,,,,,
vector20,0,primary_model,8,0.4,0.45,8,0.4,0.5687658870592713,-0.1687658870592713,0.24275763686746357,0.28351395040579
vector20,0,primary_model,9,0.45,0.5,2,0.45,0.321194589138031,0.128805410861969,0.321194589138031,0.34605895156587
vector20,0,primary_model,10,0.5,0.55,2,0.5,0.41518600285053253,0.08481399714946747,0.08481399714946747,0.09941405306963276
vector20,0,primary_model,11,0.55,0.6000000000000001,170,0.5997058823529411,0.6015200730632333,-0.0018141907102921608,0.2077476562471951,0.2497331690759835
vector20,0,primary_model,12,0.6000000000000001,0.65,0,,,,,
vector20,0,primary_model,13,0.65,0.7000000000000001,51,0.6960784313725493,0.670652464908712,0.02542596646383693,0.18758029365072065,0.2315073842947531
vector20,0,primary_model,14,0.7000000000000001,0.75,0,,,,,
vector20,0,primary_model,15,0.75,0.8,24,0.75,0.6625463534146547,0.08745364658534527,0.18804711910585561,0.24656514477609884
vector20,0,primary_model,16,0.8,0.8500000000000001,134,0.807462686567164,0.7546761470721729,0.05278653949499134,0.19301542517409395,0.23873977817835118
vector20,0,primary_model,17,0.8500000000000001,0.9,0,,,,,
vector20,0,primary_model,18,0.9,0.9500000000000001,41,0.9243902439024392,0.7261398899845961,0.19825035391784296,0.23383857069945915,0.31456654716384463
vector20,0,primary_model,19,0.9500000000000001,1.0,0,,,,,
vector20,1,expert_0:openai/gpt-oss-120b,0,0.0,0.05,266,0.0,0.3066522473175275,-0.3066522473175275,0.3066522473175275,0.3876911813205212
vector20,1,expert_0:openai/gpt-oss-120b,1,0.05,0.1,0,,,,,
vector20,1,expert_0:openai/gpt-oss-120b,2,0.1,0.15000000000000002,0,,,,,
vector20,1,expert_0:openai/gpt-oss-120b,3,0.15000000000000002,0.2,0,,,,,
vector20,1,expert_0:openai/gpt-oss-120b,4,0.2,0.25,83,0.19999999999999998,0.27530739977058155,-0.07530739977058157,0.17905042061963716,0.2219503205388081
vector20,1,expert_0:openai/gpt-oss-120b,5,0.25,0.30000000000000004,57,0.29385964912280704,0.31994445429167206,-0.026084805168865015,0.16428354685113097,0.207516158669775
vector20,1,expert_0:openai/gpt-oss-120b,6,0.30000000000000004,0.35000000000000003,2,0.35,0.0,0.35,0.35,0.35
vector20,1,expert_0:openai/gpt-oss-120b,7,0.35000000000000003,0.4,0,,,,,
vector20,1,expert_0:openai/gpt-oss-120b,8,0.4,0.45,73,0.39999999999999997,0.3565912228332807,0.043408777166719315,0.17647636822641713,0.2269270016693099
vector20,1,expert_0:openai/gpt-oss-120b,9,0.45,0.5,14,0.45000000000000007,0.3957698739000729,0.05423012609992707,0.16799101893390928,0.20897947082418297
vector20,1,expert_0:openai/gpt-oss-120b,10,0.5,0.55,3,0.5,0.28752317031224567,0.2124768296877543,0.23801447947820029,0.3067848683961543
vector20,1,expert_0:openai/gpt-oss-120b,11,0.55,0.6000000000000001,1,0.6,0.6416584253311157,-0.041658425331115745,0.041658425331115745,0.041658425331115745
vector20,1,expert_0:openai/gpt-oss-120b,12,0.6000000000000001,0.65,0,,,,,
vector20,1,expert_0:openai/gpt-oss-120b,13,0.65,0.7000000000000001,1,0.65,0.46409380435943604,0.185906195640564,0.185906195640564,0.185906195640564
vector20,1,expert_0:openai/gpt-oss-120b,14,0.7000000000000001,0.75,0,,,,,
vector20,1,expert_0:openai/gpt-oss-120b,15,0.75,0.8,0,,,,,
vector20,1,expert_0:openai/gpt-oss-120b,16,0.8,0.8500000000000001,0,,,,,
vector20,1,expert_0:openai/gpt-oss-120b,17,0.8500000000000001,0.9,0,,,,,
vector20,1,expert_0:openai/gpt-oss-120b,18,0.9,0.9500000000000001,0,,,,,
vector20,1,expert_0:openai/gpt-oss-120b,19,0.9500000000000001,1.0,0,,,,,
scalar20,0,primary_model,0,0.0,0.05,53,0.0,0.12808122612395376,-0.12808122612395376,0.12808122612395376,0.2462439477420469
scalar20,0,primary_model,1,0.05,0.1,0,,,,,
scalar20,0,primary_model,2,0.1,0.15000000000000002,0,,,,,
scalar20,0,primary_model,3,0.15000000000000002,0.2,0,,,,,
scalar20,0,primary_model,4,0.2,0.25,1,0.2,0.759899377822876,-0.559899377822876,0.559899377822876,0.559899377822876
scalar20,0,primary_model,5,0.25,0.30000000000000004,4,0.275,0.5303094610571861,-0.2553094610571861,0.2553094610571861,0.310099131943003
scalar20,0,primary_model,6,0.30000000000000004,0.35000000000000003,0,,,,,
scalar20,0,primary_model,7,0.35000000000000003,0.4,0,,,,,
scalar20,0,primary_model,8,0.4,0.45,4,0.4,0.4561004973948002,-0.056100497394800164,0.14855390712618827,0.17885530405311634
scalar20,0,primary_model,9,0.45,0.5,2,0.45,0.6918644607067108,-0.2418644607067108,0.2418644607067108,0.29554358328661895
scalar20,0,primary_model,10,0.5,0.55,11,0.5,0.22107778286392038,0.2789222171360796,0.2789222171360796,0.3202444685832603
scalar20,0,primary_model,11,0.55,0.6000000000000001,106,0.5995283018867923,0.5496994086875105,0.049828893199281854,0.19219479709863663,0.22885184456688976
scalar20,0,primary_model,12,0.6000000000000001,0.65,0,,,,,
scalar20,0,primary_model,13,0.65,0.7000000000000001,65,0.6984615384615386,0.576851902787502,0.12160963567403643,0.19885925765220933,0.2567372709953426
scalar20,0,primary_model,14,0.7000000000000001,0.75,0,,,,,
scalar20,0,primary_model,15,0.75,0.8,21,0.75,0.6343453079462051,0.11565469205379486,0.2305839139790762,0.29646712388690555
scalar20,0,primary_model,16,0.8,0.8500000000000001,190,0.8334210526315787,0.7496951555735186,0.08372589705806029,0.16963850201744785,0.21665444096907807
scalar20,0,primary_model,17,0.8500000000000001,0.9,0,,,,,
scalar20,0,primary_model,18,0.9,0.9500000000000001,43,0.9372093023255815,0.8634485110293987,0.07376079129618263,0.12164363098698992,0.20189074407791488
scalar20,0,primary_model,19,0.9500000000000001,1.0,0,,,,,
scalar20,1,expert_0:openai/gpt-oss-120b,0,0.0,0.05,176,0.0,0.2657891900850121,-0.2657891900850121,0.2657891900850121,0.32982001656735355
scalar20,1,expert_0:openai/gpt-oss-120b,1,0.05,0.1,0,,,,,
scalar20,1,expert_0:openai/gpt-oss-120b,2,0.1,0.15000000000000002,3,0.15,0.3552814722061157,-0.2052814722061157,0.2052814722061157,0.2471440600557803
scalar20,1,expert_0:openai/gpt-oss-120b,3,0.15000000000000002,0.2,0,,,,,
scalar20,1,expert_0:openai/gpt-oss-120b,4,0.2,0.25,84,0.19999999999999996,0.305771746229203,-0.105771746229203,0.19724399845692372,0.24585731873327143
scalar20,1,expert_0:openai/gpt-oss-120b,5,0.25,0.30000000000000004,137,0.27664233576642333,0.3400096962921811,-0.06336736052575773,0.2029328776972137,0.247981409757437
