lambda,policy,mean_reward,mean_cost,mean_utility
0,20B,0.3881118881118881,2317.6748251748254,0.3881118881118881
0,120B,0.47202797202797203,4997.79020979021,0.47202797202797203
0,20B_then_120B,0.513986013986014,5894.611888111888,0.513986013986014
1e-05,20B,0.3881118881118881,2317.6748251748254,0.36493513986013987
1e-05,120B,0.47202797202797203,4997.79020979021,0.4220500699300699
1e-05,20B_then_120B,0.513986013986014,5894.611888111888,0.4550398951048951
2e-05,20B,0.3881118881118881,2317.6748251748254,0.34175839160839155
2e-05,120B,0.47202797202797203,4997.79020979021,0.37207216783216784
2e-05,20B_then_120B,0.513986013986014,5894.611888111888,0.39609377622377623
5e-05,20B,0.3881118881118881,2317.6748251748254,0.27222814685314684
5e-05,120B,0.47202797202797203,4997.79020979021,0.2221384615384615
5e-05,20B_then_120B,0.513986013986014,5894.611888111888,0.21925541958041955
0.0001,20B,0.3881118881118881,2317.6748251748254,0.1563444055944056
0.0001,120B,0.47202797202797203,4997.79020979021,-0.027751048951048966
0.0001,20B_then_120B,0.513986013986014,5894.611888111888,-0.07547517482517486
0.0002,20B,0.3881118881118881,2317.6748251748254,-0.07542307692307694
0.0002,120B,0.47202797202797203,4997.79020979021,-0.52753006993007
0.0002,20B_then_120B,0.513986013986014,5894.611888111888,-0.6649363636363637
