method,route,n,true_success_rate,pred_success_rate_at_0_5,accuracy_at_0_5,balanced_accuracy_at_0_5,recall_success,recall_failure,roc_auc,mean_pred_prob,tp,tn,fp,fn
reward_bce_r64_qkvo_mlp_input_only_10epoch,OSS120,286,0.47202797202797203,0.40559440559440557,0.6818181818181818,0.6770909982830513,0.5925925925925926,0.7615894039735099,0.7094922737306844,0.47111357060762554,80,115,36,55
reward_bce_r64_qkvo_mlp_input_only_10epoch,OSS20,286,0.3881118881118881,0.3986013986013986,0.7307692307692307,0.719047619047619,0.6666666666666666,0.7714285714285715,0.7248906048906049,0.45157373910183674,74,135,40,37
reward_bce_r128_qkvo_mlp_input_only_10epoch,OSS120,286,0.47202797202797203,0.3811188811188811,0.6993006993006993,0.6932548442482217,0.5851851851851851,0.8013245033112583,0.7676968359087565,0.4653429900641208,79,121,30,56
reward_bce_r128_qkvo_mlp_input_only_10epoch,OSS20,286,0.3881118881118881,0.3811188811188811,0.6853146853146853,0.667078507078507,0.5855855855855856,0.7485714285714286,0.731994851994852,0.4437873304098636,65,131,44,46
reward_bce_r32_qkvo_mlp_10epoch,OSS120,286,0.47202797202797203,0.4090909090909091,0.6853146853146853,0.680794701986755,0.6,0.7615894039735099,0.7471425067451557,0.45931940833171764,81,115,36,54
reward_bce_r32_qkvo_mlp_10epoch,OSS20,286,0.3881118881118881,0.40559440559440557,0.6748251748251748,0.6618018018018018,0.6036036036036037,0.72,0.7072586872586872,0.4415717518829799,67,126,49,44
reward_bce_r64_qkvo_mlp_h2048_input_only_10epoch,OSS120,286,0.47202797202797203,0.48951048951048953,0.6678321678321678,0.6677704194260485,0.6666666666666666,0.6688741721854304,0.7149374540103017,0.49739242928636657,90,101,50,45
reward_bce_r64_qkvo_mlp_h2048_input_only_10epoch,OSS20,286,0.3881118881118881,0.46853146853146854,0.6678321678321678,0.6692664092664092,0.6756756756756757,0.6628571428571428,0.6936679536679536,0.4698537559984447,75,116,59,36
reward_bce_r32_qkvo_mlp_semantic_late_fusion_10epoch,OSS120,286,0.47202797202797203,0.45454545454545453,0.6888111888111889,0.6868530782438067,0.6518518518518519,0.7218543046357616,0.7432425803286731,0.4633670191352184,88,109,42,47
reward_bce_r32_qkvo_mlp_semantic_late_fusion_10epoch,OSS20,286,0.3881118881118881,0.40559440559440557,0.6608391608391608,0.647078507078507,0.5855855855855856,0.7085714285714285,0.7104247104247104,0.4138364040038802,65,124,51,46
reward_bce_r128_qkvo_mlp_h2048_input_only_10epoch,OSS120,286,0.47202797202797203,0.42657342657342656,0.6748251748251748,0.6712533725778759,0.6074074074074074,0.7350993377483444,0.7365219524159922,0.47647944968063516,82,111,40,53
reward_bce_r128_qkvo_mlp_h2048_input_only_10epoch,OSS20,286,0.3881118881118881,0.3881118881118881,0.6713286713286714,0.654002574002574,0.5765765765765766,0.7314285714285714,0.721956241956242,0.44707182471777174,64,128,47,47
reward_bce_10epoch,OSS120,286,0.47202797202797203,0.5104895104895105,0.6678321678321678,0.6689477557027226,0.6888888888888889,0.6490066225165563,0.710448859455482,0.4813642305927677,93,98,53,42
reward_bce_10epoch,OSS20,286,0.3881118881118881,0.4965034965034965,0.6468531468531469,0.6537709137709138,0.6846846846846847,0.6228571428571429,0.6756499356499357,0.46020892283299586,76,109,66,35
reward_bce_r32_qkvo_mlp_semantic_problem_only_input_only_10epoch,OSS120,286,0.47202797202797203,0.493006993006993,0.6713286713286714,0.6714741231297523,0.674074074074074,0.6688741721854304,0.6936472896737798,0.4841189972170583,91,101,50,44
reward_bce_r32_qkvo_mlp_semantic_problem_only_input_only_10epoch,OSS20,286,0.3881118881118881,0.493006993006993,0.6363636363636364,0.6419047619047619,0.6666666666666666,0.6171428571428571,0.660978120978121,0.43614795157959413,74,108,67,37
reward_bce_r32_qkvo_mlp_semantic_late_fusion_input_only_10epoch,OSS120,286,0.47202797202797203,0.45104895104895104,0.6643356643356644,0.6621044885945548,0.6222222222222222,0.7019867549668874,0.7492028452293353,0.47539786426545855,84,106,45,51
reward_bce_r32_qkvo_mlp_semantic_late_fusion_input_only_10epoch,OSS20,286,0.3881118881118881,0.3181818181818182,0.6643356643356644,0.6301673101673102,0.4774774774774775,0.7828571428571428,0.6805405405405406,0.4255797854670278,53,137,38,58
reward_bce_r32_qkvo_mlp_input_only_10epoch,OSS120,286,0.47202797202797203,0.4230769230769231,0.6363636363636364,0.6324748589649252,0.562962962962963,0.7019867549668874,0.6710326220259996,0.47147155287382486,76,106,45,59
