fold,pred_key,calibrator_model,route,params_json,train_n,valid_n,train_positive_rate
0,post_pred_rewards,route_prior,scout,[-2.5846060100110884],220,56,0.06818181818181818
0,post_pred_rewards,route_prior,oss,[0.2731795110851539],220,56,0.5681818181818182
0,post_pred_rewards,route_prior,gemini,[0.054311989353739716],220,56,0.5136363636363637
1,post_pred_rewards,route_prior,scout,[-2.340325420976893],221,55,0.08597285067873303
1,post_pred_rewards,route_prior,oss,[0.44882722638192185],221,55,0.6108597285067874
1,post_pred_rewards,route_prior,gemini,[0.2627627502268983],221,55,0.5656108597285068
2,post_pred_rewards,route_prior,scout,[-2.458367094553388],221,55,0.07692307692307693
2,post_pred_rewards,route_prior,oss,[0.4110989258264202],221,55,0.6018099547511312
2,post_pred_rewards,route_prior,gemini,[0.18975653528147246],221,55,0.5475113122171946
3,post_pred_rewards,route_prior,scout,[-2.232761311613007],221,55,0.09502262443438914
3,post_pred_rewards,route_prior,oss,[0.2627627502268983],221,55,0.5656108597285068
3,post_pred_rewards,route_prior,gemini,[0.04505266394094314],221,55,0.5113122171945701
4,post_pred_rewards,route_prior,scout,[-2.5220856530297544],221,55,0.07239819004524888
4,post_pred_rewards,route_prior,oss,[0.2811160606808902],221,55,0.5701357466063348
4,post_pred_rewards,route_prior,gemini,[0.2444533379009609],221,55,0.5610859728506787
0,input_pred_rewards,route_prior,scout,[-2.5846060100110884],220,56,0.06818181818181818
0,input_pred_rewards,route_prior,oss,[0.2731795110851539],220,56,0.5681818181818182
0,input_pred_rewards,route_prior,gemini,[0.054311989353739716],220,56,0.5136363636363637
1,input_pred_rewards,route_prior,scout,[-2.340325420976893],221,55,0.08597285067873303
1,input_pred_rewards,route_prior,oss,[0.44882722638192185],221,55,0.6108597285067874
1,input_pred_rewards,route_prior,gemini,[0.2627627502268983],221,55,0.5656108597285068
2,input_pred_rewards,route_prior,scout,[-2.458367094553388],221,55,0.07692307692307693
2,input_pred_rewards,route_prior,oss,[0.4110989258264202],221,55,0.6018099547511312
2,input_pred_rewards,route_prior,gemini,[0.18975653528147246],221,55,0.5475113122171946
3,input_pred_rewards,route_prior,scout,[-2.232761311613007],221,55,0.09502262443438914
3,input_pred_rewards,route_prior,oss,[0.2627627502268983],221,55,0.5656108597285068
3,input_pred_rewards,route_prior,gemini,[0.04505266394094314],221,55,0.5113122171945701
4,input_pred_rewards,route_prior,scout,[-2.5220856530297544],221,55,0.07239819004524888
4,input_pred_rewards,route_prior,oss,[0.2811160606808902],221,55,0.5701357466063348
4,input_pred_rewards,route_prior,gemini,[0.2444533379009609],221,55,0.5610859728506787
0,post_pred_rewards,route_scalar,scout,"[0.00911564774893837, -2.6181865629098096]",220,56,0.06818181818181818
0,post_pred_rewards,route_scalar,oss,"[0.025073516232529323, 0.26495701182628234]",220,56,0.5681818181818182
0,post_pred_rewards,route_scalar,gemini,"[0.025865509614515465, 0.04255369263865994]",220,56,0.5136363636363637
1,post_pred_rewards,route_scalar,scout,"[0.012125311155995239, -2.3681279642635316]",221,55,0.08597285067873303
1,post_pred_rewards,route_scalar,oss,"[0.026113290894170693, 0.44087611327363513]",221,55,0.6108597285067874
1,post_pred_rewards,route_scalar,gemini,"[0.02611451819993026, 0.25164539285677473]",221,55,0.5656108597285068
2,post_pred_rewards,route_scalar,scout,"[0.010155990168240784, -2.48854228338075]",221,55,0.07692307692307693
2,post_pred_rewards,route_scalar,oss,"[0.02318752042505445, 0.4040454178439878]",221,55,0.6018099547511312
2,post_pred_rewards,route_scalar,gemini,"[0.022504184999082032, 0.17995252752641913]",221,55,0.5475113122171946
3,post_pred_rewards,route_scalar,scout,"[0.011817326998111602, -2.258020208311816]",221,55,0.09502262443438914
3,post_pred_rewards,route_scalar,oss,"[0.022056569573893833, 0.2554791002676236]",221,55,0.5656108597285068
3,post_pred_rewards,route_scalar,gemini,"[0.019963261437110674, 0.0358320152894405]",221,55,0.5113122171945701
4,post_pred_rewards,route_scalar,scout,"[0.0087788932645841, -2.55357122723197]",221,55,0.07239819004524888
4,post_pred_rewards,route_scalar,oss,"[0.022525514616967363, 0.27372514607736514]",221,55,0.5701357466063348
4,post_pred_rewards,route_scalar,gemini,"[0.025149368725755687, 0.2336712189228644]",221,55,0.5610859728506787
0,input_pred_rewards,route_scalar,scout,"[0.001570119668944764, -2.615277522202015]",220,56,0.06818181818181818
0,input_pred_rewards,route_scalar,oss,"[0.010035504531226227, 0.2709862884920169]",220,56,0.5681818181818182
0,input_pred_rewards,route_scalar,gemini,"[0.013389207730017347, 0.04883564890338355]",220,56,0.5136363636363637
1,input_pred_rewards,route_scalar,scout,"[0.0006624850579863848, -2.364036082672081]",221,55,0.08597285067873303
1,input_pred_rewards,route_scalar,oss,"[0.008553858401056377, 0.447964457330947]",221,55,0.6108597285067874
1,input_pred_rewards,route_scalar,gemini,"[0.01148636706273485, 0.25901153306960367]",221,55,0.5656108597285068
2,input_pred_rewards,route_scalar,scout,"[0.0015921158366426274, -2.48527753060208]",221,55,0.07692307692307693
2,input_pred_rewards,route_scalar,oss,"[0.007329037414160398, 0.41045471271526945]",221,55,0.6018099547511312
2,input_pred_rewards,route_scalar,gemini,"[0.011495621674728243, 0.1856329519337958]",221,55,0.5475113122171946
3,input_pred_rewards,route_scalar,scout,"[0.0005706838366272691, -2.2539734752681797]",221,55,0.09502262443438914
3,input_pred_rewards,route_scalar,oss,"[0.00591017180592681, 0.26190814792119005]",221,55,0.5656108597285068
3,input_pred_rewards,route_scalar,gemini,"[0.007655492253262692, 0.04193656409282401]",221,55,0.5113122171945701
4,input_pred_rewards,route_scalar,scout,"[-0.00020369394685459822, -2.5502769834624943]",221,55,0.07239819004524888
4,input_pred_rewards,route_scalar,oss,"[0.008857003736822595, 0.2793576079887961]",221,55,0.5701357466063348
4,input_pred_rewards,route_scalar,gemini,"[0.01309838677099123, 0.2399495077318711]",221,55,0.5610859728506787
0,post_pred_rewards,route_vector,scout,"[0.00910157943999794, 0.008936297030454147, 0.00803331674898331, -2.6252979079972873]",220,56,0.06818181818181818
0,post_pred_rewards,route_vector,oss,"[0.016365904137807405, 0.024917179744526268, 0.027867823690452233, 0.24628217365659563]",220,56,0.5681818181818182
