policy,policy_type,lambda,n,real_pass_rate,mean_proxy_reward_of_chosen,mean_true_weighted_cost,real_utility,cost_accounting,choice_counts,called_counts
always_scout,always_direct,0.0,276,0.07971014492753623,0.4489173603515872,1971.159420289855,0.07971014492753623,direct,"{""scout"": 276}","{""scout"": 276}"
always_oss,always_direct,0.0,276,0.5833333333333334,0.4826003043730569,4014.782608695652,0.5833333333333334,direct,"{""oss"": 276}","{""oss"": 276}"
always_gemini,always_direct,0.0,276,0.5398550724637681,0.5793432107317519,7102.753623188406,0.5398550724637681,direct,"{""gemini"": 276}","{""gemini"": 276}"
post_uncalibrated_pred_reward,post_scout_router,0.0,276,0.5362318840579711,0.5916132511721329,8228.768115942028,0.5362318840579711,after_scout,"{""gemini"": 255, ""scout"": 21}","{""gemini"": 255, ""scout"": 276}"
input_uncalibrated_pred_reward_direct_accounting,input_only_router_direct,0.0,276,0.5362318840579711,0.590080021944221,6534.855072463768,0.5362318840579711,direct,"{""gemini"": 256, ""scout"": 20}","{""gemini"": 256, ""scout"": 20}"
input_uncalibrated_pred_reward_hidden_scout_accounting,input_only_router_hidden_scout,0.0,276,0.5362318840579711,0.590080021944221,8361.08695652174,0.5362318840579711,after_scout,"{""gemini"": 256, ""scout"": 20}","{""gemini"": 256, ""scout"": 276}"
post_calibrated_route_scalar,post_scout_router,0.0,276,0.5760869565217391,0.48412701647141926,6035.608695652174,0.5760869565217391,after_scout,"{""gemini"": 9, ""oss"": 267}","{""gemini"": 9, ""oss"": 267, ""scout"": 276}"
input_calibrated_route_scalar_direct_accounting,input_only_router_direct,0.0,276,0.5833333333333334,0.4826003043730569,4014.782608695652,0.5833333333333334,direct,"{""oss"": 276}","{""oss"": 276}"
input_calibrated_route_scalar_hidden_scout_accounting,input_only_router_hidden_scout,0.0,276,0.5833333333333334,0.4826003043730569,5985.942028985507,0.5833333333333334,after_scout,"{""oss"": 276}","{""oss"": 276, ""scout"": 276}"
post_calibrated_route_vector,post_scout_router,0.0,276,0.572463768115942,0.480931299474871,6194.286231884058,0.572463768115942,after_scout,"{""gemini"": 10, ""oss"": 266}","{""gemini"": 10, ""oss"": 266, ""scout"": 276}"
input_calibrated_route_vector_direct_accounting,input_only_router_direct,0.0,276,0.5833333333333334,0.4826003043730569,4014.782608695652,0.5833333333333334,direct,"{""oss"": 276}","{""oss"": 276}"
input_calibrated_route_vector_hidden_scout_accounting,input_only_router_hidden_scout,0.0,276,0.5833333333333334,0.4826003043730569,5985.942028985507,0.5833333333333334,after_scout,"{""oss"": 276}","{""oss"": 276, ""scout"": 276}"
oracle_after_scout_real_utility,oracle_after_scout,0.0,276,0.6666666666666666,0.5155697020879342,4283.702898550725,0.6666666666666666,after_scout,"{""gemini"": 20, ""oss"": 142, ""scout"": 114}","{""gemini"": 20, ""oss"": 142, ""scout"": 276}"
