fold,pred_key,calibrator_model,route,params_json,train_n,valid_n,train_positive_rate
0,post_pred_rewards,route_scalar,scout,"[0.09040672851438933, -2.6470314857882387]",220,56,0.06818181818181818
0,post_pred_rewards,route_scalar,oss,"[0.2425843239005082, 0.1827706617475628]",220,56,0.5681818181818182
0,post_pred_rewards,route_scalar,gemini,"[0.24868256604773226, -0.06087700424946407]",220,56,0.5136363636363637
1,post_pred_rewards,route_scalar,scout,"[0.11991504622020026, -2.406440178977305]",221,55,0.08597285067873303
1,post_pred_rewards,route_scalar,oss,"[0.2524677946964589, 0.3539070745650416]",221,55,0.6108597285067874
1,post_pred_rewards,route_scalar,gemini,"[0.25085347300098704, 0.14574569143685173]",221,55,0.5656108597285068
2,post_pred_rewards,route_scalar,scout,"[0.10061872294208671, -2.520996532360377]",221,55,0.07692307692307693
2,post_pred_rewards,route_scalar,oss,"[0.22438569807980205, 0.3263514929004201]",221,55,0.6018099547511312
2,post_pred_rewards,route_scalar,gemini,"[0.2164525500158732, 0.08808126745307104]",221,55,0.5475113122171946
3,post_pred_rewards,route_scalar,scout,"[0.11690609000508968, -2.2956700447397913]",221,55,0.09502262443438914
3,post_pred_rewards,route_scalar,oss,"[0.2136040831320673, 0.18181010475338674]",221,55,0.5656108597285068
3,post_pred_rewards,route_scalar,gemini,"[0.192379433921833, -0.04557194811178934]",221,55,0.5113122171945701
4,post_pred_rewards,route_scalar,scout,"[0.08705844018653518, -2.581716964194426]",221,55,0.07239819004524888
4,post_pred_rewards,route_scalar,oss,"[0.21838713761173775, 0.19832514826818382]",221,55,0.5701357466063348
4,post_pred_rewards,route_scalar,gemini,"[0.24237124292356538, 0.13099846816271427]",221,55,0.5610859728506787
0,input_pred_rewards,route_scalar,scout,"[0.015674749125398867, -2.6196895545070467]",220,56,0.06818181818181818
0,input_pred_rewards,route_scalar,oss,"[0.09924338368054572, 0.24031722754966173]",220,56,0.5681818181818182
0,input_pred_rewards,route_scalar,gemini,"[0.13150548875642976, -0.0016559933898359254]",220,56,0.5136363636363637
1,input_pred_rewards,route_scalar,scout,"[0.0066079643133084565, -2.3658276764916977]",221,55,0.08597285067873303
1,input_pred_rewards,route_scalar,oss,"[0.08469013922702993, 0.4215888871594148]",221,55,0.6108597285067874
1,input_pred_rewards,route_scalar,gemini,"[0.1130545221539064, 0.21519606702619343]",221,55,0.5656108597285068
2,input_pred_rewards,route_scalar,scout,"[0.015891636066410548, -2.4897520467778342]",221,55,0.07692307692307693
2,input_pred_rewards,route_scalar,oss,"[0.07255225322353781, 0.38769159894555894]",221,55,0.6018099547511312
2,input_pred_rewards,route_scalar,gemini,"[0.11309503054942381, 0.1415476249298597]",221,55,0.5475113122171946
3,input_pred_rewards,route_scalar,scout,"[0.00569260340478595, -2.255519064298697]",221,55,0.09502262443438914
3,input_pred_rewards,route_scalar,oss,"[0.05855917604814067, 0.24358012020658132]",221,55,0.5656108597285068
3,input_pred_rewards,route_scalar,gemini,"[0.07544386348905249, 0.012537547940815118]",221,55,0.5113122171945701
4,input_pred_rewards,route_scalar,scout,"[-0.002035102029676275, -2.5498075840860026]",221,55,0.07239819004524888
4,input_pred_rewards,route_scalar,oss,"[0.08761631256939124, 0.2522612222238148]",221,55,0.5701357466063348
4,input_pred_rewards,route_scalar,gemini,"[0.12872909085865075, 0.19031811291192585]",221,55,0.5610859728506787
0,post_pred_rewards,route_vector,scout,"[0.0890868113847991, 0.08723551742211982, 0.07809739572635441, -2.7161478704255093]",220,56,0.06818181818181818
0,post_pred_rewards,route_vector,oss,"[0.14563760159144098, 0.22846398004942403, 0.25650911635337476, 0.017872192240469303]",220,56,0.5681818181818182
0,post_pred_rewards,route_vector,gemini,"[0.1081543536437668, 0.19340716939514216, 0.23795865770440458, -0.16722645268465822]",220,56,0.5136363636363637
1,post_pred_rewards,route_vector,scout,"[0.11778337632932359, 0.10520489099840327, 0.09769926173436161, -2.492791676662802]",221,55,0.08597285067873303
1,post_pred_rewards,route_vector,oss,"[0.15358681401796892, 0.2376353049316684, 0.26169738438572326, 0.18240998122259044]",221,55,0.6108597285067874
1,post_pred_rewards,route_vector,gemini,"[0.12884421543913144, 0.20730915232676744, 0.23850051929128024, 0.026397471234751464]",221,55,0.5656108597285068
2,post_pred_rewards,route_vector,scout,"[0.09914002935652882, 0.08909124389601546, 0.07667153015495383, -2.5916207731774317]",221,55,0.07692307692307693
2,post_pred_rewards,route_vector,oss,"[0.1433658339349008, 0.21143134977926753, 0.23367744363633602, 0.16975277124468477]",221,55,0.6018099547511312
2,post_pred_rewards,route_vector,gemini,"[0.10689474221560816, 0.1704893578710125, 0.20667644247787006, -0.011340061649093191]",221,55,0.5475113122171946
3,post_pred_rewards,route_vector,scout,"[0.11479815899294352, 0.10724164273243758, 0.09861697217116491, -2.3832127002880212]",221,55,0.09502262443438914
3,post_pred_rewards,route_vector,oss,"[0.12081933324389021, 0.20209406314011708, 0.22120140786464906, 0.03889135105542944]",221,55,0.5656108597285068
3,post_pred_rewards,route_vector,gemini,"[0.07403071229022617, 0.1555939322493555, 0.18452240043080795, -0.1281402928578353]",221,55,0.5113122171945701
4,post_pred_rewards,route_vector,scout,"[0.08577614986999754, 0.08486511767410039, 0.07890947429006431, -2.6515940904060025]",221,55,0.07239819004524888
4,post_pred_rewards,route_vector,oss,"[0.13268709691408168, 0.20640118806662344, 0.230647194815798, 0.046503048010380924]",221,55,0.5701357466063348
4,post_pred_rewards,route_vector,gemini,"[0.09440014299851755, 0.1989733065196147, 0.23258855696999298, 0.025268534559726094]",221,55,0.5610859728506787
0,input_pred_rewards,route_vector,scout,"[0.015610820741123937, 0.016548615693513454, 0.016006155570678863, -2.6322033865208776]",220,56,0.06818181818181818
0,input_pred_rewards,route_vector,oss,"[0.04489246279690517, 0.09694810285551514, 0.1298868539192621, 0.1720751257856311]",220,56,0.5681818181818182
0,input_pred_rewards,route_vector,gemini,"[0.024074553013037445, 0.08892725428282387, 0.12997750819038106, -0.03882785868732915]",220,56,0.5136363636363637
1,input_pred_rewards,route_vector,scout,"[0.006606638803131039, 0.007013059731046248, 0.0060620557173707845, -2.3708544107632807]",221,55,0.08597285067873303
1,input_pred_rewards,route_vector,oss,"[0.03997203304934159, 0.08293741775836101, 0.11084763964091897, 0.36234723268767716]",221,55,0.6108597285067874
1,input_pred_rewards,route_vector,gemini,"[0.027033469924614403, 0.07934845716480639, 0.11178653831455784, 0.1801203375469988]",221,55,0.5656108597285068
2,input_pred_rewards,route_vector,scout,"[0.015831309658943787, 0.015294143713413063, 0.014166677187553576, -2.501217862418854]",221,55,0.07692307692307693
2,input_pred_rewards,route_vector,oss,"[0.03851915494345258, 0.07102388970609641, 0.09286143128020544, 0.3362247899640663]",221,55,0.6018099547511312
2,input_pred_rewards,route_vector,gemini,"[0.028071401522093507, 0.07897043621410865, 0.11180431864091833, 0.1060180807489467]",221,55,0.5475113122171946
3,input_pred_rewards,route_vector,scout,"[0.005668316494488164, 0.007092272639567331, 0.006888497256920616, -2.2609615283254874]",221,55,0.09502262443438914
3,input_pred_rewards,route_vector,oss,"[0.017827645780946578, 0.05742691041074481, 0.08288029581345076, 0.20264268294055926]",221,55,0.5656108597285068
3,input_pred_rewards,route_vector,gemini,"[0.006232159925614858, 0.04771388130192841, 0.07481481373128614, -0.005682214149893163]",221,55,0.5113122171945701
4,input_pred_rewards,route_vector,scout,"[-0.0020386748228577727, 0.00018158712386242483, 0.0013248600981194954, -2.550440963913557]",221,55,0.07239819004524888
4,input_pred_rewards,route_vector,oss,"[0.05138711611203102, 0.08564364696026654, 0.1088447307908185, 0.1908641403937508]",221,55,0.5701357466063348
4,input_pred_rewards,route_vector,gemini,"[0.039545882071880804, 0.09324348194708709, 0.12707913344718103, 0.14713914556631064]",221,55,0.5610859728506787
