policy,policy_type,lambda,n,real_pass_rate,mean_proxy_reward_of_chosen,mean_true_weighted_cost,real_utility,cost_accounting,choice_counts,called_counts
always_scout,always_direct,0.0,369,0.06775067750677506,0.38750221891891207,1973.7046070460704,0.06775067750677506,direct,"{""scout"": 369}","{""scout"": 369}"
always_oss,always_direct,0.0,369,0.4878048780487805,0.42032667132483703,4246.504065040651,0.4878048780487805,direct,"{""oss"": 369}","{""oss"": 369}"
always_gemini,always_direct,0.0,369,0.4932249322493225,0.5471075881462932,9045.09485094851,0.4932249322493225,direct,"{""gemini"": 369}","{""gemini"": 369}"
post_uncalibrated_pred_reward,post_scout_router,0.0,369,0.4905149051490515,0.5586335158527503,9215.764227642276,0.4905149051490515,after_scout,"{""gemini"": 342, ""scout"": 27}","{""gemini"": 342, ""scout"": 369}"
input_uncalibrated_pred_reward_direct_accounting,input_only_router_direct,0.0,369,0.4878048780487805,0.5559451211919009,6971.219512195122,0.4878048780487805,direct,"{""gemini"": 336, ""scout"": 33}","{""gemini"": 336, ""scout"": 33}"
input_uncalibrated_pred_reward_hidden_scout_accounting,input_only_router_hidden_scout,0.0,369,0.4878048780487805,0.5559451211919009,8766.062330623306,0.4878048780487805,after_scout,"{""gemini"": 336, ""scout"": 33}","{""gemini"": 336, ""scout"": 369}"
post_calibrated_route_prior,post_scout_router,0.0,369,0.4796747967479675,0.4869959202857391,8795.631436314363,0.4796747967479675,after_scout,"{""gemini"": 221, ""oss"": 148}","{""gemini"": 221, ""oss"": 148, ""scout"": 369}"
input_calibrated_route_prior_direct_accounting,input_only_router_direct,0.0,369,0.4796747967479675,0.4869959202857391,6821.926829268293,0.4796747967479675,direct,"{""gemini"": 221, ""oss"": 148}","{""gemini"": 221, ""oss"": 148}"
input_calibrated_route_prior_hidden_scout_accounting,input_only_router_hidden_scout,0.0,369,0.4796747967479675,0.4869959202857391,8795.631436314363,0.4796747967479675,after_scout,"{""gemini"": 221, ""oss"": 148}","{""gemini"": 221, ""oss"": 148, ""scout"": 369}"
post_calibrated_route_scalar,post_scout_router,0.0,369,0.4796747967479675,0.5050868328015162,9136.032520325203,0.4796747967479675,after_scout,"{""gemini"": 264, ""oss"": 105}","{""gemini"": 264, ""oss"": 105, ""scout"": 369}"
input_calibrated_route_scalar_direct_accounting,input_only_router_direct,0.0,369,0.47696476964769646,0.5101397107226628,7265.192411924119,0.47696476964769646,direct,"{""gemini"": 280, ""oss"": 89}","{""gemini"": 280, ""oss"": 89}"
input_calibrated_route_scalar_hidden_scout_accounting,input_only_router_hidden_scout,0.0,369,0.47696476964769646,0.5101397107226628,9238.89701897019,0.47696476964769646,after_scout,"{""gemini"": 280, ""oss"": 89}","{""gemini"": 280, ""oss"": 89, ""scout"": 369}"
post_calibrated_route_vector,post_scout_router,0.0,369,0.4715447154471545,0.5009153589626542,9110.18699186992,0.4715447154471545,after_scout,"{""gemini"": 258, ""oss"": 111}","{""gemini"": 258, ""oss"": 111, ""scout"": 369}"
input_calibrated_route_vector_direct_accounting,input_only_router_direct,0.0,369,0.47696476964769646,0.5080357878515742,7176.241192411924,0.47696476964769646,direct,"{""gemini"": 269, ""oss"": 100}","{""gemini"": 269, ""oss"": 100}"
input_calibrated_route_vector_hidden_scout_accounting,input_only_router_hidden_scout,0.0,369,0.47696476964769646,0.5080357878515742,9149.945799457995,0.47696476964769646,after_scout,"{""gemini"": 269, ""oss"": 100}","{""gemini"": 269, ""oss"": 100, ""scout"": 369}"
oracle_after_scout_real_utility,oracle_after_scout,0.0,369,0.6043360433604336,0.4781038174580693,4288.661246612466,0.6043360433604336,after_scout,"{""gemini"": 37, ""oss"": 161, ""scout"": 171}","{""gemini"": 37, ""oss"": 161, ""scout"": 369}"
oracle_direct_real_utility,oracle_direct,0.0,369,0.6043360433604336,0.4781038174580693,3227.9430894308944,0.6043360433604336,direct,"{""gemini"": 37, ""oss"": 161, ""scout"": 171}","{""gemini"": 37, ""oss"": 161, ""scout"": 171}"
always_scout,always_direct,1e-05,369,0.06775067750677506,0.38750221891891207,1973.7046070460704,0.04801363143631436,direct,"{""scout"": 369}","{""scout"": 369}"
always_oss,always_direct,1e-05,369,0.4878048780487805,0.42032667132483703,4246.504065040651,0.44533983739837396,direct,"{""oss"": 369}","{""oss"": 369}"
always_gemini,always_direct,1e-05,369,0.4932249322493225,0.5471075881462932,9045.09485094851,0.4027739837398374,direct,"{""gemini"": 369}","{""gemini"": 369}"
post_uncalibrated_pred_reward,post_scout_router,1e-05,369,0.46883468834688347,0.5534344251474592,8031.661246612466,0.3885180758807588,after_scout,"{""gemini"": 301, ""oss"": 7, ""scout"": 61}","{""gemini"": 301, ""oss"": 7, ""scout"": 369}"
input_uncalibrated_pred_reward_direct_accounting,input_only_router_direct,1e-05,369,0.4742547425474255,0.5531556592854937,6595.514905149052,0.408299593495935,direct,"{""gemini"": 321, ""scout"": 48}","{""gemini"": 321, ""scout"": 48}"
input_uncalibrated_pred_reward_hidden_scout_accounting,input_only_router_hidden_scout,1e-05,369,0.4634146341463415,0.5502741374530549,8237.878048780487,0.3810358536585366,after_scout,"{""gemini"": 315, ""scout"": 54}","{""gemini"": 315, ""scout"": 369}"
post_calibrated_route_prior,post_scout_router,1e-05,369,0.4878048780487805,0.42032667132483703,6220.208672086721,0.42560279132791323,after_scout,"{""oss"": 369}","{""oss"": 369, ""scout"": 369}"
input_calibrated_route_prior_direct_accounting,input_only_router_direct,1e-05,369,0.4878048780487805,0.42032667132483703,4246.504065040651,0.44533983739837396,direct,"{""oss"": 369}","{""oss"": 369}"
input_calibrated_route_prior_hidden_scout_accounting,input_only_router_hidden_scout,1e-05,369,0.4878048780487805,0.42032667132483703,6220.208672086721,0.42560279132791323,after_scout,"{""oss"": 369}","{""oss"": 369, ""scout"": 369}"
