fold,pred_key,calibrator_model,route,params_json,train_n,valid_n,train_positive_rate
0,post_pred_rewards,route_prior,scout,[-2.7672171784378703],295,74,0.0576271186440678
0,post_pred_rewards,route_prior,oss,[-0.03378699757738321],295,74,0.4915254237288136
0,post_pred_rewards,route_prior,gemini,[-0.0473061173969371],295,74,0.488135593220339
1,post_pred_rewards,route_prior,scout,[-2.6517963553926887],295,74,0.06440677966101695
1,post_pred_rewards,route_prior,oss,[-0.11499140871878767],295,74,0.4711864406779661
1,post_pred_rewards,route_prior,gemini,[-0.11499140871878767],295,74,0.4711864406779661
2,post_pred_rewards,route_prior,scout,[-2.598162742448607],295,74,0.06779661016949153
2,post_pred_rewards,route_prior,oss,[-0.0473061173969371],295,74,0.488135593220339
2,post_pred_rewards,route_prior,gemini,[0.020270964373618985],295,74,0.5050847457627119
3,post_pred_rewards,route_prior,scout,[-2.4506381929531855],295,74,0.07796610169491526
3,post_pred_rewards,route_prior,oss,[0.020270964373618985],295,74,0.5050847457627119
3,post_pred_rewards,route_prior,gemini,[0.047306117396937054],295,74,0.511864406779661
4,post_pred_rewards,route_prior,scout,[-2.550534693459352],296,73,0.07094594594594594
4,post_pred_rewards,route_prior,oss,[-0.06736553182757607],296,73,0.4831081081081081
4,post_pred_rewards,route_prior,gemini,[-0.040409538337876784],296,73,0.48986486486486486
0,input_pred_rewards,route_prior,scout,[-2.7672171784378703],295,74,0.0576271186440678
0,input_pred_rewards,route_prior,oss,[-0.03378699757738321],295,74,0.4915254237288136
0,input_pred_rewards,route_prior,gemini,[-0.0473061173969371],295,74,0.488135593220339
1,input_pred_rewards,route_prior,scout,[-2.6517963553926887],295,74,0.06440677966101695
1,input_pred_rewards,route_prior,oss,[-0.11499140871878767],295,74,0.4711864406779661
1,input_pred_rewards,route_prior,gemini,[-0.11499140871878767],295,74,0.4711864406779661
2,input_pred_rewards,route_prior,scout,[-2.598162742448607],295,74,0.06779661016949153
2,input_pred_rewards,route_prior,oss,[-0.0473061173969371],295,74,0.488135593220339
2,input_pred_rewards,route_prior,gemini,[0.020270964373618985],295,74,0.5050847457627119
3,input_pred_rewards,route_prior,scout,[-2.4506381929531855],295,74,0.07796610169491526
3,input_pred_rewards,route_prior,oss,[0.020270964373618985],295,74,0.5050847457627119
3,input_pred_rewards,route_prior,gemini,[0.047306117396937054],295,74,0.511864406779661
4,input_pred_rewards,route_prior,scout,[-2.550534693459352],296,73,0.07094594594594594
4,input_pred_rewards,route_prior,oss,[-0.06736553182757607],296,73,0.4831081081081081
4,input_pred_rewards,route_prior,gemini,[-0.040409538337876784],296,73,0.48986486486486486
0,post_pred_rewards,route_scalar,scout,"[0.010735458347100237, -2.7976404068649856]",295,74,0.0576271186440678
0,post_pred_rewards,route_scalar,oss,"[0.026510702919818552, -0.04340028087594194]",295,74,0.4915254237288136
