policy,policy_type,lambda,n,real_pass_rate,mean_proxy_reward_of_chosen,mean_true_weighted_cost,real_utility,choice_counts,cascade_order,cascade_order_labels,thresholds
always_scout,always_direct,0.0,276,0.07971014492753623,0.4489173603515872,1971.159420289855,0.07971014492753623,"{""Scout"": 276}",,,
always_oss,always_direct,0.0,276,0.5833333333333334,0.4826003043730569,4014.782608695652,0.5833333333333334,"{""OSS"": 276}",,,
always_gemini,always_direct,0.0,276,0.5398550724637681,0.5793432107317519,3551.376811594203,0.5398550724637681,"{""Gemini"": 276}",,,
post_scout_router,router_after_scout,0.0,276,0.5362318840579711,0.5916132511721329,5099.963768115942,0.5362318840579711,"{""Gemini"": 255, ""Scout"": 21}",,,
post_scout_reward_only,router_after_scout_reward_only,0.0,276,0.5362318840579711,0.5916132511721329,5099.963768115942,0.5362318840579711,"{""Gemini"": 255, ""Scout"": 21}",,,
oracle_after_scout_real_utility,oracle_after_scout,0.0,276,0.6666666666666666,0.5155697020879342,4057.3985507246375,0.6666666666666666,"{""Gemini"": 20, ""OSS"": 142, ""Scout"": 114}",,,
always_scout,always_direct,1e-06,276,0.07971014492753623,0.4489173603515872,1971.159420289855,0.07773898550724637,"{""Scout"": 276}",,,
always_oss,always_direct,1e-06,276,0.5833333333333334,0.4826003043730569,4014.782608695652,0.5793185507246377,"{""OSS"": 276}",,,
always_gemini,always_direct,1e-06,276,0.5398550724637681,0.5793432107317519,3551.376811594203,0.5363036956521738,"{""Gemini"": 276}",,,
post_scout_router,router_after_scout,1e-06,276,0.5362318840579711,0.5916132511721329,5099.963768115942,0.5311319202898551,"{""Gemini"": 255, ""Scout"": 21}",,,
post_scout_reward_only,router_after_scout_reward_only,1e-06,276,0.5362318840579711,0.5916132511721329,5099.963768115942,0.5311319202898551,"{""Gemini"": 255, ""Scout"": 21}",,,
oracle_after_scout_real_utility,oracle_after_scout,1e-06,276,0.6666666666666666,0.55703982604119,3506.804347826087,0.6631598623188405,"{""Gemini"": 89, ""OSS"": 73, ""Scout"": 114}",,,
always_scout,always_direct,2e-06,276,0.07971014492753623,0.4489173603515872,1971.159420289855,0.07576782608695651,"{""Scout"": 276}",,,
always_oss,always_direct,2e-06,276,0.5833333333333334,0.4826003043730569,4014.782608695652,0.5753037681159421,"{""OSS"": 276}",,,
always_gemini,always_direct,2e-06,276,0.5398550724637681,0.5793432107317519,3551.376811594203,0.5327523188405797,"{""Gemini"": 276}",,,
post_scout_router,router_after_scout,2e-06,276,0.5398550724637681,0.5927848931815367,5090.797101449275,0.5296734782608695,"{""Gemini"": 254, ""Scout"": 22}",,,
post_scout_reward_only,router_after_scout_reward_only,2e-06,276,0.5362318840579711,0.5916132511721329,5099.963768115942,0.5260319565217392,"{""Gemini"": 255, ""Scout"": 21}",,,
oracle_after_scout_real_utility,oracle_after_scout,2e-06,276,0.6666666666666666,0.55703982604119,3506.804347826087,0.6596530579710145,"{""Gemini"": 89, ""OSS"": 73, ""Scout"": 114}",,,
always_scout,always_direct,3e-06,276,0.07971014492753623,0.4489173603515872,1971.159420289855,0.07379666666666666,"{""Scout"": 276}",,,
always_oss,always_direct,3e-06,276,0.5833333333333334,0.4826003043730569,4014.782608695652,0.5712889855072464,"{""OSS"": 276}",,,
always_gemini,always_direct,3e-06,276,0.5398550724637681,0.5793432107317519,3551.376811594203,0.5292009420289855,"{""Gemini"": 276}",,,
post_scout_router,router_after_scout,3e-06,276,0.5398550724637681,0.5927848931815367,5090.797101449275,0.5245826811594202,"{""Gemini"": 254, ""Scout"": 22}",,,
post_scout_reward_only,router_after_scout_reward_only,3e-06,276,0.5362318840579711,0.5916132511721329,5099.963768115942,0.5209319927536232,"{""Gemini"": 255, ""Scout"": 21}",,,
oracle_after_scout_real_utility,oracle_after_scout,3e-06,276,0.6666666666666666,0.55703982604119,3506.804347826087,0.6561462536231883,"{""Gemini"": 89, ""OSS"": 73, ""Scout"": 114}",,,
always_scout,always_direct,5e-06,276,0.07971014492753623,0.4489173603515872,1971.159420289855,0.06985434782608695,"{""Scout"": 276}",,,
always_oss,always_direct,5e-06,276,0.5833333333333334,0.4826003043730569,4014.782608695652,0.5632594202898551,"{""OSS"": 276}",,,
