policy,policy_type,lambda,n,real_pass_rate,mean_proxy_reward_of_chosen,mean_true_weighted_cost,real_utility,choice_counts,cascade_order,cascade_order_labels,thresholds
always_scout,always_direct,0.0,276,0.07971014492753623,0.4489173603515872,1971.159420289855,0.07971014492753623,"{""Scout"": 276}",,,
always_oss,always_direct,0.0,276,0.5833333333333334,0.4826003043730569,4014.782608695652,0.5833333333333334,"{""OSS"": 276}",,,
always_gemini,always_direct,0.0,276,0.5398550724637681,0.5793432107317519,3551.376811594203,0.5398550724637681,"{""Gemini"": 276}",,,
post_scout_router,router_after_scout,0.0,276,0.5362318840579711,0.5916132511721329,5099.963768115942,0.5362318840579711,"{""Gemini"": 255, ""Scout"": 21}",,,
post_scout_reward_only,router_after_scout_reward_only,0.0,276,0.5362318840579711,0.5916132511721329,5099.963768115942,0.5362318840579711,"{""Gemini"": 255, ""Scout"": 21}",,,
oracle_after_scout_real_utility,oracle_after_scout,0.0,276,0.6666666666666666,0.5155697020879342,4057.3985507246375,0.6666666666666666,"{""Gemini"": 20, ""OSS"": 142, ""Scout"": 114}",,,
always_scout,always_direct,1e-05,276,0.07971014492753623,0.4489173603515872,1971.159420289855,0.059998550724637674,"{""Scout"": 276}",,,
always_oss,always_direct,1e-05,276,0.5833333333333334,0.4826003043730569,4014.782608695652,0.5431855072463768,"{""OSS"": 276}",,,
always_gemini,always_direct,1e-05,276,0.5398550724637681,0.5793432107317519,3551.376811594203,0.504341304347826,"{""Gemini"": 276}",,,
post_scout_router,router_after_scout,1e-05,276,0.5398550724637681,0.5930716574659934,5065.507246376812,0.48919999999999997,"{""Gemini"": 252, ""Scout"": 24}",,,
post_scout_reward_only,router_after_scout_reward_only,1e-05,276,0.5362318840579711,0.5916132511721329,5099.963768115942,0.4852322463768116,"{""Gemini"": 255, ""Scout"": 21}",,,
oracle_after_scout_real_utility,oracle_after_scout,1e-05,276,0.6666666666666666,0.55703982604119,3506.804347826087,0.6315986231884058,"{""Gemini"": 89, ""OSS"": 73, ""Scout"": 114}",,,
always_scout,always_direct,2e-05,276,0.07971014492753623,0.4489173603515872,1971.159420289855,0.04028695652173912,"{""Scout"": 276}",,,
always_oss,always_direct,2e-05,276,0.5833333333333334,0.4826003043730569,4014.782608695652,0.5030376811594204,"{""OSS"": 276}",,,
always_gemini,always_direct,2e-05,276,0.5398550724637681,0.5793432107317519,3551.376811594203,0.468827536231884,"{""Gemini"": 276}",,,
post_scout_router,router_after_scout,2e-05,276,0.5144927536231884,0.587088025023563,4749.384057971014,0.41950507246376806,"{""Gemini"": 227, ""Scout"": 49}",,,
post_scout_reward_only,router_after_scout_reward_only,2e-05,276,0.5362318840579711,0.5916132511721329,5099.963768115942,0.4342326086956522,"{""Gemini"": 255, ""Scout"": 21}",,,
oracle_after_scout_real_utility,oracle_after_scout,2e-05,276,0.6666666666666666,0.55703982604119,3506.804347826087,0.5965305797101449,"{""Gemini"": 89, ""OSS"": 73, ""Scout"": 114}",,,
always_scout,always_direct,5e-05,276,0.07971014492753623,0.4489173603515872,1971.159420289855,-0.018847826086956523,"{""Scout"": 276}",,,
always_oss,always_direct,5e-05,276,0.5833333333333334,0.4826003043730569,4014.782608695652,0.38259420289855073,"{""OSS"": 276}",,,
always_gemini,always_direct,5e-05,276,0.5398550724637681,0.5793432107317519,3551.376811594203,0.36228623188405795,"{""Gemini"": 276}",,,
post_scout_router,router_after_scout,5e-05,276,0.17753623188405798,0.4865924630127214,2409.927536231884,0.05703985507246377,"{""Gemini"": 44, ""Scout"": 232}",,,
post_scout_reward_only,router_after_scout_reward_only,5e-05,276,0.5362318840579711,0.5916132511721329,5099.963768115942,0.28123369565217393,"{""Gemini"": 255, ""Scout"": 21}",,,
oracle_after_scout_real_utility,oracle_after_scout,5e-05,276,0.6666666666666666,0.55703982604119,3506.804347826087,0.4913264492753623,"{""Gemini"": 89, ""OSS"": 73, ""Scout"": 114}",,,
always_scout,always_direct,0.0001,276,0.07971014492753623,0.4489173603515872,1971.159420289855,-0.11740579710144927,"{""Scout"": 276}",,,
always_oss,always_direct,0.0001,276,0.5833333333333334,0.4826003043730569,4014.782608695652,0.18185507246376814,"{""OSS"": 276}",,,
