subset,score,n,n_gemini_wins,n_oss_wins,auc_gemini_win,pearson_with_gemini_win,acc_threshold_zero,best_threshold_acc_in_sample,best_threshold,best_direction,mean_score_gemini_win,mean_score_oss_win
oss_gemini_disagree_any_scout,proxy_delta_gemini_minus_oss,54,21,33,0.847041847041847,0.573207227641656,0.7962962962962963,0.7962962962962963,0.00813015286739524,1,0.25720750728512753,-0.10214949286022112
oss_gemini_disagree_any_scout,post_pred_delta_gemini_minus_oss,54,21,33,0.5440115440115441,0.19137213740422868,0.4074074074074074,0.6111111111111112,-0.017578126,-1,0.0929594494047619,0.08140980113636363
oss_gemini_disagree_any_scout,input_pred_delta_gemini_minus_oss,54,21,33,0.5678210678210678,0.1751737663067227,0.42592592592592593,0.6296296296296297,0.1064453125,1,0.09207589285714286,0.08336292613636363
oss_gemini_disagree_any_scout,post_calibrated_route_prior_delta_gemini_minus_oss,54,21,33,0.34559884559884557,-0.30593537723670944,0.6111111111111112,0.6111111111111112,-0.05429864353393668,-1,-0.04766563590093,-0.03579268285150636
oss_gemini_disagree_any_scout,post_calibrated_route_scalar_delta_gemini_minus_oss,54,21,33,0.3463203463203463,-0.3052678780916924,0.6111111111111112,0.6481481481481481,-0.05440125822686814,-1,-0.04785697369400914,-0.03597468937873339
oss_gemini_disagree_any_scout,post_calibrated_route_vector_delta_gemini_minus_oss,54,21,33,0.3621933621933622,-0.3050752742049742,0.6111111111111112,0.6666666666666666,-0.05397144200317866,-1,-0.04783668875135153,-0.035950379704582994
oss_gemini_disagree_any_scout,input_calibrated_route_scalar_delta_gemini_minus_oss,54,21,33,0.33910533910533913,-0.30549976590397776,0.6111111111111112,0.6851851851851852,-0.054246351124656755,-1,-0.047856324404048835,-0.03594425776951658
oss_gemini_disagree_any_scout,input_calibrated_route_vector_delta_gemini_minus_oss,54,21,33,0.3116883116883117,-0.3062028847782061,0.6111111111111112,0.7222222222222222,-0.05428841824791192,-1,-0.0478865886952106,-0.03594745873225378
oss_gemini_disagree_scout_fails,proxy_delta_gemini_minus_oss,50,20,30,0.8433333333333334,0.5698697515212925,0.78,0.8,0.04461761343680114,1,0.2687031038670727,-0.09034849422025401
oss_gemini_disagree_scout_fails,post_pred_delta_gemini_minus_oss,50,20,30,0.5208333333333334,0.1369746057278668,0.42,0.6,-0.017578126,-1,0.092529296875,0.08538411458333334
oss_gemini_disagree_scout_fails,input_pred_delta_gemini_minus_oss,50,20,30,0.54,0.14314741401311853,0.44,0.62,0.1064453125,1,0.09150390625,0.08440755208333334
oss_gemini_disagree_scout_fails,post_calibrated_route_prior_delta_gemini_minus_oss,50,20,30,0.36,-0.27759755888933646,0.6,0.6,-0.05429864353393668,-1,-0.047796665443724254,-0.03726984903455488
oss_gemini_disagree_scout_fails,post_calibrated_route_scalar_delta_gemini_minus_oss,50,20,30,0.355,-0.2774550302374328,0.6,0.64,-0.05440125822686814,-1,-0.04799142348138631,-0.03743788196991263
oss_gemini_disagree_scout_fails,post_calibrated_route_vector_delta_gemini_minus_oss,50,20,30,0.37333333333333335,-0.27696736286213797,0.6,0.66,-0.05397144200317866,-1,-0.047968792130759004,-0.03741831560281259
oss_gemini_disagree_scout_fails,input_calibrated_route_scalar_delta_gemini_minus_oss,50,20,30,0.35333333333333333,-0.2771573393374335,0.6,0.68,-0.054246351124656755,-1,-0.047988680598060614,-0.03742839054343997
oss_gemini_disagree_scout_fails,input_calibrated_route_vector_delta_gemini_minus_oss,50,20,30,0.32,-0.27792415507998425,0.6,0.72,-0.05428841824791192,-1,-0.04801906641030386,-0.03743034292002608
