policy,policy_type,lambda,n,real_pass_rate,mean_proxy_reward_of_chosen,mean_true_weighted_cost,real_utility,choice_counts,called_counts,cost_accounting
always_scout,always_direct,0.0,369,0.06775067750677506,0.38750221891891207,1973.7046070460704,0.06775067750677506,"{""scout"": 369}","{""scout"": 369}",direct
always_oss,always_direct,0.0,369,0.4878048780487805,0.42032667132483703,4246.504065040651,0.4878048780487805,"{""oss"": 369}","{""oss"": 369}",direct
always_gemini,always_direct,0.0,369,0.4932249322493225,0.5471075881462932,9045.09485094851,0.4932249322493225,"{""gemini"": 369}","{""gemini"": 369}",direct
post_scout_router,router_after_scout,0.0,369,0.4905149051490515,0.5586335158527503,9215.764227642276,0.4905149051490515,"{""gemini"": 342, ""scout"": 27}","{""gemini"": 342, ""scout"": 369}",after
input_only_router,router_after_scout,0.0,369,0.4878048780487805,0.5559451211919009,8766.062330623306,0.4878048780487805,"{""gemini"": 336, ""scout"": 33}","{""gemini"": 336, ""scout"": 369}",after
cascade_order_threshold_search,cascade,0.0,369,0.4634146341463415,0.5486540629083747,9669.585365853658,0.4634146341463415,"{""gemini"": 289, ""oss"": 13, ""scout"": 67}","{""gemini"": 369, ""oss"": 13, ""scout"": 80}",cascade
oracle_after_scout_real_utility,oracle_after_scout,0.0,369,0.6043360433604336,0.4781038174580693,4288.661246612466,0.6043360433604336,"{""gemini"": 37, ""oss"": 161, ""scout"": 171}","{""gemini"": 37, ""oss"": 161, ""scout"": 369}",after
always_scout,always_direct,1e-05,369,0.06775067750677506,0.38750221891891207,1973.7046070460704,0.04801363143631436,"{""scout"": 369}","{""scout"": 369}",direct
always_oss,always_direct,1e-05,369,0.4878048780487805,0.42032667132483703,4246.504065040651,0.44533983739837396,"{""oss"": 369}","{""oss"": 369}",direct
always_gemini,always_direct,1e-05,369,0.4932249322493225,0.5471075881462932,9045.09485094851,0.4027739837398374,"{""gemini"": 369}","{""gemini"": 369}",direct
post_scout_router,router_after_scout,1e-05,369,0.46883468834688347,0.5534344251474592,8031.661246612466,0.3885180758807588,"{""gemini"": 301, ""oss"": 7, ""scout"": 61}","{""gemini"": 301, ""oss"": 7, ""scout"": 369}",after
input_only_router,router_after_scout,1e-05,369,0.4634146341463415,0.5502741374530549,8237.878048780487,0.3810358536585366,"{""gemini"": 315, ""scout"": 54}","{""gemini"": 315, ""scout"": 369}",after
cascade_order_threshold_search,cascade,1e-05,369,0.10840108401084012,0.4271866917409592,2484.6639566395665,0.08355444444444445,"{""oss"": 40, ""scout"": 329}","{""oss"": 40, ""scout"": 369}",cascade
oracle_after_scout_real_utility,oracle_after_scout,1e-05,369,0.6043360433604336,0.49623932078725513,4133.09485094851,0.5630050948509484,"{""gemini"": 68, ""oss"": 130, ""scout"": 171}","{""gemini"": 68, ""oss"": 130, ""scout"": 369}",after
always_scout,always_direct,2e-05,369,0.06775067750677506,0.38750221891891207,1973.7046070460704,0.028276585365853653,"{""scout"": 369}","{""scout"": 369}",direct
always_oss,always_direct,2e-05,369,0.4878048780487805,0.42032667132483703,4246.504065040651,0.40287479674796745,"{""oss"": 369}","{""oss"": 369}",direct
always_gemini,always_direct,2e-05,369,0.4932249322493225,0.5471075881462932,9045.09485094851,0.3123230352303523,"{""gemini"": 369}","{""gemini"": 369}",direct
post_scout_router,router_after_scout,2e-05,369,0.24661246612466126,0.4725527827979065,4005.6666666666665,0.16649913279132791,"{""gemini"": 83, ""oss"": 52, ""scout"": 234}","{""gemini"": 83, ""oss"": 52, ""scout"": 369}",after
input_only_router,router_after_scout,2e-05,369,0.2872628726287263,0.46618742108319466,5361.292682926829,0.1800370189701897,"{""gemini"": 162, ""scout"": 207}","{""gemini"": 162, ""scout"": 369}",after
cascade_order_threshold_search,cascade,2e-05,369,0.10569105691056911,0.4261906954096858,2456.5582655826556,0.056559891598915994,"{""oss"": 38, ""scout"": 331}","{""oss"": 38, ""scout"": 369}",cascade
