policy,policy_type,lambda,n,real_pass_rate,mean_proxy_reward_of_chosen,mean_true_weighted_cost,real_utility,choice_counts,called_counts,cost_accounting,cascade_order,cascade_order_labels,thresholds
always_scout,always_direct,0.0,276,0.07971014492753623,0.4489173603515872,1971.159420289855,0.07971014492753623,"{""scout"": 276}","{""scout"": 276}",direct,,,
always_oss,always_direct,0.0,276,0.5833333333333334,0.4826003043730569,4014.782608695652,0.5833333333333334,"{""oss"": 276}","{""oss"": 276}",direct,,,
always_gemini,always_direct,0.0,276,0.5398550724637681,0.5793432107317519,7102.753623188406,0.5398550724637681,"{""gemini"": 276}","{""gemini"": 276}",direct,,,
always_scout,always_direct,1e-05,276,0.07971014492753623,0.4489173603515872,1971.159420289855,0.059998550724637674,"{""scout"": 276}","{""scout"": 276}",direct,,,
always_oss,always_direct,1e-05,276,0.5833333333333334,0.4826003043730569,4014.782608695652,0.5431855072463768,"{""oss"": 276}","{""oss"": 276}",direct,,,
always_gemini,always_direct,1e-05,276,0.5398550724637681,0.5793432107317519,7102.753623188406,0.468827536231884,"{""gemini"": 276}","{""gemini"": 276}",direct,,,
always_scout,always_direct,2e-05,276,0.07971014492753623,0.4489173603515872,1971.159420289855,0.04028695652173912,"{""scout"": 276}","{""scout"": 276}",direct,,,
always_oss,always_direct,2e-05,276,0.5833333333333334,0.4826003043730569,4014.782608695652,0.5030376811594204,"{""oss"": 276}","{""oss"": 276}",direct,,,
always_gemini,always_direct,2e-05,276,0.5398550724637681,0.5793432107317519,7102.753623188406,0.39779999999999993,"{""gemini"": 276}","{""gemini"": 276}",direct,,,
always_scout,always_direct,5e-05,276,0.07971014492753623,0.4489173603515872,1971.159420289855,-0.018847826086956523,"{""scout"": 276}","{""scout"": 276}",direct,,,
always_oss,always_direct,5e-05,276,0.5833333333333334,0.4826003043730569,4014.782608695652,0.38259420289855073,"{""oss"": 276}","{""oss"": 276}",direct,,,
always_gemini,always_direct,5e-05,276,0.5398550724637681,0.5793432107317519,7102.753623188406,0.18471739130434778,"{""gemini"": 276}","{""gemini"": 276}",direct,,,
always_scout,always_direct,0.0001,276,0.07971014492753623,0.4489173603515872,1971.159420289855,-0.11740579710144927,"{""scout"": 276}","{""scout"": 276}",direct,,,
always_oss,always_direct,0.0001,276,0.5833333333333334,0.4826003043730569,4014.782608695652,0.18185507246376814,"{""oss"": 276}","{""oss"": 276}",direct,,,
always_gemini,always_direct,0.0001,276,0.5398550724637681,0.5793432107317519,7102.753623188406,-0.17042028985507252,"{""gemini"": 276}","{""gemini"": 276}",direct,,,
always_scout,always_direct,0.0002,276,0.07971014492753623,0.4489173603515872,1971.159420289855,-0.3145217391304348,"{""scout"": 276}","{""scout"": 276}",direct,,,
always_oss,always_direct,0.0002,276,0.5833333333333334,0.4826003043730569,4014.782608695652,-0.2196231884057971,"{""oss"": 276}","{""oss"": 276}",direct,,,
always_gemini,always_direct,0.0002,276,0.5398550724637681,0.5793432107317519,7102.753623188406,-0.8806956521739131,"{""gemini"": 276}","{""gemini"": 276}",direct,,,
post_scout_router,router_after_scout,0.0,276,0.5362318840579711,0.5916132511721329,8228.768115942028,0.5362318840579711,"{""gemini"": 255, ""scout"": 21}","{""gemini"": 255, ""scout"": 276}",after_scout,,,
input_only_router,router_after_scout,0.0,276,0.5362318840579711,0.590080021944221,8361.08695652174,0.5362318840579711,"{""gemini"": 256, ""scout"": 20}","{""gemini"": 256, ""scout"": 276}",after_scout,,,
post_scout_router,router_after_scout,1e-05,276,0.5144927536231884,0.5871016055318371,7544.326086956522,0.43904949275362315,"{""gemini"": 227, ""oss"": 1, ""scout"": 48}","{""gemini"": 227, ""oss"": 1, ""scout"": 276}",after_scout,,,
input_only_router,router_after_scout,1e-05,276,0.5217391304347826,0.5884689501146362,8003.768115942029,0.4417014492753623,"{""gemini"": 242, ""scout"": 34}","{""gemini"": 242, ""scout"": 276}",after_scout,,,
post_scout_router,router_after_scout,2e-05,276,0.2608695652173913,0.5124932683346279,3590.1739130434785,0.18906608695652172,"{""gemini"": 73, ""oss"": 7, ""scout"": 196}","{""gemini"": 73, ""oss"": 7, ""scout"": 276}",after_scout,,,
input_only_router,router_after_scout,2e-05,276,0.32971014492753625,0.516878928182515,5397.536231884058,0.22175942028985507,"{""gemini"": 124, ""scout"": 152}","{""gemini"": 124, ""scout"": 276}",after_scout,,,
post_scout_router,router_after_scout,5e-05,276,0.11231884057971014,0.45781115394947003,2084.0833333333335,0.008114673913043463,"{""oss"": 11, ""scout"": 265}","{""oss"": 11, ""scout"": 276}",after_scout,,,
input_only_router,router_after_scout,5e-05,276,0.07971014492753623,0.4489173603515872,1971.159420289855,-0.018847826086956523,"{""scout"": 276}","{""scout"": 276}",after_scout,,,
post_scout_router,router_after_scout,0.0001,276,0.08333333333333333,0.44969867132236047,1976.7246376811595,-0.11433913043478262,"{""oss"": 1, ""scout"": 275}","{""oss"": 1, ""scout"": 276}",after_scout,,,
input_only_router,router_after_scout,0.0001,276,0.07971014492753623,0.4489173603515872,1971.159420289855,-0.11740579710144927,"{""scout"": 276}","{""scout"": 276}",after_scout,,,
post_scout_router,router_after_scout,0.0002,276,0.07971014492753623,0.4489173603515872,1971.159420289855,-0.3145217391304348,"{""scout"": 276}","{""scout"": 276}",after_scout,,,
input_only_router,router_after_scout,0.0002,276,0.07971014492753623,0.4489173603515872,1971.159420289855,-0.3145217391304348,"{""scout"": 276}","{""scout"": 276}",after_scout,,,
cascade_order_threshold_search,cascade,0.0,276,0.5036231884057971,0.5832330917784624,7460.050724637681,0.5036231884057971,"{""gemini"": 229, ""oss"": 1, ""scout"": 46}","{""gemini"": 276, ""oss"": 1, ""scout"": 47}",cascade,"[2, 0, 1]","[""expert_0:google/gemini-3-flash-preview"", ""primary_model"", ""expert_0:openai/gpt-oss-120b""]","[0.291015625, 0.1044921875]"
cascade_order_threshold_search,cascade,1e-05,276,0.08333333333333333,0.4492630444007105,1999.876811594203,0.0633345652173913,"{""oss"": 2, ""scout"": 274}","{""oss"": 2, ""scout"": 276}",cascade,"[0, 1, 2]","[""primary_model"", ""expert_0:openai/gpt-oss-120b"", ""expert_0:google/gemini-3-flash-preview""]","[0.07958984375, -0.05810646875]"
cascade_order_threshold_search,cascade,2e-05,276,0.07971014492753623,0.4489309408598613,1987.876811594203,0.03995260869565216,"{""oss"": 1, ""scout"": 275}","{""oss"": 1, ""scout"": 276}",cascade,"[0, 1, 2]","[""primary_model"", ""expert_0:openai/gpt-oss-120b"", ""expert_0:google/gemini-3-flash-preview""]","[0.044189453125, -0.05810646875]"
cascade_order_threshold_search,cascade,5e-05,276,0.07971014492753623,0.4489309408598613,1987.876811594203,-0.019683695652173927,"{""oss"": 1, ""scout"": 275}","{""oss"": 1, ""scout"": 276}",cascade,"[0, 1, 2]","[""primary_model"", ""expert_0:openai/gpt-oss-120b"", ""expert_0:google/gemini-3-flash-preview""]","[0.044189453125, -0.05810646875]"
cascade_order_threshold_search,cascade,0.0001,276,0.07971014492753623,0.4489173603515872,1971.159420289855,-0.11740579710144927,"{""scout"": 276}","{""scout"": 276}",cascade,"[0, 1, 2]","[""primary_model"", ""expert_0:openai/gpt-oss-120b"", ""expert_0:google/gemini-3-flash-preview""]","[-0.080079125, -0.05810646875]"
cascade_order_threshold_search,cascade,0.0002,276,0.07971014492753623,0.4489173603515872,1971.159420289855,-0.3145217391304348,"{""scout"": 276}","{""scout"": 276}",cascade,"[0, 1, 2]","[""primary_model"", ""expert_0:openai/gpt-oss-120b"", ""expert_0:google/gemini-3-flash-preview""]","[-0.080079125, -0.05810646875]"
oracle_after_scout_real_utility,oracle_after_scout,0.0,276,0.6666666666666666,0.5155697020879342,4283.702898550725,0.6666666666666666,"{""gemini"": 20, ""oss"": 142, ""scout"": 114}","{""gemini"": 20, ""oss"": 142, ""scout"": 276}",after_scout,,,
oracle_direct_real_utility,oracle_direct,0.0,276,0.6666666666666666,0.5155697020879342,3120.123188405797,0.6666666666666666,"{""gemini"": 20, ""oss"": 142, ""scout"": 114}","{""gemini"": 20, ""oss"": 142, ""scout"": 114}",direct,,,
oracle_after_scout_real_utility,oracle_after_scout,1e-05,276,0.6666666666666666,0.5356146136698283,4098.282608695652,0.62568384057971,"{""gemini"": 47, ""oss"": 115, ""scout"": 114}","{""gemini"": 47, ""oss"": 115, ""scout"": 276}",after_scout,,,
oracle_direct_real_utility,oracle_direct,1e-05,276,0.6666666666666666,0.5344880456847404,2886.8333333333335,0.6377983333333332,"{""gemini"": 49, ""oss"": 133, ""scout"": 94}","{""gemini"": 49, ""oss"": 133, ""scout"": 94}",direct,,,
oracle_after_scout_real_utility,oracle_after_scout,2e-05,276,0.6666666666666666,0.5356146136698283,4098.282608695652,0.5847010144927536,"{""gemini"": 47, ""oss"": 115, ""scout"": 114}","{""gemini"": 47, ""oss"": 115, ""scout"": 276}",after_scout,,,
oracle_direct_real_utility,oracle_direct,2e-05,276,0.6666666666666666,0.5344880456847404,2886.8333333333335,0.60893,"{""gemini"": 49, ""oss"": 133, ""scout"": 94}","{""gemini"": 49, ""oss"": 133, ""scout"": 94}",direct,,,
oracle_after_scout_real_utility,oracle_after_scout,5e-05,276,0.6630434782608695,0.5357606477372608,3999.731884057971,0.46305688405797096,"{""gemini"": 46, ""oss"": 115, ""scout"": 115}","{""gemini"": 46, ""oss"": 115, ""scout"": 276}",after_scout,,,
oracle_direct_real_utility,oracle_direct,5e-05,276,0.6630434782608695,0.534634079752173,2795.5289855072465,0.5232670289855071,"{""gemini"": 48, ""oss"": 133, ""scout"": 95}","{""gemini"": 48, ""oss"": 133, ""scout"": 95}",direct,,,
oracle_after_scout_real_utility,oracle_after_scout,0.0001,276,0.6521739130434783,0.532964708883702,3880.677536231884,0.26410615942028987,"{""gemini"": 44, ""oss"": 114, ""scout"": 118}","{""gemini"": 44, ""oss"": 114, ""scout"": 276}",after_scout,,,
oracle_direct_real_utility,oracle_direct,0.0001,276,0.6630434782608695,0.534634079752173,2795.5289855072465,0.38349057971014483,"{""gemini"": 48, ""oss"": 133, ""scout"": 95}","{""gemini"": 48, ""oss"": 133, ""scout"": 95}",direct,,,
oracle_after_scout_real_utility,oracle_after_scout,0.0002,276,0.5652173913043478,0.5229608703499473,3245.463768115942,-0.08387536231884063,"{""gemini"": 34, ""oss"": 100, ""scout"": 142}","{""gemini"": 34, ""oss"": 100, ""scout"": 276}",after_scout,,,
oracle_direct_real_utility,oracle_direct,0.0002,276,0.605072463768116,0.5248543054694218,2401.800724637681,0.12471231884057976,"{""gemini"": 39, ""oss"": 126, ""scout"": 111}","{""gemini"": 39, ""oss"": 126, ""scout"": 111}",direct,,,
