policy,family,n,lambda,real_pass_rate,mean_weighted_cost,real_utility,choice_counts_by_route
7B post-scout,7B,305,0.0,0.5377049180327869,8330.075409836065,0.5377049180327869,"{""scout:Qwen2.5-Coder-7B-RL"": 21, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 27, ""solver:google/gemini-3-flash-preview"": 257}"
7B post-scout,7B,305,1e-05,0.5016393442622951,6665.314754098361,0.43498619672131145,"{""scout:Qwen2.5-Coder-7B-RL"": 54, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 68, ""solver:google/gemini-3-flash-preview"": 183}"
7B post-scout,7B,305,1.5e-05,0.4,4589.681967213115,0.3311547704918033,"{""scout:Qwen2.5-Coder-7B-RL"": 129, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 110, ""solver:google/gemini-3-flash-preview"": 66}"
7B post-scout,7B,305,2e-05,0.2983606557377049,3637.0524590163936,0.22561960655737706,"{""scout:Qwen2.5-Coder-7B-RL"": 176, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 126, ""solver:google/gemini-3-flash-preview"": 3}"
7B post-scout,7B,305,2.25e-05,0.2786885245901639,3372.750819672131,0.20280163114754096,"{""scout:Qwen2.5-Coder-7B-RL"": 190, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 115}"
7B post-scout,7B,305,2.5e-05,0.24918032786885247,3111.7803278688525,0.17138581967213115,"{""scout:Qwen2.5-Coder-7B-RL"": 207, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 98}"
7B post-scout,7B,305,3e-05,0.19344262295081968,2717.7344262295082,0.11191059016393443,"{""scout:Qwen2.5-Coder-7B-RL"": 236, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 69}"
7B post-scout,7B,305,4e-05,0.14098360655737704,2277.87868852459,0.04986845901639343,"{""scout:Qwen2.5-Coder-7B-RL"": 277, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 28}"
7B post-scout,7B,305,5e-05,0.10491803278688525,2115.518032786885,-0.0008578688524590178,"{""scout:Qwen2.5-Coder-7B-RL"": 294, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 11}"
7B post-scout,7B,305,6e-05,0.08852459016393442,2041.4590163934427,-0.03396295081967214,"{""scout:Qwen2.5-Coder-7B-RL"": 302, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 3}"
7B post-scout,7B,305,0.0001,0.08196721311475409,1968.1868852459017,-0.1148514754098361,"{""scout:Qwen2.5-Coder-7B-RL"": 305}"
7B post-scout,7B,305,0.0002,0.08196721311475409,1968.1868852459017,-0.3116701639344263,"{""scout:Qwen2.5-Coder-7B-RL"": 305}"
7B input-only,7B,305,0.0,0.5377049180327869,6539.016393442623,0.5377049180327869,"{""scout:Qwen2.5-Coder-7B-RL"": 26, ""solver:google/gemini-3-flash-preview"": 279}"
7B input-only,7B,305,1e-05,0.5409836065573771,6478.452459016394,0.47619908196721317,"{""scout:Qwen2.5-Coder-7B-RL"": 29, ""solver:google/gemini-3-flash-preview"": 276}"
7B input-only,7B,305,1.5e-05,0.5180327868852459,6398.845901639344,0.4220500983606557,"{""scout:Qwen2.5-Coder-7B-RL"": 41, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 1, ""solver:google/gemini-3-flash-preview"": 263}"
7B input-only,7B,305,2e-05,0.5016393442622951,5708.583606557377,0.3874676721311475,"{""scout:Qwen2.5-Coder-7B-RL"": 49, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 81, ""solver:google/gemini-3-flash-preview"": 175}"
7B input-only,7B,305,2.25e-05,0.38688524590163936,4494.64262295082,0.28575578688524594,"{""scout:Qwen2.5-Coder-7B-RL"": 58, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 245, ""solver:google/gemini-3-flash-preview"": 2}"
7B input-only,7B,305,2.5e-05,0.3704918032786885,4384.229508196721,0.2608860655737705,"{""scout:Qwen2.5-Coder-7B-RL"": 71, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 234}"
7B input-only,7B,305,3e-05,0.34098360655737703,4151.777049180328,0.2164302950819672,"{""scout:Qwen2.5-Coder-7B-RL"": 93, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 212}"
7B input-only,7B,305,4e-05,0.14098360655737704,2467.2295081967213,0.042294426229508186,"{""scout:Qwen2.5-Coder-7B-RL"": 254, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 51}"
7B input-only,7B,305,5e-05,0.08196721311475409,1968.1868852459017,-0.016442131147541006,"{""scout:Qwen2.5-Coder-7B-RL"": 305}"
7B input-only,7B,305,6e-05,0.08196721311475409,1968.1868852459017,-0.03612400000000002,"{""scout:Qwen2.5-Coder-7B-RL"": 305}"
7B input-only,7B,305,0.0001,0.08196721311475409,1968.1868852459017,-0.1148514754098361,"{""scout:Qwen2.5-Coder-7B-RL"": 305}"
7B input-only,7B,305,0.0002,0.08196721311475409,1968.1868852459017,-0.3116701639344263,"{""scout:Qwen2.5-Coder-7B-RL"": 305}"
4B post-scout,4B,347,0.0,0.5331412103746398,7738.421902017288,0.5331412103746398,"{""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 29, ""solver:google/gemini-3-flash-preview"": 318}"
4B post-scout,4B,347,1e-05,0.49279538904899134,5361.914697406338,0.43917624207492795,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 100, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 32, ""solver:google/gemini-3-flash-preview"": 215}"
4B post-scout,4B,347,1.5e-05,0.3804034582132565,3019.0213256484135,0.33511813832853027,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 218, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 19, ""solver:google/gemini-3-flash-preview"": 110}"
4B post-scout,4B,347,2e-05,0.345821325648415,2472.99250720461,0.2963614755043228,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 244, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 22, ""solver:google/gemini-3-flash-preview"": 81}"
4B post-scout,4B,347,2.25e-05,0.33429394812680113,2279.8858789625356,0.28299651585014407,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 250, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 32, ""solver:google/gemini-3-flash-preview"": 65}"
4B post-scout,4B,347,2.5e-05,0.31988472622478387,2356.658213256484,0.26096827089337177,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 257, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 58, ""solver:google/gemini-3-flash-preview"": 32}"
4B post-scout,4B,347,3e-05,0.2968299711815562,2207.1711815561953,0.23061483573487032,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 265, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 81, ""solver:google/gemini-3-flash-preview"": 1}"
4B post-scout,4B,347,4e-05,0.2910662824207493,1910.5832853025938,0.2146429510086455,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 280, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 67}"
4B post-scout,4B,347,5e-05,0.27089337175792505,1442.4680115273782,0.19876997118155615,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 301, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 46}"
4B post-scout,4B,347,6e-05,0.2507204610951009,1001.4997118155625,0.19063047838616712,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 327, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 20}"
4B post-scout,4B,347,0.0001,0.23919308357348704,667.5285302593663,0.1724402305475504,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 347}"
4B post-scout,4B,347,0.0002,0.23919308357348704,667.5285302593663,0.10568737752161375,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 347}"
4B input-only,4B,347,0.0,0.5244956772334294,7635.746397694525,0.5244956772334294,"{""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 1, ""solver:google/gemini-3-flash-preview"": 346}"
4B input-only,4B,347,1e-05,0.5273775216138329,6649.545821325648,0.4608820634005764,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 18, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 14, ""solver:google/gemini-3-flash-preview"": 315}"
4B input-only,4B,347,1.5e-05,0.521613832853026,6279.6097982708925,0.4274196858789626,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 36, ""solver:google/gemini-3-flash-preview"": 311}"
4B input-only,4B,347,2e-05,0.2737752161383285,1400.5244956772337,0.24576472622478382,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 280, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 46, ""solver:google/gemini-3-flash-preview"": 21}"
4B input-only,4B,347,2.25e-05,0.2507204610951009,1037.8570605187326,0.2273686772334294,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 310, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 36, ""solver:google/gemini-3-flash-preview"": 1}"
4B input-only,4B,347,2.5e-05,0.2420749279538905,819.0806916426517,0.2215979106628242,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 331, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 16}"
4B input-only,4B,347,3e-05,0.23919308357348704,678.2997118155621,0.21884409221902018,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 345, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 2}"
4B input-only,4B,347,4e-05,0.23919308357348704,667.5285302593663,0.2124919423631124,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 347}"
4B input-only,4B,347,5e-05,0.23919308357348704,667.5285302593663,0.20581665706051872,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 347}"
4B input-only,4B,347,6e-05,0.23919308357348704,667.5285302593663,0.19914137175792507,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 347}"
4B input-only,4B,347,0.0001,0.23919308357348704,667.5285302593663,0.1724402305475504,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 347}"
4B input-only,4B,347,0.0002,0.23919308357348704,667.5285302593663,0.10568737752161375,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 347}"
