lambda,route,n,pct,real_pass_rate,mean_true_proxy,mean_pred_reward
0.0,4B scout,0,0.0,,,
0.0,OSS-20B,0,0.0,,,
0.0,Qwen30B,29,0.08357348703170028,0.6206896551724138,0.6452223781881661,0.5826037176724138
0.0,OSS-120B,0,0.0,,,
0.0,Gemini,318,0.9164265129682997,0.5251572327044025,0.5690748428562714,0.44023775304638363
1e-05,4B scout,100,0.2881844380403458,0.28,0.4037982505559921,0.38908203125
1e-05,OSS-20B,0,0.0,,,
1e-05,Qwen30B,32,0.09221902017291066,0.6875,0.6129528076853603,0.53973388671875
1e-05,OSS-120B,0,0.0,,,
1e-05,Gemini,215,0.6195965417867435,0.5627906976744186,0.5923518498796363,0.44422238372093026
1.5e-05,4B scout,218,0.6282420749279539,0.29357798165137616,0.41872026299664733,0.39322879336295874
1.5e-05,OSS-20B,0,0.0,,,
1.5e-05,Qwen30B,19,0.05475504322766571,0.5263157894736842,0.45200645649119425,0.43732010690789475
1.5e-05,OSS-120B,0,0.0,,,
1.5e-05,Gemini,110,0.3170028818443804,0.5272727272727272,0.5582007333636284,0.4310014204545455
2e-05,4B scout,244,0.7031700288184438,0.29508196721311475,0.43007691735859777,0.3900606749487705
2e-05,OSS-20B,0,0.0,,,
2e-05,Qwen30B,22,0.06340057636887608,0.4090909090909091,0.3601910813965581,0.3691184303977273
2e-05,OSS-120B,0,0.0,,,
2e-05,Gemini,81,0.2334293948126801,0.48148148148148145,0.538382778013194,0.427710262345679
2.25e-05,4B scout,250,0.7204610951008645,0.304,0.42982760025933386,0.3884111328125
2.25e-05,OSS-20B,0,0.0,,,
2.25e-05,Qwen30B,32,0.09221902017291066,0.3125,0.35296098492108285,0.332916259765625
2.25e-05,OSS-120B,0,0.0,,,
2.25e-05,Gemini,65,0.1873198847262248,0.46153846153846156,0.5415645613120152,0.43350360576923075
2.5e-05,4B scout,257,0.7406340057636888,0.30739299610894943,0.43271596111168775,0.38870536121412935
2.5e-05,OSS-20B,0,0.0,,,
2.5e-05,Qwen30B,58,0.16714697406340057,0.29310344827586204,0.36312936413390884,0.3003266433189655
2.5e-05,OSS-120B,0,0.0,,,
2.5e-05,Gemini,32,0.09221902017291066,0.46875,0.5610919441096485,0.447998046875
2.75e-05,4B scout,263,0.7579250720461095,0.30798479087452474,0.42917147779150266,0.38664657534755226
2.75e-05,OSS-20B,0,0.0,,,
2.75e-05,Qwen30B,76,0.21902017291066284,0.2631578947368421,0.35973492098089893,0.2951788651315789
2.75e-05,OSS-120B,0,0.0,,,
2.75e-05,Gemini,8,0.023054755043227664,0.5,0.46685107611119747,0.4912109375
3e-05,4B scout,265,0.7636887608069164,0.30566037735849055,0.4259324477704347,0.38449499742040094
3e-05,OSS-20B,0,0.0,,,
3e-05,Qwen30B,81,0.2334293948126801,0.25925925925925924,0.35820900676427064,0.30201099537037035
3e-05,OSS-120B,0,0.0,,,
3e-05,Gemini,1,0.002881844380403458,1.0,0.7432098984718323,0.53125
3.5e-05,4B scout,271,0.7809798270893372,0.3025830258302583,0.41742920734304456,0.3777218076135839
3.5e-05,OSS-20B,0,0.0,,,
3.5e-05,Qwen30B,76,0.21902017291066284,0.2631578947368421,0.37061871470589386,0.3089406866776316
3.5e-05,OSS-120B,0,0.0,,,
3.5e-05,Gemini,0,0.0,,,
4e-05,4B scout,280,0.8069164265129684,0.29285714285714287,0.40678693882655353,0.3670166015625
4e-05,OSS-20B,0,0.0,,,
4e-05,Qwen30B,67,0.1930835734870317,0.2835820895522388,0.3801446434722018,0.3201667444029851
4e-05,OSS-120B,0,0.0,,,
4e-05,Gemini,0,0.0,,,
5e-05,4B scout,301,0.8674351585014409,0.2757475083056478,0.38093204193893954,0.3445862424730066
5e-05,OSS-20B,0,0.0,,,
5e-05,Qwen30B,46,0.13256484149855907,0.2391304347826087,0.3837824424971705,0.34481148097826086
5e-05,OSS-120B,0,0.0,,,
5e-05,Gemini,0,0.0,,,
0.0001,4B scout,347,1.0,0.23919308357348704,0.33397161923295227,0.3089729770803314
0.0001,OSS-20B,0,0.0,,,
0.0001,Qwen30B,0,0.0,,,
0.0001,OSS-120B,0,0.0,,,
0.0001,Gemini,0,0.0,,,
