lambda,n,scout_n,scout_pct,oss20_n,oss20_pct,qwen30_n,qwen30_pct,oss120_n,oss120_pct,gemini_n,gemini_pct,non_gemini_expert_n,non_gemini_expert_pct,any_expert_n,any_expert_pct
0.0,347,0,0.0,0,0.0,29,0.08357348703170028,0,0.0,318,0.9164265129682997,29,0.08357348703170028,347,1.0
1e-05,347,100,0.2881844380403458,0,0.0,32,0.09221902017291066,0,0.0,215,0.6195965417867435,32,0.09221902017291066,247,0.7118155619596542
1.5e-05,347,218,0.6282420749279539,0,0.0,19,0.05475504322766571,0,0.0,110,0.3170028818443804,19,0.05475504322766571,129,0.37175792507204614
2e-05,347,244,0.7031700288184438,0,0.0,22,0.06340057636887608,0,0.0,81,0.2334293948126801,22,0.06340057636887608,103,0.2968299711815562
2.25e-05,347,250,0.7204610951008645,0,0.0,32,0.09221902017291066,0,0.0,65,0.1873198847262248,32,0.09221902017291066,97,0.27953890489913547
2.5e-05,347,257,0.7406340057636888,0,0.0,58,0.16714697406340057,0,0.0,32,0.09221902017291066,58,0.16714697406340057,90,0.25936599423631124
2.75e-05,347,263,0.7579250720461095,0,0.0,76,0.21902017291066284,0,0.0,8,0.023054755043227664,76,0.21902017291066284,84,0.2420749279538905
3e-05,347,265,0.7636887608069164,0,0.0,81,0.2334293948126801,0,0.0,1,0.002881844380403458,81,0.2334293948126801,82,0.23631123919308358
3.5e-05,347,271,0.7809798270893372,0,0.0,76,0.21902017291066284,0,0.0,0,0.0,76,0.21902017291066284,76,0.21902017291066284
4e-05,347,280,0.8069164265129684,0,0.0,67,0.1930835734870317,0,0.0,0,0.0,67,0.1930835734870317,67,0.1930835734870317
5e-05,347,301,0.8674351585014409,0,0.0,46,0.13256484149855907,0,0.0,0,0.0,46,0.13256484149855907,46,0.13256484149855907
0.0001,347,347,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
