family,lambda,n_all,choice_counts_all,n_real_complete,choice_counts_real_complete
7B,0.0,369,"{""0"": 25, ""2"": 27, ""4"": 317}",305,"{""0"": 21, ""2"": 27, ""4"": 257}"
7B,1e-05,369,"{""0"": 61, ""2"": 81, ""4"": 227}",305,"{""0"": 54, ""2"": 68, ""4"": 183}"
7B,1.5e-05,369,"{""0"": 143, ""2"": 149, ""4"": 77}",305,"{""0"": 129, ""2"": 110, ""4"": 66}"
7B,2e-05,369,"{""0"": 196, ""2"": 169, ""4"": 4}",305,"{""0"": 176, ""2"": 126, ""4"": 3}"
7B,2.25e-05,369,"{""0"": 210, ""2"": 159}",305,"{""0"": 190, ""2"": 115}"
7B,2.5e-05,369,"{""0"": 228, ""2"": 141}",305,"{""0"": 207, ""2"": 98}"
7B,2.75e-05,369,"{""0"": 244, ""2"": 125}",305,"{""0"": 222, ""2"": 83}"
7B,3e-05,369,"{""0"": 259, ""2"": 110}",305,"{""0"": 236, ""2"": 69}"
7B,3.5e-05,369,"{""0"": 280, ""2"": 89}",305,"{""0"": 255, ""2"": 50}"
7B,4e-05,369,"{""0"": 303, ""2"": 66}",305,"{""0"": 277, ""2"": 28}"
7B,5e-05,369,"{""0"": 324, ""2"": 45}",305,"{""0"": 294, ""2"": 11}"
7B,0.0001,369,"{""0"": 355, ""2"": 14}",305,"{""0"": 305}"
4B,0.0,369,"{""2"": 30, ""3"": 1, ""4"": 338}",347,"{""2"": 29, ""4"": 318}"
4B,1e-05,369,"{""0"": 106, ""2"": 32, ""4"": 231}",347,"{""0"": 100, ""2"": 32, ""4"": 215}"
4B,1.5e-05,369,"{""0"": 233, ""2"": 21, ""4"": 115}",347,"{""0"": 218, ""2"": 19, ""4"": 110}"
4B,2e-05,369,"{""0"": 261, ""2"": 24, ""4"": 84}",347,"{""0"": 244, ""2"": 22, ""4"": 81}"
4B,2.25e-05,369,"{""0"": 268, ""2"": 34, ""4"": 67}",347,"{""0"": 250, ""2"": 32, ""4"": 65}"
4B,2.5e-05,369,"{""0"": 275, ""2"": 62, ""4"": 32}",347,"{""0"": 257, ""2"": 58, ""4"": 32}"
4B,2.75e-05,369,"{""0"": 281, ""2"": 80, ""4"": 8}",347,"{""0"": 263, ""2"": 76, ""4"": 8}"
4B,3e-05,369,"{""0"": 283, ""2"": 85, ""4"": 1}",347,"{""0"": 265, ""2"": 81, ""4"": 1}"
4B,3.5e-05,369,"{""0"": 290, ""2"": 79}",347,"{""0"": 271, ""2"": 76}"
4B,4e-05,369,"{""0"": 299, ""2"": 70}",347,"{""0"": 280, ""2"": 67}"
4B,5e-05,369,"{""0"": 323, ""2"": 46}",347,"{""0"": 301, ""2"": 46}"
4B,0.0001,369,"{""0"": 369}",347,"{""0"": 347}"
