family,lambda,problem_id,scout_proxy_reward,scout_pred_reward,scout_real_pass,scout_tokens,chosen_route
7B,0.0,astropy__astropy-13398,0.1689804494380951,0.1943359375,False,2000.0,scout:Qwen2.5-Coder-7B-RL
7B,0.0,django__django-11333,0.4822429120540619,0.29296875,False,2000.0,scout:Qwen2.5-Coder-7B-RL
7B,0.0,django__django-11885,0.20846755802631378,0.2578125,False,2000.0,scout:Qwen2.5-Coder-7B-RL
7B,0.0,django__django-12741,0.6494523882865906,0.470703125,False,2000.0,scout:Qwen2.5-Coder-7B-RL
7B,0.0,django__django-13195,0.4531007409095764,0.39453125,False,2000.0,scout:Qwen2.5-Coder-7B-RL
7B,0.0,django__django-13212,0.25282788276672363,0.208984375,False,2000.0,scout:Qwen2.5-Coder-7B-RL
7B,0.0,django__django-13512,0.7238295078277588,0.31640625,False,2000.0,scout:Qwen2.5-Coder-7B-RL
7B,0.0,django__django-14011,0.43501001596450806,0.2041015625,False,2000.0,scout:Qwen2.5-Coder-7B-RL
7B,0.0,django__django-14170,0.17840105295181274,0.330078125,False,2000.0,scout:Qwen2.5-Coder-7B-RL
7B,0.0,django__django-14376,0.7788184285163879,0.55078125,False,2000.0,scout:Qwen2.5-Coder-7B-RL
7B,0.0,django__django-14631,0.46297475695610046,0.326171875,False,2000.0,scout:Qwen2.5-Coder-7B-RL
7B,0.0,django__django-15103,0.6584632396697998,0.39453125,False,2000.0,scout:Qwen2.5-Coder-7B-RL
7B,0.0,django__django-16631,0.2933746576309204,0.2890625,False,2000.0,scout:Qwen2.5-Coder-7B-RL
7B,0.0,django__django-16938,0.36609941720962524,0.3515625,False,2000.0,scout:Qwen2.5-Coder-7B-RL
7B,0.0,pylint-dev__pylint-4551,0.3051137924194336,0.2353515625,False,2000.0,scout:Qwen2.5-Coder-7B-RL
7B,0.0,pylint-dev__pylint-4661,0.4902137219905853,0.349609375,False,2000.0,scout:Qwen2.5-Coder-7B-RL
7B,0.0,sphinx-doc__sphinx-10673,0.31701117753982544,0.1982421875,False,2000.0,scout:Qwen2.5-Coder-7B-RL
7B,0.0,sphinx-doc__sphinx-7462,0.7767835855484009,0.361328125,False,2000.0,scout:Qwen2.5-Coder-7B-RL
7B,0.0,sphinx-doc__sphinx-8120,0.3221339285373688,0.287109375,False,2000.0,scout:Qwen2.5-Coder-7B-RL
7B,0.0,sympy__sympy-20438,0.3119347393512726,0.2236328125,False,2000.0,scout:Qwen2.5-Coder-7B-RL
7B,0.0,sympy__sympy-22080,0.2529785931110382,0.16796875,False,2000.0,scout:Qwen2.5-Coder-7B-RL
7B,1e-05,astropy__astropy-13033,0.41938111186027527,0.42578125,False,2000.0,scout:Qwen2.5-Coder-7B-RL
7B,1e-05,astropy__astropy-13398,0.1689804494380951,0.1943359375,False,2000.0,scout:Qwen2.5-Coder-7B-RL
7B,1e-05,astropy__astropy-13579,0.5103448033332825,0.294921875,False,2000.0,scout:Qwen2.5-Coder-7B-RL
7B,1e-05,astropy__astropy-14182,0.3019333481788635,0.451171875,False,2000.0,scout:Qwen2.5-Coder-7B-RL
7B,1e-05,astropy__astropy-14309,0.8492159247398376,0.46484375,False,2000.0,scout:Qwen2.5-Coder-7B-RL
7B,1e-05,astropy__astropy-7336,0.743842363357544,0.44140625,False,2000.0,scout:Qwen2.5-Coder-7B-RL
