family,lambda,proxy_bin,n,pass_rate,proxy_mean
7B,0.0,"[0.1,0.2)",2,0.0,0.17369075119495392
7B,0.0,"[0.2,0.3)",4,0.0,0.251912172883749
7B,0.0,"[0.3,0.4)",5,0.0,0.32445861101150514
7B,0.0,"[0.4,0.5)",5,0.0,0.46470842957496644
7B,0.0,"[0.5,0.7)",2,0.0,0.6539578139781952
7B,0.0,"[0.7,1.0)",3,0.0,0.7598105072975159
7B,1e-05,"[0.0,0.1)",2,0.0,0.0676298476755619
7B,1e-05,"[0.1,0.2)",10,0.0,0.1681159108877182
7B,1e-05,"[0.2,0.3)",7,0.14285714285714285,0.2548130282333919
7B,1e-05,"[0.3,0.4)",8,0.0,0.32503069564700127
7B,1e-05,"[0.4,0.5)",9,0.0,0.4512786997689141
7B,1e-05,"[0.5,0.7)",10,0.0,0.6229967713356018
7B,1e-05,"[0.7,1.0)",8,0.125,0.8149137273430824
7B,1.5e-05,"[0.0,0.1)",3,0.0,0.0735225851337115
7B,1.5e-05,"[0.1,0.2)",22,0.0,0.16854714737697082
7B,1.5e-05,"[0.2,0.3)",19,0.05263157894736842,0.2512229382991791
7B,1.5e-05,"[0.3,0.4)",23,0.0,0.3294417184332143
7B,1.5e-05,"[0.4,0.5)",24,0.0,0.456497460603714
7B,1.5e-05,"[0.5,0.7)",25,0.12,0.6136512327194213
7B,1.5e-05,"[0.7,1.0)",13,0.15384615384615385,0.8110975760679978
7B,2e-05,"[0.0,0.1)",5,0.0,0.08092214465141297
7B,2e-05,"[0.1,0.2)",26,0.0,0.16315539783010116
7B,2e-05,"[0.2,0.3)",37,0.02702702702702703,0.2487281653526667
7B,2e-05,"[0.3,0.4)",29,0.034482758620689655,0.3323046750035779
7B,2e-05,"[0.4,0.5)",29,0.0,0.450475772906994
7B,2e-05,"[0.5,0.7)",33,0.12121212121212122,0.6114306359580068
7B,2e-05,"[0.7,1.0)",17,0.11764705882352941,0.7974930931540096
7B,2.25e-05,"[0.0,0.1)",7,0.0,0.08165591210126877
7B,2.25e-05,"[0.1,0.2)",28,0.0,0.16409158147871494
7B,2.25e-05,"[0.2,0.3)",41,0.024390243902439025,0.24556195699587102
7B,2.25e-05,"[0.3,0.4)",31,0.03225806451612903,0.332292027050449
7B,2.25e-05,"[0.4,0.5)",30,0.0,0.4496617913246155
7B,2.25e-05,"[0.5,0.7)",35,0.11428571428571428,0.6103625706263951
7B,2.25e-05,"[0.7,1.0)",18,0.1111111111111111,0.7939885358015696
7B,2.5e-05,"[0.0,0.1)",7,0.0,0.08165591210126877
7B,2.5e-05,"[0.1,0.2)",29,0.0,0.16421745589067197
7B,2.5e-05,"[0.2,0.3)",46,0.043478260869565216,0.24850813590961954
7B,2.5e-05,"[0.3,0.4)",31,0.03225806451612903,0.332292027050449
7B,2.5e-05,"[0.4,0.5)",33,0.0,0.45320628718896344
7B,2.5e-05,"[0.5,0.7)",40,0.1,0.608400410413742
7B,2.5e-05,"[0.7,1.0)",21,0.09523809523809523,0.792792484873817
7B,2.75e-05,"[0.0,0.1)",8,0.0,0.07823915965855122
7B,2.75e-05,"[0.1,0.2)",30,0.0,0.16453464701771736
7B,2.75e-05,"[0.2,0.3)",47,0.0425531914893617,0.2482920732903988
7B,2.75e-05,"[0.3,0.4)",31,0.03225806451612903,0.332292027050449
7B,2.75e-05,"[0.4,0.5)",36,0.0,0.45290884541140664
7B,2.75e-05,"[0.5,0.7)",46,0.08695652173913043,0.6013112392114557
7B,2.75e-05,"[0.7,1.0)",24,0.08333333333333333,0.7900470346212387
7B,3e-05,"[0.0,0.1)",8,0.0,0.07823915965855122
7B,3e-05,"[0.1,0.2)",31,0.0,0.1656580786070516
7B,3e-05,"[0.2,0.3)",48,0.041666666666666664,0.2482307149718205
7B,3e-05,"[0.3,0.4)",32,0.03125,0.3322418490424752
7B,3e-05,"[0.4,0.5)",38,0.0,0.45468659306827347
7B,3e-05,"[0.5,0.7)",54,0.07407407407407407,0.5980241464243995
7B,3e-05,"[0.7,1.0)",25,0.08,0.7902180576324462
7B,3.5e-05,"[0.0,0.1)",9,0.0,0.08006897734271155
7B,3.5e-05,"[0.1,0.2)",34,0.029411764705882353,0.16435400988249219
7B,3.5e-05,"[0.2,0.3)",50,0.04,0.24874709516763688
7B,3.5e-05,"[0.3,0.4)",34,0.029411764705882353,0.33294207909527945
7B,3.5e-05,"[0.4,0.5)",41,0.0,0.45480084273873306
7B,3.5e-05,"[0.5,0.7)",56,0.10714285714285714,0.5993463045784405
7B,3.5e-05,"[0.7,1.0)",31,0.1935483870967742,0.8036141222523104
7B,4e-05,"[0.0,0.1)",9,0.0,0.08006897734271155
7B,4e-05,"[0.1,0.2)",35,0.02857142857142857,0.16448307016066144
7B,4e-05,"[0.2,0.3)",52,0.038461538461538464,0.24901350329701716
7B,4e-05,"[0.3,0.4)",37,0.02702702702702703,0.33435492177267334
7B,4e-05,"[0.4,0.5)",41,0.0,0.45480084273873306
7B,4e-05,"[0.5,0.7)",63,0.1111111111111111,0.5943160766646975
7B,4e-05,"[0.7,1.0)",40,0.275,0.822110216319561
7B,5e-05,"[0.0,0.1)",9,0.0,0.08006897734271155
7B,5e-05,"[0.1,0.2)",38,0.02631578947368421,0.16442696024712763
7B,5e-05,"[0.2,0.3)",54,0.037037037037037035,0.2481589135196474
7B,5e-05,"[0.3,0.4)",38,0.02631578947368421,0.3357630654385215
7B,5e-05,"[0.4,0.5)",43,0.0,0.4553167480368947
7B,5e-05,"[0.5,0.7)",66,0.10606060606060606,0.5946051866719217
7B,5e-05,"[0.7,1.0)",46,0.2826086956521739,0.8278340334477632
7B,0.0001,"[0.0,0.1)",9,0.0,0.08006897734271155
7B,0.0001,"[0.1,0.2)",38,0.02631578947368421,0.16442696024712763
7B,0.0001,"[0.2,0.3)",57,0.03508771929824561,0.2475473655943285
7B,0.0001,"[0.3,0.4)",40,0.025,0.3361092731356621
7B,0.0001,"[0.4,0.5)",44,0.0,0.45529203658754175
7B,0.0001,"[0.5,0.7)",69,0.10144927536231885,0.5944345403408658
