policy,family,n,lambda_dollar,real_pass_rate,mean_cost_dollars,mean_cost_per_1000,real_utility,choice_counts_by_route
4B post-scout router,4B post-scout,347,0,0.5331412103746398,0.00359885971702932,3.59885971702932,0.5331412103746398,"{""4B scout"": 0, ""Gemini"": 318, ""OSS-120B"": 0, ""OSS-20B"": 0, ""Qwen-30B"": 29}"
4B post-scout router,4B post-scout,347,5,0.5273775216138329,0.0033987706661895846,3.3987706661895847,0.510383668282885,"{""4B scout"": 14, ""Gemini"": 315, ""OSS-120B"": 0, ""OSS-20B"": 0, ""Qwen-30B"": 18}"
4B post-scout router,4B post-scout,347,10,0.521613832853026,0.0032131493683584572,3.213149368358457,0.4894823391694414,"{""4B scout"": 29, ""Gemini"": 304, ""OSS-120B"": 0, ""OSS-20B"": 0, ""Qwen-30B"": 14}"
4B post-scout router,4B post-scout,347,15,0.5187319884726225,0.002947684348300793,2.947684348300793,0.47451672324811056,"{""4B scout"": 64, ""Gemini"": 275, ""OSS-120B"": 0, ""OSS-20B"": 0, ""Qwen-30B"": 8}"
4B post-scout router,4B post-scout,347,20,0.5072046109510087,0.0026462069007781213,2.6462069007781213,0.45428047293544627,"{""4B scout"": 97, ""Gemini"": 249, ""OSS-120B"": 0, ""OSS-20B"": 1, ""Qwen-30B"": 0}"
4B post-scout router,4B post-scout,347,25,0.46397694524495675,0.002222868340736649,2.222868340736649,0.4084052367265405,"{""4B scout"": 148, ""Gemini"": 198, ""OSS-120B"": 0, ""OSS-20B"": 1, ""Qwen-30B"": 0}"
4B post-scout router,4B post-scout,347,30,0.38904899135446686,0.0016550900342629474,1.6550900342629473,0.3393962903265784,"{""4B scout"": 205, ""Gemini"": 141, ""OSS-120B"": 0, ""OSS-20B"": 1, ""Qwen-30B"": 0}"
4B post-scout router,4B post-scout,347,35,0.3659942363112392,0.001336522189037066,1.336522189037066,0.3192159596949419,"{""4B scout"": 235, ""Gemini"": 111, ""OSS-120B"": 0, ""OSS-20B"": 1, ""Qwen-30B"": 0}"
4B post-scout router,4B post-scout,347,40,0.36023054755043227,0.0011396211240970382,1.1396211240970382,0.3146457025865507,"{""4B scout"": 250, ""Gemini"": 96, ""OSS-120B"": 0, ""OSS-20B"": 1, ""Qwen-30B"": 0}"
4B post-scout router,4B post-scout,347,50,0.34870317002881845,0.0010802696262636388,1.0802696262636389,0.2946896887156365,"{""4B scout"": 259, ""Gemini"": 87, ""OSS-120B"": 0, ""OSS-20B"": 1, ""Qwen-30B"": 0}"
