policy,family,n,lambda_dollar,real_pass_rate,mean_cost_dollars,mean_cost_per_1000,real_utility,choice_counts_by_route
4B post-scout router,4B post-scout,347,0,0.5331412103746398,0.00359885971702932,3.59885971702932,0.5331412103746398,"{""4B scout"": 0, ""Gemini"": 318, ""OSS-120B"": 0, ""OSS-20B"": 0, ""Qwen-30B"": 29}"
4B post-scout oracle,4B post-scout,347,0,0.6455331412103746,0.002706914435025838,2.7069144350258383,0.6455331412103746,"{""4B scout"": 206, ""Gemini"": 15, ""OSS-120B"": 22, ""OSS-20B"": 75, ""Qwen-30B"": 29}"
always::4B scout,always,347,0,0.23919308357348704,0.0003149182493224933,0.3149182493224933,0.23919308357348704,"{""4B scout"": 347, ""Gemini"": 0, ""OSS-120B"": 0, ""OSS-20B"": 0, ""Qwen-30B"": 0}"
always::OSS-20B,always,347,0,0.4092219020172911,0.0032636645408929046,3.2636645408929046,0.4092219020172911,"{""4B scout"": 0, ""Gemini"": 0, ""OSS-120B"": 0, ""OSS-20B"": 347, ""Qwen-30B"": 0}"
always::Qwen-30B,always,347,0,0.42363112391930835,0.005934172291316101,5.934172291316101,0.42363112391930835,"{""4B scout"": 0, ""Gemini"": 0, ""OSS-120B"": 0, ""OSS-20B"": 0, ""Qwen-30B"": 347}"
always::OSS-120B,always,347,0,0.4755043227665706,0.015423710290151897,15.423710290151897,0.4755043227665706,"{""4B scout"": 0, ""Gemini"": 0, ""OSS-120B"": 347, ""OSS-20B"": 0, ""Qwen-30B"": 0}"
always::Gemini,always,347,0,0.5244956772334294,0.0033631503495136074,3.3631503495136075,0.5244956772334294,"{""4B scout"": 0, ""Gemini"": 347, ""OSS-120B"": 0, ""OSS-20B"": 0, ""Qwen-30B"": 0}"
4B post-scout router,4B post-scout,347,10,0.521613832853026,0.0032131493683584572,3.213149368358457,0.4894823391694414,"{""4B scout"": 29, ""Gemini"": 304, ""OSS-120B"": 0, ""OSS-20B"": 0, ""Qwen-30B"": 14}"
4B post-scout oracle,4B post-scout,347,10,0.6455331412103746,0.001671199696610773,1.671199696610773,0.6288211442442669,"{""4B scout"": 206, ""Gemini"": 73, ""OSS-120B"": 8, ""OSS-20B"": 51, ""Qwen-30B"": 9}"
always::4B scout,always,347,10,0.23919308357348704,0.0003149182493224933,0.3149182493224933,0.2360439010802621,"{""4B scout"": 347, ""Gemini"": 0, ""OSS-120B"": 0, ""OSS-20B"": 0, ""Qwen-30B"": 0}"
always::OSS-20B,always,347,10,0.4092219020172911,0.0032636645408929046,3.2636645408929046,0.37658525660836206,"{""4B scout"": 0, ""Gemini"": 0, ""OSS-120B"": 0, ""OSS-20B"": 347, ""Qwen-30B"": 0}"
always::Qwen-30B,always,347,10,0.42363112391930835,0.005934172291316101,5.934172291316101,0.3642894010061473,"{""4B scout"": 0, ""Gemini"": 0, ""OSS-120B"": 0, ""OSS-20B"": 0, ""Qwen-30B"": 347}"
always::OSS-120B,always,347,10,0.4755043227665706,0.015423710290151897,15.423710290151897,0.32126721986505163,"{""4B scout"": 0, ""Gemini"": 0, ""OSS-120B"": 347, ""OSS-20B"": 0, ""Qwen-30B"": 0}"
always::Gemini,always,347,10,0.5244956772334294,0.0033631503495136074,3.3631503495136075,0.49086417373829333,"{""4B scout"": 0, ""Gemini"": 347, ""OSS-120B"": 0, ""OSS-20B"": 0, ""Qwen-30B"": 0}"
4B post-scout router,4B post-scout,347,15,0.5187319884726225,0.002947684348300793,2.947684348300793,0.47451672324811056,"{""4B scout"": 64, ""Gemini"": 275, ""OSS-120B"": 0, ""OSS-20B"": 0, ""Qwen-30B"": 8}"
4B post-scout oracle,4B post-scout,347,15,0.6455331412103746,0.001671199696610773,1.671199696610773,0.620465145761213,"{""4B scout"": 206, ""Gemini"": 73, ""OSS-120B"": 8, ""OSS-20B"": 51, ""Qwen-30B"": 9}"
always::4B scout,always,347,15,0.23919308357348704,0.0003149182493224933,0.3149182493224933,0.23446930983364964,"{""4B scout"": 347, ""Gemini"": 0, ""OSS-120B"": 0, ""OSS-20B"": 0, ""Qwen-30B"": 0}"
always::OSS-20B,always,347,15,0.4092219020172911,0.0032636645408929046,3.2636645408929046,0.3602669339038975,"{""4B scout"": 0, ""Gemini"": 0, ""OSS-120B"": 0, ""OSS-20B"": 347, ""Qwen-30B"": 0}"
