policy,family,n,lambda_dollar,real_pass_rate,mean_cost_dollars,mean_cost_per_1000,real_utility,choice_counts_by_route
4B post-scout router,4B post-scout,347,0.0,0.5331412103746398,0.00532883672137915,5.32883672137915,0.5331412103746398,"{""4B scout"": 0, ""Gemini"": 318, ""OSS-120B"": 0, ""OSS-20B"": 0, ""Qwen-30B"": 29}"
4B post-scout oracle,4B post-scout,347,0.0,0.6455331412103746,0.0027863572455278183,2.7863572455278183,0.6455331412103746,"{""4B scout"": 206, ""Gemini"": 15, ""OSS-120B"": 22, ""OSS-20B"": 75, ""Qwen-30B"": 29}"
always::4B scout,always,347,0.0,0.23919308357348704,0.0003149182493224933,0.3149182493224933,0.23919308357348704,"{""4B scout"": 347, ""Gemini"": 0, ""OSS-120B"": 0, ""OSS-20B"": 0, ""Qwen-30B"": 0}"
always::OSS-20B,always,347,0.0,0.4092219020172911,0.0032636645408929046,3.2636645408929046,0.4092219020172911,"{""4B scout"": 0, ""Gemini"": 0, ""OSS-120B"": 0, ""OSS-20B"": 347, ""Qwen-30B"": 0}"
always::Qwen-30B,always,347,0.0,0.42363112391930835,0.005934172291316101,5.934172291316101,0.42363112391930835,"{""4B scout"": 0, ""Gemini"": 0, ""OSS-120B"": 0, ""OSS-20B"": 0, ""Qwen-30B"": 347}"
always::OSS-120B,always,347,0.0,0.4755043227665706,0.015423710290151897,15.423710290151897,0.4755043227665706,"{""4B scout"": 0, ""Gemini"": 0, ""OSS-120B"": 347, ""OSS-20B"": 0, ""Qwen-30B"": 0}"
always::Gemini,always,347,0.0,0.5244956772334294,0.005191986000324205,5.191986000324205,0.5244956772334294,"{""4B scout"": 0, ""Gemini"": 347, ""OSS-120B"": 0, ""OSS-20B"": 0, ""Qwen-30B"": 0}"
4B post-scout router,4B post-scout,347,5.0,0.5273775216138329,0.004993850551953274,4.993850551953274,0.5024082688540665,"{""4B scout"": 19, ""Gemini"": 305, ""OSS-120B"": 0, ""OSS-20B"": 0, ""Qwen-30B"": 23}"
4B post-scout oracle,4B post-scout,347,5.0,0.6455331412103746,0.0020469567209073693,2.046956720907369,0.6352983576058377,"{""4B scout"": 206, ""Gemini"": 52, ""OSS-120B"": 8, ""OSS-20B"": 64, ""Qwen-30B"": 17}"
always::4B scout,always,347,5.0,0.23919308357348704,0.0003149182493224933,0.3149182493224933,0.23761849232687457,"{""4B scout"": 347, ""Gemini"": 0, ""OSS-120B"": 0, ""OSS-20B"": 0, ""Qwen-30B"": 0}"
