policy,family,n,lambda_dollar,real_pass_rate,mean_cost_dollars,mean_cost_per_1000,real_utility,choice_counts_by_route
4B post-scout router,4B post-scout,347,0.0,0.5331412103746398,0.00532883672137915,5.32883672137915,0.5331412103746398,"{""4B scout"": 0, ""Gemini"": 318, ""OSS-120B"": 0, ""OSS-20B"": 0, ""Qwen-30B"": 29}"
4B post-scout router,4B post-scout,347,5.0,0.5273775216138329,0.004993850551953274,4.993850551953274,0.5024082688540665,"{""4B scout"": 19, ""Gemini"": 305, ""OSS-120B"": 0, ""OSS-20B"": 0, ""Qwen-30B"": 23}"
4B post-scout router,4B post-scout,347,10.0,0.5100864553314121,0.0044356704993715945,4.435670499371595,0.4657297503376961,"{""4B scout"": 60, ""Gemini"": 270, ""OSS-120B"": 0, ""OSS-20B"": 0, ""Qwen-30B"": 17}"
4B post-scout router,4B post-scout,347,15.0,0.4755043227665706,0.0035370482693870067,3.537048269387007,0.4224485987257655,"{""4B scout"": 125, ""Gemini"": 211, ""OSS-120B"": 0, ""OSS-20B"": 0, ""Qwen-30B"": 11}"
4B post-scout router,4B post-scout,347,20.0,0.4092219020172911,0.002454179355242978,2.454179355242978,0.36013831491243153,"{""4B scout"": 203, ""Gemini"": 139, ""OSS-120B"": 0, ""OSS-20B"": 2, ""Qwen-30B"": 3}"
4B post-scout router,4B post-scout,347,25.0,0.3746397694524496,0.00188723292201855,1.88723292201855,0.32745894640198586,"{""4B scout"": 240, ""Gemini"": 103, ""OSS-120B"": 0, ""OSS-20B"": 3, ""Qwen-30B"": 1}"
4B post-scout router,4B post-scout,347,30.0,0.34870317002881845,0.0015519120229678554,1.5519120229678554,0.3021458093397828,"{""4B scout"": 260, ""Gemini"": 83, ""OSS-120B"": 0, ""OSS-20B"": 4, ""Qwen-30B"": 0}"
4B post-scout router,4B post-scout,347,35.0,0.345821325648415,0.0015837697024090004,1.5837697024090003,0.2903893860641,"{""4B scout"": 262, ""Gemini"": 79, ""OSS-120B"": 0, ""OSS-20B"": 6, ""Qwen-30B"": 0}"
4B post-scout router,4B post-scout,347,40.0,0.34293948126801155,0.0015543004262749186,1.5543004262749185,0.2807674642170148,"{""4B scout"": 263, ""Gemini"": 74, ""OSS-120B"": 0, ""OSS-20B"": 10, ""Qwen-30B"": 0}"
4B post-scout router,4B post-scout,347,50.0,0.31412103746397696,0.0012072109444513526,1.2072109444513526,0.25376049024140934,"{""4B scout"": 268, ""Gemini"": 30, ""OSS-120B"": 0, ""OSS-20B"": 49, ""Qwen-30B"": 0}"
4B post-scout router,4B post-scout,347,75.0,0.2824207492795389,0.0007169194450859912,0.7169194450859911,0.22865179089808957,"{""4B scout"": 297, ""Gemini"": 0, ""OSS-120B"": 0, ""OSS-20B"": 50, ""Qwen-30B"": 0}"
4B post-scout router,4B post-scout,347,100.0,0.2507204610951009,0.00040658948097943017,0.40658948097943015,0.21006151299715786,"{""4B scout"": 334, ""Gemini"": 0, ""OSS-120B"": 0, ""OSS-20B"": 13, ""Qwen-30B"": 0}"
4B post-scout router,4B post-scout,347,150.0,0.23919308357348704,0.0003149182493224933,0.3149182493224933,0.19195534617511303,"{""4B scout"": 347, ""Gemini"": 0, ""OSS-120B"": 0, ""OSS-20B"": 0, ""Qwen-30B"": 0}"
4B post-scout router,4B post-scout,347,200.0,0.23919308357348704,0.0003149182493224933,0.3149182493224933,0.1762094337089884,"{""4B scout"": 347, ""Gemini"": 0, ""OSS-120B"": 0, ""OSS-20B"": 0, ""Qwen-30B"": 0}"
4B input-only router,4B input-only,347,0.0,0.5244956772334294,0.00518520699910032,5.18520699910032,0.5244956772334294,"{""4B scout"": 0, ""Gemini"": 346, ""OSS-120B"": 0, ""OSS-20B"": 0, ""Qwen-30B"": 1}"
4B input-only router,4B input-only,347,5.0,0.5244956772334294,0.005205161763775867,5.205161763775867,0.49846986841455004,"{""4B scout"": 0, ""Gemini"": 343, ""OSS-120B"": 0, ""OSS-20B"": 0, ""Qwen-30B"": 4}"
4B input-only router,4B input-only,347,10.0,0.5244956772334294,0.0048012027921428245,4.801202792142824,0.47648364931200116,"{""4B scout"": 23, ""Gemini"": 324, ""OSS-120B"": 0, ""OSS-20B"": 0, ""Qwen-30B"": 0}"
4B input-only router,4B input-only,347,15.0,0.5244956772334294,0.0046608265890297415,4.660826589029742,0.4545832783979833,"{""4B scout"": 32, ""Gemini"": 315, ""OSS-120B"": 0, ""OSS-20B"": 0, ""Qwen-30B"": 0}"
4B input-only router,4B input-only,347,20.0,0.5244956772334294,0.0046608265890297415,4.660826589029742,0.4312791454528345,"{""4B scout"": 32, ""Gemini"": 315, ""OSS-120B"": 0, ""OSS-20B"": 0, ""Qwen-30B"": 0}"
4B input-only router,4B input-only,347,25.0,0.5187319884726225,0.004510957500893985,4.510957500893984,0.4059580509502729,"{""4B scout"": 38, ""Gemini"": 304, ""OSS-120B"": 0, ""OSS-20B"": 5, ""Qwen-30B"": 0}"
4B input-only router,4B input-only,347,30.0,0.23919308357348704,0.00039892032490609095,0.398920324906091,0.22722547382630431,"{""4B scout"": 335, ""Gemini"": 2, ""OSS-120B"": 0, ""OSS-20B"": 10, ""Qwen-30B"": 0}"
4B input-only router,4B input-only,347,35.0,0.23631123919308358,0.00031600564188250733,0.31600564188250735,0.22525104172719582,"{""4B scout"": 345, ""Gemini"": 0, ""OSS-120B"": 0, ""OSS-20B"": 2, ""Qwen-30B"": 0}"
4B input-only router,4B input-only,347,40.0,0.23919308357348704,0.0003092882259196136,0.3092882259196136,0.2268215545367025,"{""4B scout"": 347, ""Gemini"": 0, ""OSS-120B"": 0, ""OSS-20B"": 0, ""Qwen-30B"": 0}"
