policy,family,n,lambda_dollar,real_pass_rate,mean_cost_dollars,mean_cost_per_1000,real_utility,choice_counts_by_route
4B post-scout router,4B post-scout,347,0.0,0.4092219020172911,0.008009264107402816,8.009264107402815,0.4092219020172911,"{""4B scout"": 76, ""OSS-120B"": 104, ""OSS-20B"": 7, ""Qwen-30B"": 160}"
4B post-scout router,4B post-scout,347,5.0,0.3371757925072046,0.0024952064087924762,2.4952064087924763,0.3246997604632422,"{""4B scout"": 178, ""OSS-120B"": 0, ""OSS-20B"": 78, ""Qwen-30B"": 91}"
4B post-scout router,4B post-scout,347,10.0,0.31412103746397696,0.0016241407312783157,1.6241407312783158,0.2978796301511938,"{""4B scout"": 223, ""OSS-120B"": 0, ""OSS-20B"": 88, ""Qwen-30B"": 36}"
4B post-scout router,4B post-scout,347,15.0,0.30835734870317005,0.0014188173852328796,1.4188173852328796,0.28707508792467684,"{""4B scout"": 242, ""OSS-120B"": 0, ""OSS-20B"": 90, ""Qwen-30B"": 15}"
4B post-scout router,4B post-scout,347,20.0,0.3025936599423631,0.001357245886614874,1.357245886614874,0.2754487422100656,"{""4B scout"": 251, ""OSS-120B"": 0, ""OSS-20B"": 91, ""Qwen-30B"": 5}"
4B post-scout router,4B post-scout,347,25.0,0.29971181556195964,0.0012924376200095069,1.292437620009507,0.26740087506172194,"{""4B scout"": 258, ""OSS-120B"": 0, ""OSS-20B"": 88, ""Qwen-30B"": 1}"
4B post-scout router,4B post-scout,347,30.0,0.29971181556195964,0.0012317165200473037,1.2317165200473037,0.2627603199605405,"{""4B scout"": 261, ""OSS-120B"": 0, ""OSS-20B"": 86, ""Qwen-30B"": 0}"
4B post-scout router,4B post-scout,347,35.0,0.29971181556195964,0.0012249220392131347,1.2249220392131348,0.25683954418949995,"{""4B scout"": 263, ""OSS-120B"": 0, ""OSS-20B"": 84, ""Qwen-30B"": 0}"
4B post-scout router,4B post-scout,347,40.0,0.29971181556195964,0.0012118421971799324,1.2118421971799325,0.25123812767476233,"{""4B scout"": 265, ""OSS-120B"": 0, ""OSS-20B"": 82, ""Qwen-30B"": 0}"
4B post-scout router,4B post-scout,347,50.0,0.2968299711815562,0.0011680617846358318,1.1680617846358317,0.23842688194976458,"{""4B scout"": 269, ""OSS-120B"": 0, ""OSS-20B"": 78, ""Qwen-30B"": 0}"
4B post-scout router,4B post-scout,347,75.0,0.2824207492795389,0.0007169194450859912,0.7169194450859911,0.22865179089808957,"{""4B scout"": 297, ""OSS-120B"": 0, ""OSS-20B"": 50, ""Qwen-30B"": 0}"
4B post-scout router,4B post-scout,347,100.0,0.2507204610951009,0.00040658948097943017,0.40658948097943015,0.21006151299715786,"{""4B scout"": 334, ""OSS-120B"": 0, ""OSS-20B"": 13, ""Qwen-30B"": 0}"
4B post-scout router,4B post-scout,347,150.0,0.23919308357348704,0.0003149182493224933,0.3149182493224933,0.19195534617511303,"{""4B scout"": 347, ""OSS-120B"": 0, ""OSS-20B"": 0, ""Qwen-30B"": 0}"
4B post-scout router,4B post-scout,347,200.0,0.23919308357348704,0.0003149182493224933,0.3149182493224933,0.1762094337089884,"{""4B scout"": 347, ""OSS-120B"": 0, ""OSS-20B"": 0, ""Qwen-30B"": 0}"
4B input-only router,4B input-only,347,0.0,0.42363112391930835,0.005934172291316101,5.934172291316101,0.42363112391930835,"{""4B scout"": 0, ""OSS-120B"": 0, ""OSS-20B"": 0, ""Qwen-30B"": 347}"
4B input-only router,4B input-only,347,5.0,0.42363112391930835,0.005934172291316101,5.934172291316101,0.39396026246272786,"{""4B scout"": 0, ""OSS-120B"": 0, ""OSS-20B"": 0, ""Qwen-30B"": 347}"
4B input-only router,4B input-only,347,10.0,0.41210374639769454,0.004844727054598248,4.8447270545982475,0.36365647585171207,"{""4B scout"": 49, ""OSS-120B"": 0, ""OSS-20B"": 4, ""Qwen-30B"": 294}"
4B input-only router,4B input-only,347,15.0,0.276657060518732,0.0009537850727452021,0.9537850727452021,0.262350284427554,"{""4B scout"": 251, ""OSS-120B"": 0, ""OSS-20B"": 94, ""Qwen-30B"": 2}"
4B input-only router,4B input-only,347,20.0,0.2622478386167147,0.0007142456065266795,0.7142456065266796,0.2479629264861811,"{""4B scout"": 283, ""OSS-120B"": 0, ""OSS-20B"": 64, ""Qwen-30B"": 0}"
4B input-only router,4B input-only,347,25.0,0.2478386167146974,0.0005065448994133173,0.5065448994133173,0.23517499422936447,"{""4B scout"": 315, ""OSS-120B"": 0, ""OSS-20B"": 32, ""Qwen-30B"": 0}"
4B input-only router,4B input-only,347,30.0,0.23919308357348704,0.0003714632458028356,0.3714632458028356,0.22804918619940195,"{""4B scout"": 337, ""OSS-120B"": 0, ""OSS-20B"": 10, ""Qwen-30B"": 0}"
4B input-only router,4B input-only,347,35.0,0.23631123919308358,0.00031600564188250733,0.31600564188250735,0.22525104172719582,"{""4B scout"": 345, ""OSS-120B"": 0, ""OSS-20B"": 2, ""Qwen-30B"": 0}"
4B input-only router,4B input-only,347,40.0,0.23919308357348704,0.0003092882259196136,0.3092882259196136,0.2268215545367025,"{""4B scout"": 347, ""OSS-120B"": 0, ""OSS-20B"": 0, ""Qwen-30B"": 0}"
4B input-only router,4B input-only,347,50.0,0.23919308357348704,0.0003092882259196136,0.3092882259196136,0.22372867227750637,"{""4B scout"": 347, ""OSS-120B"": 0, ""OSS-20B"": 0, ""Qwen-30B"": 0}"
4B input-only router,4B input-only,347,75.0,0.23919308357348704,0.0003092882259196136,0.3092882259196136,0.21599646662951602,"{""4B scout"": 347, ""OSS-120B"": 0, ""OSS-20B"": 0, ""Qwen-30B"": 0}"
4B input-only router,4B input-only,347,100.0,0.23919308357348704,0.0003092882259196136,0.3092882259196136,0.20826426098152567,"{""4B scout"": 347, ""OSS-120B"": 0, ""OSS-20B"": 0, ""Qwen-30B"": 0}"
4B input-only router,4B input-only,347,150.0,0.23919308357348704,0.0003092882259196136,0.3092882259196136,0.192799849685545,"{""4B scout"": 347, ""OSS-120B"": 0, ""OSS-20B"": 0, ""Qwen-30B"": 0}"
4B input-only router,4B input-only,347,200.0,0.23919308357348704,0.0003092882259196136,0.3092882259196136,0.1773354383895643,"{""4B scout"": 347, ""OSS-120B"": 0, ""OSS-20B"": 0, ""Qwen-30B"": 0}"
