policy,family,n,lambda_dollar,real_pass_rate,mean_cost_dollars,mean_cost_per_1000,real_utility,choice_counts_by_route
4B post-scout router,4B post-scout,347,0.0,0.4092219020172911,0.008009264107402816,8.009264107402815,0.4092219020172911,"{""4B scout"": 76, ""OSS-120B"": 104, ""OSS-20B"": 7, ""Qwen-30B"": 160}"
4B post-scout oracle,4B post-scout,347,0.0,0.6023054755043228,0.002562120076861742,2.562120076861742,0.6023054755043228,"{""4B scout"": 221, ""OSS-120B"": 22, ""OSS-20B"": 75, ""Qwen-30B"": 29}"
always::4B scout,always,347,0.0,0.23919308357348704,0.0003149182493224933,0.3149182493224933,0.23919308357348704,"{""4B scout"": 347, ""OSS-120B"": 0, ""OSS-20B"": 0, ""Qwen-30B"": 0}"
always::OSS-20B,always,347,0.0,0.4092219020172911,0.0032636645408929046,3.2636645408929046,0.4092219020172911,"{""4B scout"": 0, ""OSS-120B"": 0, ""OSS-20B"": 347, ""Qwen-30B"": 0}"
always::Qwen-30B,always,347,0.0,0.42363112391930835,0.005934172291316101,5.934172291316101,0.42363112391930835,"{""4B scout"": 0, ""OSS-120B"": 0, ""OSS-20B"": 0, ""Qwen-30B"": 347}"
always::OSS-120B,always,347,0.0,0.4755043227665706,0.015423710290151897,15.423710290151897,0.4755043227665706,"{""4B scout"": 0, ""OSS-120B"": 347, ""OSS-20B"": 0, ""Qwen-30B"": 0}"
4B post-scout router,4B post-scout,347,10.0,0.31412103746397696,0.0016241407312783157,1.6241407312783158,0.2978796301511938,"{""4B scout"": 223, ""OSS-120B"": 0, ""OSS-20B"": 88, ""Qwen-30B"": 36}"
4B post-scout oracle,4B post-scout,347,10.0,0.6023054755043228,0.002476299114447014,2.4762991144470137,0.5775424843598527,"{""4B scout"": 221, ""OSS-120B"": 27, ""OSS-20B"": 70, ""Qwen-30B"": 29}"
always::4B scout,always,347,10.0,0.23919308357348704,0.0003149182493224933,0.3149182493224933,0.2360439010802621,"{""4B scout"": 347, ""OSS-120B"": 0, ""OSS-20B"": 0, ""Qwen-30B"": 0}"
always::OSS-20B,always,347,10.0,0.4092219020172911,0.0032636645408929046,3.2636645408929046,0.37658525660836206,"{""4B scout"": 0, ""OSS-120B"": 0, ""OSS-20B"": 347, ""Qwen-30B"": 0}"
always::Qwen-30B,always,347,10.0,0.42363112391930835,0.005934172291316101,5.934172291316101,0.3642894010061473,"{""4B scout"": 0, ""OSS-120B"": 0, ""OSS-20B"": 0, ""Qwen-30B"": 347}"
always::OSS-120B,always,347,10.0,0.4755043227665706,0.015423710290151897,15.423710290151897,0.32126721986505163,"{""4B scout"": 0, ""OSS-120B"": 347, ""OSS-20B"": 0, ""Qwen-30B"": 0}"
4B post-scout router,4B post-scout,347,15.0,0.30835734870317005,0.0014188173852328796,1.4188173852328796,0.28707508792467684,"{""4B scout"": 242, ""OSS-120B"": 0, ""OSS-20B"": 90, ""Qwen-30B"": 15}"
4B post-scout oracle,4B post-scout,347,15.0,0.6023054755043228,0.002476299114447014,2.4762991144470137,0.5651609887876176,"{""4B scout"": 221, ""OSS-120B"": 27, ""OSS-20B"": 70, ""Qwen-30B"": 29}"
always::4B scout,always,347,15.0,0.23919308357348704,0.0003149182493224933,0.3149182493224933,0.23446930983364964,"{""4B scout"": 347, ""OSS-120B"": 0, ""OSS-20B"": 0, ""Qwen-30B"": 0}"
always::OSS-20B,always,347,15.0,0.4092219020172911,0.0032636645408929046,3.2636645408929046,0.3602669339038975,"{""4B scout"": 0, ""OSS-120B"": 0, ""OSS-20B"": 347, ""Qwen-30B"": 0}"
always::Qwen-30B,always,347,15.0,0.42363112391930835,0.005934172291316101,5.934172291316101,0.33461853954956683,"{""4B scout"": 0, ""OSS-120B"": 0, ""OSS-20B"": 0, ""Qwen-30B"": 347}"
always::OSS-120B,always,347,15.0,0.4755043227665706,0.015423710290151897,15.423710290151897,0.24414866841429217,"{""4B scout"": 0, ""OSS-120B"": 347, ""OSS-20B"": 0, ""Qwen-30B"": 0}"
4B post-scout router,4B post-scout,347,20.0,0.3025936599423631,0.001357245886614874,1.357245886614874,0.2754487422100656,"{""4B scout"": 251, ""OSS-120B"": 0, ""OSS-20B"": 91, ""Qwen-30B"": 5}"
4B post-scout oracle,4B post-scout,347,20.0,0.6023054755043228,0.002476299114447014,2.4762991144470137,0.5527794932153826,"{""4B scout"": 221, ""OSS-120B"": 27, ""OSS-20B"": 70, ""Qwen-30B"": 29}"
always::4B scout,always,347,20.0,0.23919308357348704,0.0003149182493224933,0.3149182493224933,0.23289471858703717,"{""4B scout"": 347, ""OSS-120B"": 0, ""OSS-20B"": 0, ""Qwen-30B"": 0}"
always::OSS-20B,always,347,20.0,0.4092219020172911,0.0032636645408929046,3.2636645408929046,0.343948611199433,"{""4B scout"": 0, ""OSS-120B"": 0, ""OSS-20B"": 347, ""Qwen-30B"": 0}"
always::Qwen-30B,always,347,20.0,0.42363112391930835,0.005934172291316101,5.934172291316101,0.30494767809298634,"{""4B scout"": 0, ""OSS-120B"": 0, ""OSS-20B"": 0, ""Qwen-30B"": 347}"
always::OSS-120B,always,347,20.0,0.4755043227665706,0.015423710290151897,15.423710290151897,0.16703011696353265,"{""4B scout"": 0, ""OSS-120B"": 347, ""OSS-20B"": 0, ""Qwen-30B"": 0}"
4B post-scout router,4B post-scout,347,25.0,0.29971181556195964,0.0012924376200095069,1.292437620009507,0.26740087506172194,"{""4B scout"": 258, ""OSS-120B"": 0, ""OSS-20B"": 88, ""Qwen-30B"": 1}"
4B post-scout oracle,4B post-scout,347,25.0,0.6023054755043228,0.002476299114447014,2.4762991144470137,0.5403979976431474,"{""4B scout"": 221, ""OSS-120B"": 27, ""OSS-20B"": 70, ""Qwen-30B"": 29}"
always::4B scout,always,347,25.0,0.23919308357348704,0.0003149182493224933,0.3149182493224933,0.2313201273404247,"{""4B scout"": 347, ""OSS-120B"": 0, ""OSS-20B"": 0, ""Qwen-30B"": 0}"
always::OSS-20B,always,347,25.0,0.4092219020172911,0.0032636645408929046,3.2636645408929046,0.32763028849496845,"{""4B scout"": 0, ""OSS-120B"": 0, ""OSS-20B"": 347, ""Qwen-30B"": 0}"
always::Qwen-30B,always,347,25.0,0.42363112391930835,0.005934172291316101,5.934172291316101,0.2752768166364058,"{""4B scout"": 0, ""OSS-120B"": 0, ""OSS-20B"": 0, ""Qwen-30B"": 347}"
