ids,models,oracle_pass,oracle_rate,best_single_rate,headroom_vs_best
"qwen3_coder_30b_a3b,gpt_oss_120b,gemini",Qwen3-Coder-30B + OSS-120B + Gemini-3-Flash,218,0.6282420749279539,0.5244956772334294,0.10374639769452454
"qwen3_32b,gpt_oss_120b,gemini",Qwen3-32B + OSS-120B + Gemini-3-Flash,217,0.6253602305475504,0.5244956772334294,0.10086455331412103
"gpt_oss_20b,gpt_oss_120b,gemini",OSS-20B + OSS-120B + Gemini-3-Flash,217,0.6253602305475504,0.5244956772334294,0.10086455331412103
"qwen3_14b,gpt_oss_120b,gemini",Qwen3-14B + OSS-120B + Gemini-3-Flash,215,0.6195965417867435,0.5244956772334294,0.09510086455331412
"gpt_oss_20b,qwen3_coder_30b_a3b,gemini",OSS-20B + Qwen3-Coder-30B + Gemini-3-Flash,215,0.6195965417867435,0.5244956772334294,0.09510086455331412
"qwen3_8b,gpt_oss_120b,gemini",Qwen3-8B + OSS-120B + Gemini-3-Flash,214,0.6167146974063401,0.5244956772334294,0.09221902017291073
"qwen3_coder_next,gpt_oss_20b,gemini",Qwen3-Coder-Next + OSS-20B + Gemini-3-Flash,214,0.6167146974063401,0.5244956772334294,0.09221902017291073
"qwen3_4b_instruct_2507,gpt_oss_120b,gemini",Qwen3-4B + OSS-120B + Gemini-3-Flash,213,0.6138328530259366,0.5244956772334294,0.08933717579250722
"qwen3_8b,gpt_oss_20b,gemini",Qwen3-8B + OSS-20B + Gemini-3-Flash,213,0.6138328530259366,0.5244956772334294,0.08933717579250722
"qwen3_coder_next,gpt_oss_120b,gemini",Qwen3-Coder-Next + OSS-120B + Gemini-3-Flash,213,0.6138328530259366,0.5244956772334294,0.08933717579250722
"qwen3_32b,gpt_oss_20b,gemini",Qwen3-32B + OSS-20B + Gemini-3-Flash,213,0.6138328530259366,0.5244956772334294,0.08933717579250722
"qwen3_4b_instruct_2507,gpt_oss_20b,gemini",Qwen3-4B + OSS-20B + Gemini-3-Flash,212,0.6109510086455331,0.5244956772334294,0.08645533141210371
"qwen3_32b,qwen3_coder_30b_a3b,gemini",Qwen3-32B + Qwen3-Coder-30B + Gemini-3-Flash,212,0.6109510086455331,0.5244956772334294,0.08645533141210371
"qwen3_8b,qwen3_32b,gemini",Qwen3-8B + Qwen3-32B + Gemini-3-Flash,210,0.6051873198847262,0.5244956772334294,0.0806916426512968
"qwen3_8b,qwen3_coder_30b_a3b,gemini",Qwen3-8B + Qwen3-Coder-30B + Gemini-3-Flash,210,0.6051873198847262,0.5244956772334294,0.0806916426512968
"qwen3_coder_next,qwen3_coder_30b_a3b,gemini",Qwen3-Coder-Next + Qwen3-Coder-30B + Gemini-3-Flash,210,0.6051873198847262,0.5244956772334294,0.0806916426512968
"qwen3_14b,gpt_oss_20b,gemini",Qwen3-14B + OSS-20B + Gemini-3-Flash,210,0.6051873198847262,0.5244956772334294,0.0806916426512968
"qwen3_14b,qwen3_coder_30b_a3b,gemini",Qwen3-14B + Qwen3-Coder-30B + Gemini-3-Flash,210,0.6051873198847262,0.5244956772334294,0.0806916426512968
"qwen3_coder_next,qwen3_32b,gemini",Qwen3-Coder-Next + Qwen3-32B + Gemini-3-Flash,208,0.5994236311239193,0.5244956772334294,0.0749279538904899
"qwen3_4b_instruct_2507,qwen3_32b,gemini",Qwen3-4B + Qwen3-32B + Gemini-3-Flash,207,0.5965417867435159,0.5244956772334294,0.0720461095100865
"qwen3_14b,qwen3_32b,gemini",Qwen3-14B + Qwen3-32B + Gemini-3-Flash,207,0.5965417867435159,0.5244956772334294,0.0720461095100865
"qwen3_4b_instruct_2507,qwen3_coder_30b_a3b,gemini",Qwen3-4B + Qwen3-Coder-30B + Gemini-3-Flash,206,0.5936599423631124,0.5244956772334294,0.06916426512968299
"qwen3_8b,qwen3_14b,gemini",Qwen3-8B + Qwen3-14B + Gemini-3-Flash,206,0.5936599423631124,0.5244956772334294,0.06916426512968299
"qwen3_coder_next,qwen3_14b,gemini",Qwen3-Coder-Next + Qwen3-14B + Gemini-3-Flash,206,0.5936599423631124,0.5244956772334294,0.06916426512968299
"qwen3_8b,qwen3_coder_next,gemini",Qwen3-8B + Qwen3-Coder-Next + Gemini-3-Flash,204,0.5878962536023055,0.5244956772334294,0.06340057636887608
"qwen3_4b_instruct_2507,qwen3_14b,gemini",Qwen3-4B + Qwen3-14B + Gemini-3-Flash,203,0.5850144092219021,0.5244956772334294,0.060518731988472685
"qwen3_4b_instruct_2507,qwen3_8b,gemini",Qwen3-4B + Qwen3-8B + Gemini-3-Flash,201,0.579250720461095,0.5244956772334294,0.05475504322766567
"qwen3_4b_instruct_2507,qwen3_coder_next,gemini",Qwen3-4B + Qwen3-Coder-Next + Gemini-3-Flash,201,0.579250720461095,0.5244956772334294,0.05475504322766567
