a,b,a_id,b_id,a_pass,b_pass,both_pass,a_only,b_only,neither,oracle_pass,oracle_rate,best_single_rate,headroom_vs_best,disagreement,jaccard_pass
Qwen3-Coder-30B,OSS-120B,qwen3_coder_30b_a3b,gpt_oss_120b,179,211,145,34,66,255,245,0.49,0.422,0.068,100,0.5918367346938775
Qwen3-32B,OSS-120B,qwen3_32b,gpt_oss_120b,167,211,135,32,76,257,243,0.486,0.422,0.064,108,0.5555555555555556
OSS-20B,OSS-120B,gpt_oss_20b,gpt_oss_120b,172,211,140,32,71,257,243,0.486,0.422,0.064,103,0.5761316872427984
Qwen3-Coder-Next,OSS-120B,qwen3_coder_next,gpt_oss_120b,121,211,98,23,113,266,234,0.468,0.422,0.04600000000000004,136,0.4188034188034188
Qwen3-14B,OSS-120B,qwen3_14b,gpt_oss_120b,138,211,115,23,96,266,234,0.468,0.422,0.04600000000000004,119,0.49145299145299143
Qwen3-Coder-30B,OSS-20B,qwen3_coder_30b_a3b,gpt_oss_20b,179,172,123,56,49,272,228,0.456,0.358,0.09800000000000003,105,0.5394736842105263
Qwen3-4B,OSS-120B,qwen3_4b_instruct_2507,gpt_oss_120b,99,211,82,17,129,272,228,0.456,0.422,0.03400000000000003,146,0.35964912280701755
Qwen3-8B,OSS-120B,qwen3_8b,gpt_oss_120b,97,211,82,15,129,274,226,0.452,0.422,0.030000000000000027,144,0.36283185840707965
Qwen3-Coder-30B,Qwen3-32B,qwen3_coder_30b_a3b,qwen3_32b,179,167,124,55,43,278,222,0.444,0.358,0.08600000000000002,98,0.5585585585585585
Qwen3-32B,OSS-20B,qwen3_32b,gpt_oss_20b,167,172,123,44,49,284,216,0.432,0.344,0.08800000000000002,93,0.5694444444444444
Qwen3-Coder-Next,OSS-20B,qwen3_coder_next,gpt_oss_20b,121,172,82,39,90,289,211,0.422,0.344,0.07800000000000001,129,0.3886255924170616
Qwen3-Coder-Next,Qwen3-Coder-30B,qwen3_coder_next,qwen3_coder_30b_a3b,121,179,89,32,90,289,211,0.422,0.358,0.064,122,0.4218009478672986
Qwen3-14B,OSS-20B,qwen3_14b,gpt_oss_20b,138,172,102,36,70,292,208,0.416,0.344,0.07200000000000001,106,0.49038461538461536
Qwen3-Coder-30B,Qwen3-14B,qwen3_coder_30b_a3b,qwen3_14b,179,138,110,69,28,293,207,0.414,0.358,0.055999999999999994,97,0.5314009661835749
Qwen3-Coder-Next,Qwen3-32B,qwen3_coder_next,qwen3_32b,121,167,87,34,80,299,201,0.402,0.334,0.068,114,0.43283582089552236
Qwen3-14B,Qwen3-32B,qwen3_14b,qwen3_32b,138,167,108,30,59,303,197,0.394,0.334,0.06,89,0.5482233502538071
Qwen3-Coder-30B,Qwen3-8B,qwen3_coder_30b_a3b,qwen3_8b,179,97,79,100,18,303,197,0.394,0.358,0.03600000000000003,118,0.4010152284263959
Qwen3-8B,OSS-20B,qwen3_8b,gpt_oss_20b,97,172,76,21,96,307,193,0.386,0.344,0.04200000000000004,117,0.39378238341968913
Qwen3-4B,OSS-20B,qwen3_4b_instruct_2507,gpt_oss_20b,99,172,78,21,94,307,193,0.386,0.344,0.04200000000000004,115,0.40414507772020725
Qwen3-Coder-30B,Qwen3-4B,qwen3_coder_30b_a3b,qwen3_4b_instruct_2507,179,99,87,92,12,309,191,0.382,0.358,0.02400000000000002,104,0.45549738219895286
Qwen3-4B,Qwen3-32B,qwen3_4b_instruct_2507,qwen3_32b,99,167,77,22,90,311,189,0.378,0.334,0.043999999999999984,112,0.4074074074074074
Qwen3-Coder-Next,Qwen3-14B,qwen3_coder_next,qwen3_14b,121,138,73,48,65,314,186,0.372,0.276,0.09599999999999997,113,0.3924731182795699
Qwen3-8B,Qwen3-32B,qwen3_8b,qwen3_32b,97,167,80,17,87,316,184,0.368,0.334,0.033999999999999975,104,0.43478260869565216
Qwen3-4B,Qwen3-14B,qwen3_4b_instruct_2507,qwen3_14b,99,138,72,27,66,335,165,0.33,0.276,0.05399999999999999,93,0.43636363636363634
Qwen3-Coder-Next,Qwen3-8B,qwen3_coder_next,qwen3_8b,121,97,54,67,43,336,164,0.328,0.242,0.08600000000000002,110,0.32926829268292684
Qwen3-8B,Qwen3-14B,qwen3_8b,qwen3_14b,97,138,74,23,64,339,161,0.322,0.276,0.045999999999999985,87,0.45962732919254656
Qwen3-Coder-Next,Qwen3-4B,qwen3_coder_next,qwen3_4b_instruct_2507,121,99,61,60,38,341,159,0.318,0.242,0.07600000000000001,98,0.3836477987421384
Qwen3-4B,Qwen3-8B,qwen3_4b_instruct_2507,qwen3_8b,99,97,61,38,36,365,135,0.27,0.198,0.07200000000000001,74,0.45185185185185184
