a,b,true_disagreements,proxy_winner_acc_on_true_disagreements,mean_abs_proxy_delta_on_true_disagreements,median_abs_proxy_delta_on_true_disagreements,proxy_delta_real_delta_r
Qwen3-Coder-Next,Qwen3-4B,98,0.9387755102040817,0.4569846753508567,0.4318598136116384,0.5664503026478682
Qwen3-Coder-Next,Qwen3-32B,114,0.9385964912280702,0.5758372771277103,0.6254274894590247,0.6279449578957969
Qwen3-Coder-Next,OSS-20B,129,0.9224806201550387,0.5148655668391714,0.5334833989870569,0.6408219911405068
Qwen3-4B,Qwen3-32B,112,0.9107142857142857,0.378332146557522,0.35475634449327337,0.4520093480316153
Qwen3-Coder-Next,Qwen3-Coder-30B,122,0.9098360655737705,0.5528926760608622,0.5947083073039836,0.6403136305761022
Qwen3-Coder-Next,OSS-120B,136,0.8823529411764706,0.4708752490078267,0.46515183033627644,0.5372760134326936
Qwen3-Coder-Next,Qwen3-14B,113,0.8761061946902655,0.5279004890758887,0.5784313725490197,0.5730666141733531
Qwen3-Coder-30B,Qwen3-4B,104,0.875,0.32302505611034893,0.27225740810462473,0.3853778343656963
Qwen3-4B,Qwen3-14B,93,0.8709677419354839,0.37029045048991804,0.29603476033382575,0.43454815130168783
Qwen3-Coder-Next,Qwen3-8B,110,0.8636363636363636,0.4958001792585885,0.4955953768254183,0.6058255412669736
Qwen3-4B,Qwen3-8B,74,0.8513513513513513,0.2925779032388712,0.1709186984272024,0.37841797127294025
Qwen3-Coder-30B,OSS-20B,105,0.8476190476190476,0.40372231182496643,0.3585798816568047,0.5317241144879855
Qwen3-32B,OSS-20B,93,0.8279569892473119,0.35311220427527884,0.27990838578054933,0.4798901087679411
Qwen3-8B,Qwen3-14B,87,0.8275862068965517,0.35347769745752056,0.2502154184398184,0.4139315302330071
Qwen3-14B,OSS-20B,106,0.8207547169811321,0.38647849554029234,0.3195427629644424,0.5038113096441414
Qwen3-8B,Qwen3-32B,104,0.8173076923076923,0.36672760304886104,0.3180621464971144,0.4066072333900679
Qwen3-Coder-30B,Qwen3-32B,98,0.8163265306122449,0.4037818107284743,0.3906919570612283,0.4939764680528078
OSS-20B,OSS-120B,103,0.8058252427184466,0.32312297571902066,0.2796199952064163,0.4642580217717686
Qwen3-4B,OSS-20B,115,0.8,0.34878927669521587,0.29493087557603687,0.4542244811346983
Qwen3-14B,Qwen3-32B,89,0.797752808988764,0.3811128645535789,0.3222484569818981,0.48661379049558673
Qwen3-Coder-30B,Qwen3-8B,118,0.7796610169491526,0.3374070082477594,0.3025695480568323,0.40070301444776874
Qwen3-32B,OSS-120B,108,0.7777777777777778,0.3461471190259135,0.27841134492417824,0.44242300792188044
Qwen3-Coder-30B,OSS-120B,100,0.77,0.3368335282607834,0.2534730563586586,0.45043705917844196
Qwen3-8B,OSS-20B,117,0.7692307692307693,0.35514925300424155,0.3259034021950487,0.43490497249256127
Qwen3-8B,OSS-120B,144,0.7569444444444444,0.32579491910637276,0.26911423936971385,0.36378804602536
Qwen3-Coder-30B,Qwen3-14B,97,0.7525773195876289,0.36041158815121477,0.266347687400319,0.41793661464652676
Qwen3-4B,OSS-120B,146,0.726027397260274,0.32051572990791305,0.2577174047794616,0.3557322342197836
Qwen3-14B,OSS-120B,119,0.680672268907563,0.3428121448717358,0.2573417736373704,0.3629837665816381
