k,models,ids,proxy_route_pass,proxy_route_rate,oracle_pass,oracle_rate,best_single_rate,proxy_vs_best,oracle_headroom,oracle_recovered_frac,proxy_choose_Qwen3-Coder-30B,proxy_choose_Qwen3-32B,proxy_choose_OSS-20B,proxy_choose_OSS-120B,proxy_choose_Qwen3-Coder-Next,proxy_choose_Qwen3-4B,proxy_choose_Qwen3-8B,proxy_choose_Qwen3-14B
4,Qwen3-Coder-30B + Qwen3-32B + OSS-20B + OSS-120B,"qwen3_coder_30b_a3b,qwen3_32b,gpt_oss_20b,gpt_oss_120b",233,0.466,274,0.548,0.422,0.04400000000000004,0.12600000000000006,0.34920634920634935,172,160,80,88,,,,
4,Qwen3-Coder-Next + Qwen3-Coder-30B + OSS-20B + OSS-120B,"qwen3_coder_next,qwen3_coder_30b_a3b,gpt_oss_20b,gpt_oss_120b",232,0.464,276,0.552,0.422,0.04200000000000004,0.13000000000000006,0.3230769230769232,144,,103,118,135,,,
3,Qwen3-Coder-30B + OSS-20B + OSS-120B,"qwen3_coder_30b_a3b,gpt_oss_20b,gpt_oss_120b",231,0.462,263,0.526,0.422,0.040000000000000036,0.10400000000000004,0.3846153846153848,224,,133,143,,,,
4,Qwen3-Coder-Next + Qwen3-32B + OSS-20B + OSS-120B,"qwen3_coder_next,qwen3_32b,gpt_oss_20b,gpt_oss_120b",230,0.46,271,0.542,0.422,0.038000000000000034,0.12000000000000005,0.3166666666666668,,186,87,101,126,,,
3,Qwen3-Coder-Next + OSS-20B + OSS-120B,"qwen3_coder_next,gpt_oss_20b,gpt_oss_120b",229,0.458,260,0.52,0.422,0.03600000000000003,0.09800000000000003,0.3673469387755104,,,160,179,161,,,
4,Qwen3-Coder-Next + Qwen3-Coder-30B + Qwen3-32B + OSS-20B,"qwen3_coder_next,qwen3_coder_30b_a3b,qwen3_32b,gpt_oss_20b",228,0.456,261,0.522,0.358,0.09800000000000003,0.16400000000000003,0.5975609756097562,141,152,77,,130,,,
4,Qwen3-Coder-Next + Qwen3-Coder-30B + Qwen3-32B + OSS-120B,"qwen3_coder_next,qwen3_coder_30b_a3b,qwen3_32b,gpt_oss_120b",228,0.456,272,0.544,0.422,0.03400000000000003,0.12200000000000005,0.2786885245901641,126,146,,100,128,,,
3,Qwen3-32B + OSS-20B + OSS-120B,"qwen3_32b,gpt_oss_20b,gpt_oss_120b",226,0.452,259,0.518,0.422,0.030000000000000027,0.09600000000000003,0.31250000000000017,,255,114,131,,,,
3,Qwen3-Coder-Next + Qwen3-Coder-30B + OSS-120B,"qwen3_coder_next,qwen3_coder_30b_a3b,gpt_oss_120b",225,0.45,260,0.52,0.422,0.028000000000000025,0.09800000000000003,0.28571428571428586,171,,,168,161,,,
3,Qwen3-Coder-30B + Qwen3-32B + OSS-120B,"qwen3_coder_30b_a3b,qwen3_32b,gpt_oss_120b",225,0.45,262,0.524,0.422,0.028000000000000025,0.10200000000000004,0.27450980392156876,199,176,,125,,,,
2,OSS-20B + OSS-120B,"gpt_oss_20b,gpt_oss_120b",223,0.446,243,0.486,0.422,0.02400000000000002,0.064,0.37500000000000033,,,267,233,,,,
3,Qwen3-Coder-Next + Qwen3-32B + OSS-120B,"qwen3_coder_next,qwen3_32b,gpt_oss_120b",223,0.446,256,0.512,0.422,0.02400000000000002,0.09000000000000002,0.26666666666666683,,209,,148,143,,,
2,Qwen3-Coder-30B + OSS-120B,"qwen3_coder_30b_a3b,gpt_oss_120b",222,0.444,245,0.49,0.422,0.02200000000000002,0.068,0.3235294117647061,279,,,221,,,,
3,Qwen3-Coder-Next + Qwen3-Coder-30B + OSS-20B,"qwen3_coder_next,qwen3_coder_30b_a3b,gpt_oss_20b",221,0.442,247,0.494,0.358,0.08400000000000002,0.136,0.6176470588235295,194,,131,,175,,,
3,Qwen3-Coder-30B + Qwen3-32B + OSS-20B,"qwen3_coder_30b_a3b,qwen3_32b,gpt_oss_20b",221,0.442,248,0.496,0.358,0.08400000000000002,0.138,0.6086956521739131,223,176,101,,,,,
