models,ids,oracle_pass,oracle_rate,best_single_rate,headroom_vs_best,oracle_fail,choose_Qwen3-Coder-30B,choose_OSS-20B,choose_OSS-120B,choose_Qwen3-32B,choose_Qwen3-Coder-Next,choose_Qwen3-14B,choose_Qwen3-8B,choose_Qwen3-4B
Qwen3-Coder-30B + OSS-20B + OSS-120B,"qwen3_coder_30b_a3b,gpt_oss_20b,gpt_oss_120b",263,0.526,0.422,0.10400000000000004,237,179,49,35,,,,,
Qwen3-Coder-30B + Qwen3-32B + OSS-120B,"qwen3_coder_30b_a3b,qwen3_32b,gpt_oss_120b",262,0.524,0.422,0.10200000000000004,238,179,,40,43,,,,
Qwen3-Coder-Next + Qwen3-Coder-30B + OSS-120B,"qwen3_coder_next,qwen3_coder_30b_a3b,gpt_oss_120b",260,0.52,0.422,0.09800000000000003,240,90,,49,,121,,,
Qwen3-Coder-Next + OSS-20B + OSS-120B,"qwen3_coder_next,gpt_oss_20b,gpt_oss_120b",260,0.52,0.422,0.09800000000000003,240,,90,49,,121,,,
Qwen3-32B + OSS-20B + OSS-120B,"qwen3_32b,gpt_oss_20b,gpt_oss_120b",259,0.518,0.422,0.09600000000000003,241,,49,43,167,,,,
Qwen3-Coder-Next + Qwen3-32B + OSS-120B,"qwen3_coder_next,qwen3_32b,gpt_oss_120b",256,0.512,0.422,0.09000000000000002,244,,,55,80,121,,,
Qwen3-14B + OSS-20B + OSS-120B,"qwen3_14b,gpt_oss_20b,gpt_oss_120b",255,0.51,0.422,0.08800000000000002,245,,70,47,,,138,,
Qwen3-Coder-30B + Qwen3-14B + OSS-120B,"qwen3_coder_30b_a3b,qwen3_14b,gpt_oss_120b",254,0.508,0.422,0.08600000000000002,246,179,,47,,,28,,
Qwen3-Coder-30B + Qwen3-8B + OSS-120B,"qwen3_coder_30b_a3b,qwen3_8b,gpt_oss_120b",253,0.506,0.422,0.08400000000000002,247,179,,56,,,,18,
Qwen3-4B + OSS-20B + OSS-120B,"qwen3_4b_instruct_2507,gpt_oss_20b,gpt_oss_120b",253,0.506,0.422,0.08400000000000002,247,,94,60,,,,,99
Qwen3-Coder-30B + Qwen3-4B + OSS-120B,"qwen3_coder_30b_a3b,qwen3_4b_instruct_2507,gpt_oss_120b",252,0.504,0.422,0.08200000000000002,248,179,,61,,,,,12
Qwen3-8B + OSS-20B + OSS-120B,"qwen3_8b,gpt_oss_20b,gpt_oss_120b",252,0.504,0.422,0.08200000000000002,248,,96,59,,,,97,
Qwen3-Coder-Next + Qwen3-14B + OSS-120B,"qwen3_coder_next,qwen3_14b,gpt_oss_120b",250,0.5,0.422,0.07800000000000001,250,,,64,,121,65,,
Qwen3-4B + Qwen3-32B + OSS-120B,"qwen3_4b_instruct_2507,qwen3_32b,gpt_oss_120b",250,0.5,0.422,0.07800000000000001,250,,,61,90,,,,99
Qwen3-8B + Qwen3-32B + OSS-120B,"qwen3_8b,qwen3_32b,gpt_oss_120b",250,0.5,0.422,0.07800000000000001,250,,,66,87,,,97,
Qwen3-14B + Qwen3-32B + OSS-120B,"qwen3_14b,qwen3_32b,gpt_oss_120b",249,0.498,0.422,0.07600000000000001,251,,,52,59,,138,,
Qwen3-Coder-30B + Qwen3-32B + OSS-20B,"qwen3_coder_30b_a3b,qwen3_32b,gpt_oss_20b",248,0.496,0.358,0.138,252,179,26,,43,,,,
Qwen3-Coder-Next + Qwen3-Coder-30B + OSS-20B,"qwen3_coder_next,qwen3_coder_30b_a3b,gpt_oss_20b",247,0.494,0.358,0.136,253,90,36,,,121,,,
Qwen3-Coder-Next + Qwen3-4B + OSS-120B,"qwen3_coder_next,qwen3_4b_instruct_2507,gpt_oss_120b",243,0.486,0.422,0.064,257,,,84,,121,,,38
Qwen3-8B + Qwen3-14B + OSS-120B,"qwen3_8b,qwen3_14b,gpt_oss_120b",243,0.486,0.422,0.064,257,,,82,,,64,97,
Qwen3-Coder-Next + Qwen3-8B + OSS-120B,"qwen3_coder_next,qwen3_8b,gpt_oss_120b",242,0.484,0.422,0.062,258,,,78,,121,,43,
Qwen3-4B + Qwen3-14B + OSS-120B,"qwen3_4b_instruct_2507,qwen3_14b,gpt_oss_120b",242,0.484,0.422,0.062,258,,,77,,,66,,99
Qwen3-Coder-30B + Qwen3-8B + OSS-20B,"qwen3_coder_30b_a3b,qwen3_8b,gpt_oss_20b",240,0.48,0.358,0.122,260,179,43,,,,,18,
Qwen3-Coder-Next + Qwen3-32B + OSS-20B,"qwen3_coder_next,qwen3_32b,gpt_oss_20b",239,0.478,0.344,0.134,261,,38,,80,121,,,
Qwen3-Coder-Next + Qwen3-Coder-30B + Qwen3-32B,"qwen3_coder_next,qwen3_coder_30b_a3b,qwen3_32b",239,0.478,0.358,0.12,261,90,,,28,121,,,
Qwen3-Coder-30B + Qwen3-14B + OSS-20B,"qwen3_coder_30b_a3b,qwen3_14b,gpt_oss_20b",239,0.478,0.358,0.12,261,179,32,,,,28,,
Qwen3-Coder-Next + Qwen3-14B + OSS-20B,"qwen3_coder_next,qwen3_14b,gpt_oss_20b",236,0.472,0.344,0.128,264,,50,,,121,65,,
Qwen3-Coder-30B + Qwen3-4B + OSS-20B,"qwen3_coder_30b_a3b,qwen3_4b_instruct_2507,gpt_oss_20b",236,0.472,0.358,0.11399999999999999,264,179,45,,,,,,12
Qwen3-4B + Qwen3-8B + OSS-120B,"qwen3_4b_instruct_2507,qwen3_8b,gpt_oss_120b",236,0.472,0.422,0.04999999999999999,264,,,101,,,,36,99
Qwen3-Coder-30B + Qwen3-14B + Qwen3-32B,"qwen3_coder_30b_a3b,qwen3_14b,qwen3_32b",233,0.466,0.358,0.10800000000000004,267,179,,,26,,28,,
Qwen3-14B + Qwen3-32B + OSS-20B,"qwen3_14b,qwen3_32b,gpt_oss_20b",231,0.462,0.344,0.11800000000000005,269,,34,,59,,138,,
Qwen3-Coder-30B + Qwen3-8B + Qwen3-32B,"qwen3_coder_30b_a3b,qwen3_8b,qwen3_32b",231,0.462,0.358,0.10400000000000004,269,179,,,34,,,18,
Qwen3-Coder-30B + Qwen3-4B + Qwen3-32B,"qwen3_coder_30b_a3b,qwen3_4b_instruct_2507,qwen3_32b",229,0.458,0.358,0.10000000000000003,271,179,,,38,,,,12
Qwen3-4B + Qwen3-32B + OSS-20B,"qwen3_4b_instruct_2507,qwen3_32b,gpt_oss_20b",228,0.456,0.344,0.11200000000000004,272,,39,,90,,,,99
Qwen3-8B + Qwen3-32B + OSS-20B,"qwen3_8b,qwen3_32b,gpt_oss_20b",227,0.454,0.344,0.11000000000000004,273,,43,,87,,,97,
Qwen3-Coder-Next + Qwen3-Coder-30B + Qwen3-14B,"qwen3_coder_next,qwen3_coder_30b_a3b,qwen3_14b",226,0.452,0.358,0.09400000000000003,274,90,,,,121,15,,
Qwen3-Coder-Next + Qwen3-14B + Qwen3-32B,"qwen3_coder_next,qwen3_14b,qwen3_32b",225,0.45,0.334,0.11599999999999999,275,,,,39,121,65,,
Qwen3-Coder-Next + Qwen3-8B + OSS-20B,"qwen3_coder_next,qwen3_8b,gpt_oss_20b",225,0.45,0.344,0.10600000000000004,275,,61,,,121,,43,
Qwen3-Coder-Next + Qwen3-Coder-30B + Qwen3-8B,"qwen3_coder_next,qwen3_coder_30b_a3b,qwen3_8b",224,0.448,0.358,0.09000000000000002,276,90,,,,121,,13,
Qwen3-Coder-Next + Qwen3-4B + OSS-20B,"qwen3_coder_next,qwen3_4b_instruct_2507,gpt_oss_20b",223,0.446,0.344,0.10200000000000004,277,,64,,,121,,,38
Qwen3-Coder-Next + Qwen3-Coder-30B + Qwen3-4B,"qwen3_coder_next,qwen3_coder_30b_a3b,qwen3_4b_instruct_2507",220,0.44,0.358,0.08200000000000002,280,90,,,,121,,,9
Qwen3-Coder-30B + Qwen3-8B + Qwen3-14B,"qwen3_coder_30b_a3b,qwen3_8b,qwen3_14b",220,0.44,0.358,0.08200000000000002,280,179,,,,,23,18,
Qwen3-8B + Qwen3-14B + OSS-20B,"qwen3_8b,qwen3_14b,gpt_oss_20b",219,0.438,0.344,0.09400000000000003,281,,58,,,,64,97,
Qwen3-4B + Qwen3-14B + OSS-20B,"qwen3_4b_instruct_2507,qwen3_14b,gpt_oss_20b",218,0.436,0.344,0.09200000000000003,282,,53,,,,66,,99
Qwen3-Coder-Next + Qwen3-8B + Qwen3-32B,"qwen3_coder_next,qwen3_8b,qwen3_32b",216,0.432,0.334,0.09799999999999998,284,,,,52,121,,43,
Qwen3-Coder-Next + Qwen3-4B + Qwen3-32B,"qwen3_coder_next,qwen3_4b_instruct_2507,qwen3_32b",215,0.43,0.334,0.09599999999999997,285,,,,56,121,,,38
Qwen3-Coder-30B + Qwen3-4B + Qwen3-14B,"qwen3_coder_30b_a3b,qwen3_4b_instruct_2507,qwen3_14b",215,0.43,0.358,0.07200000000000001,285,179,,,,,24,,12
Qwen3-4B + Qwen3-14B + Qwen3-32B,"qwen3_4b_instruct_2507,qwen3_14b,qwen3_32b",211,0.422,0.334,0.08799999999999997,289,,,,46,,66,,99
Qwen3-4B + Qwen3-8B + OSS-20B,"qwen3_4b_instruct_2507,qwen3_8b,gpt_oss_20b",207,0.414,0.344,0.07,293,,72,,,,,36,99
Qwen3-8B + Qwen3-14B + Qwen3-32B,"qwen3_8b,qwen3_14b,qwen3_32b",205,0.41,0.334,0.07599999999999996,295,,,,44,,64,97,
Qwen3-Coder-30B + Qwen3-4B + Qwen3-8B,"qwen3_coder_30b_a3b,qwen3_4b_instruct_2507,qwen3_8b",205,0.41,0.358,0.05199999999999999,295,179,,,,,,14,12
Qwen3-4B + Qwen3-8B + Qwen3-32B,"qwen3_4b_instruct_2507,qwen3_8b,qwen3_32b",203,0.406,0.334,0.07200000000000001,297,,,,68,,,36,99
Qwen3-Coder-Next + Qwen3-8B + Qwen3-14B,"qwen3_coder_next,qwen3_8b,qwen3_14b",201,0.402,0.276,0.126,299,,,,,121,37,43,
Qwen3-Coder-Next + Qwen3-4B + Qwen3-14B,"qwen3_coder_next,qwen3_4b_instruct_2507,qwen3_14b",200,0.4,0.276,0.124,300,,,,,121,41,,38
Qwen3-Coder-Next + Qwen3-4B + Qwen3-8B,"qwen3_coder_next,qwen3_4b_instruct_2507,qwen3_8b",183,0.366,0.242,0.124,317,,,,,121,,24,38
Qwen3-4B + Qwen3-8B + Qwen3-14B,"qwen3_4b_instruct_2507,qwen3_8b,qwen3_14b",181,0.362,0.276,0.08599999999999997,319,,,,,,46,36,99
