portfolio,split_idx,n_train_ids,n_eval_ids,calibration,budget,strategy,n_selected_labels,selected_positive_rate,best_of_n_lift_vs_raw,best_of_n_oracle_gap_recovered,patch_auc_raw,patch_auc_calibrated,patch_pearson_raw,patch_pearson_calibrated,brier_raw,brier_calibrated,nll_raw,nll_calibrated,best_of_n_pass_rate_raw,best_of_n_pass_rate_calibrated,oracle_best_of_n_pass_rate,mean_portfolio_cost
20b_x3,0,74,74,raw,0,none,0,nan,0.0,0.0,0.8634575923392613,0.8634575923392613,0.6265254652374442,0.6265254652374442,0.16101658755984577,0.16101658755984577,0.4964520783467153,0.4964520783467153,0.4189189189189189,0.4189189189189189,0.43243243243243246,0.010003476121621618
20b_x3,0,74,74,global,16,random,16,0.6875,0.0,0.0,0.8634575923392613,0.8634575923392613,0.6265254652374442,0.6247465510532725,0.16101658755984577,0.30229596648737517,0.4964520783467153,0.801149887935273,0.4189189189189189,0.4189189189189189,0.43243243243243246,0.010003476121621618
20b_x3,0,74,74,global,16,uncertainty,16,0.6875,0.0,0.0,0.8634575923392613,0.8634575923392613,0.6265254652374442,0.6263673739335696,0.16101658755984577,0.32608509658605106,0.4964520783467153,0.8546898983478961,0.4189189189189189,0.4189189189189189,0.43243243243243246,0.010003476121621618
20b_x3,0,74,74,global,16,top2_margin,16,1.0,-0.040540540540540515,-2.999999999999992,0.8634575923392613,0.5,0.6265254652374442,-6.46743539996004e-17,0.16101658755984577,0.5774416284796907,0.4964520783467153,2.1718575953994175,0.4189189189189189,0.3783783783783784,0.43243243243243246,0.010003476121621618
20b_x3,0,74,74,global,16,route_balanced_random,16,0.5,0.0,0.0,0.8634575923392613,0.8634575923392613,0.6265254652374442,0.6268940510384351,0.16101658755984577,0.2037246041288527,0.4964520783467153,0.5989808852994556,0.4189189189189189,0.4189189189189189,0.43243243243243246,0.010003476121621618
20b_x3,0,74,74,global,16,high_score,16,1.0,-0.040540540540540515,-2.999999999999992,0.8634575923392613,0.5,0.6265254652374442,-6.46743539996004e-17,0.16101658755984577,0.5774416284796907,0.4964520783467153,2.1718575953994175,0.4189189189189189,0.3783783783783784,0.43243243243243246,0.010003476121621618
20b_x3,0,74,74,global,32,random,32,0.625,0.0,0.0,0.8634575923392613,0.8634575923392613,0.6265254652374442,0.6229383588436762,0.16101658755984577,0.2312695074011904,0.4964520783467153,0.653090287548265,0.4189189189189189,0.4189189189189189,0.43243243243243246,0.010003476121621618
20b_x3,0,74,74,global,32,uncertainty,32,0.53125,0.0,0.0,0.8634575923392613,0.8634575923392613,0.6265254652374442,0.6264295741614675,0.16101658755984577,0.25257065197578876,0.4964520783467153,0.6982687190743544,0.4189189189189189,0.4189189189189189,0.43243243243243246,0.010003476121621618
20b_x3,0,74,74,global,32,top2_margin,32,0.90625,0.0,0.0,0.8634575923392613,0.8634575923392613,0.6265254652374442,0.6187752883578561,0.16101658755984577,0.478672335029952,0.4964520783467153,1.3465401412570936,0.4189189189189189,0.4189189189189189,0.43243243243243246,0.010003476121621618
20b_x3,0,74,74,global,32,route_balanced_random,32,0.53125,0.0,0.0,0.8634575923392613,0.8634575923392613,0.6265254652374442,0.6274742624214664,0.16101658755984577,0.19156027990938218,0.4964520783467153,0.5729162806891873,0.4189189189189189,0.4189189189189189,0.43243243243243246,0.010003476121621618
20b_x3,0,74,74,global,32,high_score,32,0.8125,0.0,0.0,0.8634575923392613,0.8634575923392613,0.6265254652374442,0.6262204726986451,0.16101658755984577,0.4147984703296348,0.4964520783467153,1.095389886083214,0.4189189189189189,0.4189189189189189,0.43243243243243246,0.010003476121621618
20b_x3,0,74,74,global,64,random,64,0.53125,0.0,0.0,0.8634575923392613,0.8634575923392613,0.6265254652374442,0.6276709808304508,0.16101658755984577,0.18667353715796814,0.4964520783467153,0.5620316387774319,0.4189189189189189,0.4189189189189189,0.43243243243243246,0.010003476121621618
20b_x3,0,74,74,global,64,uncertainty,64,0.5625,0.0,0.0,0.8634575923392613,0.8634575923392613,0.6265254652374442,0.6249132982602437,0.16101658755984577,0.22782312258959184,0.4964520783467153,0.6473448313324411,0.4189189189189189,0.4189189189189189,0.43243243243243246,0.010003476121621618
20b_x3,0,74,74,global,64,top2_margin,64,0.734375,0.0,0.0,0.8634575923392613,0.8634575923392613,0.6265254652374442,0.6191979176746315,0.16101658755984577,0.25313320930020555,0.4964520783467153,0.6975985287368373,0.4189189189189189,0.4189189189189189,0.43243243243243246,0.010003476121621618
20b_x3,0,74,74,global,64,route_balanced_random,64,0.609375,0.0,0.0,0.8634575923392613,0.8634575923392613,0.6265254652374442,0.6231250645269572,0.16101658755984577,0.21540574933340798,0.4964520783467153,0.6203395935332182,0.4189189189189189,0.4189189189189189,0.43243243243243246,0.010003476121621618
20b_x3,0,74,74,global,64,high_score,64,0.734375,0.0,0.0,0.8634575923392613,0.8634575923392613,0.6265254652374442,0.6253735892278761,0.16101658755984577,0.34071239463390635,0.4964520783467153,0.889379503043545,0.4189189189189189,0.4189189189189189,0.43243243243243246,0.010003476121621618
20b_x3,0,74,74,global,128,random,128,0.5625,0.0,0.0,0.8634575923392613,0.8634575923392613,0.6265254652374442,0.6254273974614646,0.16101658755984577,0.20369132871156995,0.4964520783467153,0.5974697237157687,0.4189189189189189,0.4189189189189189,0.43243243243243246,0.010003476121621618
20b_x3,0,74,74,global,128,uncertainty,128,0.5703125,0.0,0.0,0.8634575923392613,0.8634575923392613,0.6265254652374442,0.6250375224697294,0.16101658755984577,0.21967484395224807,0.4964520783467153,0.6307356543571343,0.4189189189189189,0.4189189189189189,0.43243243243243246,0.010003476121621618
20b_x3,0,74,74,global,128,top2_margin,128,0.6171875,0.0,0.0,0.8634575923392613,0.8634575923392613,0.6265254652374442,0.6246645213216268,0.16101658755984577,0.20542273197812663,0.4964520783467153,0.6004040960830845,0.4189189189189189,0.4189189189189189,0.43243243243243246,0.010003476121621618
20b_x3,0,74,74,global,128,route_balanced_random,128,0.5546875,0.0,0.0,0.8634575923392613,0.8634575923392613,0.6265254652374442,0.6261929315697986,0.16101658755984577,0.1905291801359291,0.4964520783467153,0.5691873102255101,0.4189189189189189,0.4189189189189189,0.43243243243243246,0.010003476121621618
20b_x3,0,74,74,global,128,high_score,128,0.734375,0.0,0.0,0.8634575923392613,0.8634575923392613,0.6265254652374442,0.6261148061640635,0.16101658755984577,0.35277742547201074,0.4964520783467153,0.9191684246522523,0.4189189189189189,0.4189189189189189,0.43243243243243246,0.010003476121621618
20b_x3,0,74,74,raw,0,none,0,nan,0.0,0.0,0.8634575923392613,0.8634575923392613,0.6265254652374442,0.6265254652374442,0.16101658755984577,0.16101658755984577,0.4964520783467153,0.4964520783467153,0.4189189189189189,0.4189189189189189,0.43243243243243246,0.010003476121621618
20b_x3,0,74,74,route_intercept,16,random,16,0.5625,0.0,0.0,0.8634575923392613,0.8634575923392613,0.6265254652374442,0.625466450336749,0.16101658755984577,0.23775699209443266,0.4964520783467153,0.6679239672222456,0.4189189189189189,0.4189189189189189,0.43243243243243246,0.010003476121621618
20b_x3,0,74,74,route_intercept,16,uncertainty,16,0.6875,0.0,0.0,0.8634575923392613,0.8634575923392613,0.6265254652374442,0.6263673739335696,0.16101658755984577,0.32608509658605106,0.4964520783467153,0.8546898983478961,0.4189189189189189,0.4189189189189189,0.43243243243243246,0.010003476121621618
20b_x3,0,74,74,route_intercept,16,top2_margin,16,1.0,-0.040540540540540515,-2.999999999999992,0.8634575923392613,0.5,0.6265254652374442,-6.46743539996004e-17,0.16101658755984577,0.5774416284796907,0.4964520783467153,2.1718575953994175,0.4189189189189189,0.3783783783783784,0.43243243243243246,0.010003476121621618
20b_x3,0,74,74,route_intercept,16,route_balanced_random,16,0.6875,0.0,0.0,0.8634575923392613,0.8634575923392613,0.6265254652374442,0.6231873900361092,0.16101658755984577,0.28808015437540246,0.4964520783467153,0.7704096951727649,0.4189189189189189,0.4189189189189189,0.43243243243243246,0.010003476121621618
20b_x3,0,74,74,route_intercept,16,high_score,16,1.0,-0.040540540540540515,-2.999999999999992,0.8634575923392613,0.5,0.6265254652374442,-6.46743539996004e-17,0.16101658755984577,0.5774416284796907,0.4964520783467153,2.1718575953994175,0.4189189189189189,0.3783783783783784,0.43243243243243246,0.010003476121621618
20b_x3,0,74,74,route_intercept,32,random,32,0.5625,0.0,0.0,0.8634575923392613,0.8634575923392613,0.6265254652374442,0.6259781734458365,0.16101658755984577,0.21138957961496374,0.4964520783467153,0.614402036363583,0.4189189189189189,0.4189189189189189,0.43243243243243246,0.010003476121621618
20b_x3,0,74,74,route_intercept,32,uncertainty,32,0.53125,0.0,0.0,0.8634575923392613,0.8634575923392613,0.6265254652374442,0.6264295741614675,0.16101658755984577,0.25257065197578876,0.4964520783467153,0.6982687190743544,0.4189189189189189,0.4189189189189189,0.43243243243243246,0.010003476121621618
20b_x3,0,74,74,route_intercept,32,top2_margin,32,0.90625,0.0,0.0,0.8634575923392613,0.8634575923392613,0.6265254652374442,0.6187752883578561,0.16101658755984577,0.478672335029952,0.4964520783467153,1.3465401412570936,0.4189189189189189,0.4189189189189189,0.43243243243243246,0.010003476121621618
20b_x3,0,74,74,route_intercept,32,route_balanced_random,32,0.46875,0.0,0.0,0.8634575923392613,0.8634575923392613,0.6265254652374442,0.6289720062020635,0.16101658755984577,0.18421635355928562,0.4964520783467153,0.5566360681515168,0.4189189189189189,0.4189189189189189,0.43243243243243246,0.010003476121621618
20b_x3,0,74,74,route_intercept,32,high_score,32,0.8125,0.0,0.0,0.8634575923392613,0.8634575923392613,0.6265254652374442,0.6262204726986451,0.16101658755984577,0.4147984703296348,0.4964520783467153,1.095389886083214,0.4189189189189189,0.4189189189189189,0.43243243243243246,0.010003476121621618
20b_x3,0,74,74,route_intercept,64,random,64,0.5625,0.0,0.0,0.8634575923392613,0.8634575923392613,0.6265254652374442,0.625818493540479,0.16101658755984577,0.20683827675848862,0.4964520783467153,0.6046282613386,0.4189189189189189,0.4189189189189189,0.43243243243243246,0.010003476121621618
20b_x3,0,74,74,route_intercept,64,uncertainty,64,0.5625,0.0,0.0,0.8634575923392613,0.8634575923392613,0.6265254652374442,0.6249132982602437,0.16101658755984577,0.22782312258959184,0.4964520783467153,0.6473448313324411,0.4189189189189189,0.4189189189189189,0.43243243243243246,0.010003476121621618
20b_x3,0,74,74,route_intercept,64,top2_margin,64,0.734375,0.0,0.0,0.8634575923392613,0.8634575923392613,0.6265254652374442,0.6191979176746315,0.16101658755984577,0.25313320930020555,0.4964520783467153,0.6975985287368373,0.4189189189189189,0.4189189189189189,0.43243243243243246,0.010003476121621618
20b_x3,0,74,74,route_intercept,64,route_balanced_random,64,0.59375,0.0,0.0,0.8634575923392613,0.8634575923392613,0.6265254652374442,0.6244073828690493,0.16101658755984577,0.2250280508044579,0.4964520783467153,0.6412203327368626,0.4189189189189189,0.4189189189189189,0.43243243243243246,0.010003476121621618
20b_x3,0,74,74,route_intercept,64,high_score,64,0.734375,0.0,0.0,0.8634575923392613,0.8634575923392613,0.6265254652374442,0.6253735892278761,0.16101658755984577,0.34071239463390635,0.4964520783467153,0.889379503043545,0.4189189189189189,0.4189189189189189,0.43243243243243246,0.010003476121621618
20b_x3,0,74,74,route_intercept,128,random,128,0.5859375,0.0,0.0,0.8634575923392613,0.8634575923392613,0.6265254652374442,0.6238419304689402,0.16101658755984577,0.2103300348099271,0.4964520783467153,0.6101452414612415,0.4189189189189189,0.4189189189189189,0.43243243243243246,0.010003476121621618
20b_x3,0,74,74,route_intercept,128,uncertainty,128,0.5703125,0.0,0.0,0.8634575923392613,0.8634575923392613,0.6265254652374442,0.6250375224697294,0.16101658755984577,0.21967484395224807,0.4964520783467153,0.6307356543571343,0.4189189189189189,0.4189189189189189,0.43243243243243246,0.010003476121621618
20b_x3,0,74,74,route_intercept,128,top2_margin,128,0.6171875,0.0,0.0,0.8634575923392613,0.8634575923392613,0.6265254652374442,0.6246645213216268,0.16101658755984577,0.20542273197812663,0.4964520783467153,0.6004040960830845,0.4189189189189189,0.4189189189189189,0.43243243243243246,0.010003476121621618
20b_x3,0,74,74,route_intercept,128,route_balanced_random,128,0.53125,0.0,0.0,0.8634575923392613,0.8634575923392613,0.6265254652374442,0.626455619647652,0.16101658755984577,0.18842050656564616,0.4964520783467153,0.5646707275058768,0.4189189189189189,0.4189189189189189,0.43243243243243246,0.010003476121621618
20b_x3,0,74,74,route_intercept,128,high_score,128,0.734375,0.0,0.0,0.8634575923392613,0.8634575923392613,0.6265254652374442,0.6261148061640635,0.16101658755984577,0.35277742547201074,0.4964520783467153,0.9191684246522523,0.4189189189189189,0.4189189189189189,0.43243243243243246,0.010003476121621618
20b_x3,1,74,74,raw,0,none,0,nan,0.0,0.0,0.8211375488917861,0.8211375488917861,0.5547192688903999,0.5547192688903999,0.18038736824883825,0.18038736824883825,0.5463072189804513,0.5463072189804513,0.527027027027027,0.527027027027027,0.5405405405405406,0.009224795837837836
