portfolio,calibration,budget,strategy,n_splits,patch_auc_calibrated_mean,patch_auc_calibrated_std,brier_calibrated_mean,brier_calibrated_std,nll_calibrated_mean,nll_calibrated_std,best_of_n_pass_rate_calibrated_mean,best_of_n_pass_rate_calibrated_std,best_of_n_pass_rate_raw_mean,best_of_n_pass_rate_raw_std,oracle_best_of_n_pass_rate_mean,oracle_best_of_n_pass_rate_std,best_of_n_lift_vs_raw_mean,best_of_n_lift_vs_raw_std,best_of_n_oracle_gap_recovered_mean,best_of_n_oracle_gap_recovered_std
20b_120b_x3,global,16,high_score,30,0.76429351686244,0.11415875215898492,0.30628038323717915,0.04547029806550723,0.8454422404500883,0.17955254548655905,0.5351351351351351,0.04002677457932082,0.5441441441441441,0.0431492973507317,0.5981981981981982,0.041568547729943534,-0.00900900900900901,0.036483705822192056,-0.18333333333333351,0.7127801593447705
20b_120b_x3,global,16,random,30,0.7907436562135596,0.024361193321074726,0.2486332358928013,0.03157618693164598,0.6909795667354863,0.06679890495661964,0.5441441441441441,0.0431492973507317,0.5441441441441441,0.0431492973507317,0.5981981981981982,0.041568547729943534,0.0,0.0,0.0,0.0
20b_120b_x3,global,16,route_balanced_random,30,0.7907436562135596,0.024361193321074726,0.236095567538328,0.024930924056611035,0.6652366674659856,0.05459894417700072,0.5441441441441441,0.0431492973507317,0.5441441441441441,0.0431492973507317,0.5981981981981982,0.041568547729943534,0.0,0.0,0.0,0.0
20b_120b_x3,global,16,top2_margin,30,0.4397645562966676,0.2172244270238816,0.40361057349847257,0.08205163077165722,1.3328205176662402,0.4365988244989042,0.4612612612612612,0.058979774066064534,0.5441441441441441,0.0431492973507317,0.5981981981981982,0.041568547729943534,-0.08288288288288287,0.05698509766078727,-1.6544444444444437,1.4137678402668643
20b_120b_x3,global,16,uncertainty,30,0.6089642389332272,0.27065131812381404,0.27507944842993903,0.033306577088922595,0.7492085203936952,0.07916355534564698,0.4950450450450451,0.07751020678904685,0.5441441441441441,0.0431492973507317,0.5981981981981982,0.041568547729943534,-0.04909909909909909,0.0760034194165384,-0.9949999999999992,1.6685053746347895
20b_120b_x3,global,32,high_score,30,0.7729384722670714,0.10310156024509262,0.31577492224002063,0.04131685068943224,0.85571160443835,0.11482246376883658,0.5378378378378378,0.04119590401864387,0.5441441441441441,0.0431492973507317,0.5981981981981982,0.041568547729943534,-0.006306306306306307,0.03396049878373111,-0.11666666666666667,0.6282692274990254
20b_120b_x3,global,32,random,30,0.7907436562135596,0.024361193321074726,0.2245539629912529,0.017522334119428048,0.6402524545456575,0.03584407381814788,0.5441441441441441,0.0431492973507317,0.5441441441441441,0.0431492973507317,0.5981981981981982,0.041568547729943534,0.0,0.0,0.0,0.0
20b_120b_x3,global,32,route_balanced_random,30,0.7907436562135596,0.024361193321074726,0.21583336492094743,0.010153562634023753,0.6224572399034568,0.020876447774279897,0.5441441441441441,0.0431492973507317,0.5441441441441441,0.0431492973507317,0.5981981981981982,0.041568547729943534,0.0,0.0,0.0,0.0
20b_120b_x3,global,32,top2_margin,30,0.4672770629020288,0.28602883270344565,0.345574090163327,0.05530909875624119,0.9920043584487145,0.27960241407547737,0.4653153153153154,0.08037858840655879,0.5441441441441441,0.0431492973507317,0.5981981981981982,0.041568547729943534,-0.07882882882882881,0.07394113615532467,-1.5772222222222216,1.6528789884977297
20b_120b_x3,global,32,uncertainty,30,0.26628755362039375,0.1746534676887783,0.26478581741230295,0.01743758806657886,0.7239835191322046,0.03800084497107409,0.42162162162162165,0.051446095622591836,0.5441441441441441,0.0431492973507317,0.5981981981981982,0.041568547729943534,-0.1225225225225225,0.05232985849173912,-2.68944444444444,2.3146973377597413
20b_120b_x3,global,64,high_score,30,0.48849968570437136,0.2915357338981916,0.33616604779701637,0.04191564475161165,0.9167272856261065,0.12516135347007873,0.472972972972973,0.07580426655121668,0.5441441441441441,0.0431492973507317,0.5981981981981982,0.041568547729943534,-0.07117117117117115,0.07555760845499729,-1.5172222222222191,2.471052719633842
20b_120b_x3,global,64,random,30,0.7907436562135596,0.024361193321074726,0.21140746623999443,0.012987652623381396,0.6125653474376616,0.02680267572469238,0.5441441441441441,0.0431492973507317,0.5441441441441441,0.0431492973507317,0.5981981981981982,0.041568547729943534,0.0,0.0,0.0,0.0
20b_120b_x3,global,64,route_balanced_random,30,0.7907436562135596,0.024361193321074726,0.2147713924175273,0.019686905915603677,0.6196464223800358,0.040517294648181,0.5441441441441441,0.0431492973507317,0.5441441441441441,0.0431492973507317,0.5981981981981982,0.041568547729943534,0.0,0.0,0.0,0.0
20b_120b_x3,global,64,top2_margin,30,0.6078716792042642,0.27108862424326796,0.31637273306138636,0.05141796065125841,0.8623101278375049,0.14149204885401365,0.5000000000000001,0.0734386210988928,0.5441441441441441,0.0431492973507317,0.5981981981981982,0.041568547729943534,-0.04414414414414414,0.06977766818281536,-0.886666666666666,1.5623723651573596
20b_120b_x3,global,64,uncertainty,30,0.5400307478437866,0.28900325360715684,0.2604142398030336,0.014673491235642934,0.7146047754040096,0.03071029583570489,0.4828828828828829,0.07917683799178317,0.5441441441441441,0.0431492973507317,0.5981981981981982,0.041568547729943534,-0.06126126126126126,0.07358215308191988,-1.0016666666666663,1.2560840824651114
20b_120b_x3,global,128,high_score,30,0.6078861856118986,0.2710828513989227,0.3304964837254273,0.03353127464671686,0.8910422744700074,0.08502485019020539,0.50990990990991,0.07801510512008021,0.5441441441441441,0.0431492973507317,0.5981981981981982,0.041568547729943534,-0.034234234234234225,0.054472852100291805,-0.5566666666666665,0.882206828860947
20b_120b_x3,global,128,random,30,0.7907436562135596,0.024361193321074726,0.20234199663737368,0.007684020351824071,0.5932954513065088,0.01632296224611828,0.5441441441441441,0.0431492973507317,0.5441441441441441,0.0431492973507317,0.5981981981981982,0.041568547729943534,0.0,0.0,0.0,0.0
20b_120b_x3,global,128,route_balanced_random,30,0.7907436562135596,0.024361193321074726,0.20193267335036696,0.007934537473652527,0.5924087688871442,0.016534966251634003,0.5441441441441441,0.0431492973507317,0.5441441441441441,0.0431492973507317,0.5981981981981982,0.041568547729943534,0.0,0.0,0.0,0.0
20b_120b_x3,global,128,top2_margin,30,0.7708857016681051,0.10838024727889166,0.2527207221191995,0.03971149746643935,0.7018668416648516,0.08752060542345956,0.5396396396396397,0.04982723174423362,0.5441441441441441,0.0431492973507317,0.5981981981981982,0.041568547729943534,-0.0045045045045045045,0.024257499131236513,-0.0666666666666667,0.35901098714230034
20b_120b_x3,global,128,uncertainty,30,0.7907436562135596,0.024361193321074726,0.24812465106438747,0.01729123472293373,0.6894879358989442,0.035958431644865146,0.5441441441441441,0.0431492973507317,0.5441441441441441,0.0431492973507317,0.5981981981981982,0.041568547729943534,0.0,0.0,0.0,0.0
20b_120b_x3,global_len,16,high_score,30,0.36704017410676776,0.23204275905297667,0.3077199575394334,0.04529289212443035,0.849008833583907,0.17881241863713504,0.4801801801801802,0.05719833938504495,0.5441441441441441,0.0431492973507317,0.5981981981981982,0.041568547729943534,-0.06396396396396395,0.03773043529976923,-1.404999999999999,1.188643406639747
20b_120b_x3,global_len,16,random,30,0.7979979585224722,0.02512790115553499,0.24250333712147493,0.023933244359872853,0.6781807033378341,0.051483416671634016,0.5436936936936937,0.045182223553263824,0.5441441441441441,0.0431492973507317,0.5981981981981982,0.041568547729943534,-0.0004504504504504533,0.004249541050475951,-0.00944444444444449,0.08385208905868816
20b_120b_x3,global_len,16,route_balanced_random,30,0.7812067377653348,0.1008625042333179,0.23143376526697515,0.018099781566598697,0.6545799489539333,0.03669876438694583,0.5396396396396396,0.052446052532713096,0.5441441441441441,0.0431492973507317,0.5981981981981982,0.041568547729943534,-0.0045045045045045045,0.022701987690728197,-0.11388888888888864,0.45617336156604843
20b_120b_x3,global_len,16,top2_margin,30,0.45525285232728646,0.19942104956117038,0.403594445967254,0.08132051651747307,1.331334027311386,0.43614069014874834,0.4626126126126127,0.05480151374379465,0.5441441441441441,0.0431492973507317,0.5981981981981982,0.041568547729943534,-0.0815315315315315,0.05297151741580571,-1.635555555555555,1.355221270257377
20b_120b_x3,global_len,16,uncertainty,30,0.7754425093264297,0.0580096063451879,0.2732728722015387,0.03320452698533999,0.745208410564337,0.07838397339445692,0.5175675675675676,0.040110329945015746,0.5441441441441441,0.0431492973507317,0.5981981981981982,0.041568547729943534,-0.02657657657657658,0.034272737948877946,-0.5583333333333326,0.684386045488405
20b_120b_x3,global_len,32,high_score,30,0.5480145984438382,0.295112860700291,0.31528089345345917,0.041524261709558974,0.8543765162189373,0.11485180658129962,0.495945945945946,0.0569227516825968,0.5441441441441441,0.0431492973507317,0.5981981981981982,0.041568547729943534,-0.04819819819819819,0.04283070866492727,-1.0399999999999994,0.9950023264443297
