group,lang,n,n_bad_no_files,n_multifile,pct_multifile,file_count_hist
train,ALL,35819,0,2825,7.88687568050476,"{""1"": 32994, ""2"": 2434, ""3"": 252, ""4"": 71, ""5"": 35, ""6"": 20, ""7"": 10, ""8"": 3}"
train,go,584,0,0,0.0,"{""1"": 584}"
train,java,4258,0,0,0.0,"{""1"": 4258}"
train,py,28520,0,2825,9.905329593267883,"{""1"": 25695, ""2"": 2434, ""3"": 252, ""4"": 71, ""5"": 35, ""6"": 20, ""7"": 10, ""8"": 3}"
train,rs,2457,0,0,0.0,"{""1"": 2457}"
test,ALL,8847,0,367,4.148298858370069,"{""1"": 8480, ""2"": 334, ""3"": 27, ""4"": 2, ""5"": 3, ""7"": 1}"
test,go,955,0,0,0.0,"{""1"": 955}"
test,java,1922,0,0,0.0,"{""1"": 1922}"
test,py,4244,0,367,8.647502356267672,"{""1"": 3877, ""2"": 334, ""3"": 27, ""4"": 2, ""5"": 3, ""7"": 1}"
test,rs,1726,0,0,0.0,"{""1"": 1726}"
train+test,ALL,44666,0,3192,7.146375319034613,"{""1"": 41474, ""2"": 2768, ""3"": 279, ""4"": 73, ""5"": 38, ""6"": 20, ""7"": 11, ""8"": 3}"
train+test,go,1539,0,0,0.0,"{""1"": 1539}"
train+test,java,6180,0,0,0.0,"{""1"": 6180}"
train+test,py,32764,0,3192,9.742400195336344,"{""1"": 29572, ""2"": 2768, ""3"": 279, ""4"": 73, ""5"": 38, ""6"": 20, ""7"": 11, ""8"": 3}"
train+test,rs,4183,0,0,0.0,"{""1"": 4183}"
real_label_train,ALL,1146,0,50,4.363001745200698,"{""1"": 1096, ""2"": 48, ""3"": 1, ""4"": 1}"
real_label_train,go,21,0,0,0.0,"{""1"": 21}"
real_label_train,java,142,0,0,0.0,"{""1"": 142}"
real_label_train,py,900,0,50,5.555555555555555,"{""1"": 850, ""2"": 48, ""3"": 1, ""4"": 1}"
real_label_train,rs,83,0,0,0.0,"{""1"": 83}"
real_label_eval,ALL,286,0,12,4.195804195804196,"{""1"": 274, ""2"": 12}"
real_label_eval,go,6,0,0,0.0,"{""1"": 6}"
real_label_eval,java,31,0,0,0.0,"{""1"": 31}"
real_label_eval,py,217,0,12,5.529953917050691,"{""1"": 205, ""2"": 12}"
real_label_eval,rs,32,0,0,0.0,"{""1"": 32}"
