split_idx,level,model,route_idx,route,n,positive_rate,auc,pearson,brier,nll,ece,mean_pred
0,attempt,raw_score,,,296,0.5304054054054054,0.7818356779544517,0.4637270284551608,0.2164063862974938,0.6746783367574662,0.17213112466364494,0.42322564338384244
0,attempt_by_route,raw_score,1,OSS-20B,222,0.5180180180180181,0.7883787078423405,0.46698467541381683,0.21616360476385704,0.6691851455685447,0.17239658886919154,0.40987987839826595
0,attempt_by_route,raw_score,3,OSS-120B,74,0.5675675675675675,0.765625,0.44772251515285993,0.2171347308984041,0.6911579103242305,0.2502662433009292,0.4632629383405721
0,attempt,global,,,296,0.5304054054054054,0.7818356779544517,0.4656394804531139,0.2022506256704925,0.5933687943234434,0.10253179227816679,0.4708181657914106
0,attempt_by_route,global,1,OSS-20B,222,0.5180180180180181,0.7883787078423405,0.46777608905821383,0.20174684069199836,0.5918413361548642,0.10111265599608737,0.46367203195611284
0,attempt_by_route,global,3,OSS-120B,74,0.5675675675675675,0.765625,0.4531028789345811,0.203761980605975,0.5979511688291804,0.1143342971338127,0.49225656729730344
0,attempt,global_len,,,296,0.5304054054054054,0.7896256243412912,0.48012182098489226,0.19911946238116052,0.5856618084920285,0.09654019611312135,0.4627405713241313
0,attempt_by_route,global_len,1,OSS-20B,222,0.5180180180180181,0.7975619666802113,0.4846891329472711,0.1981763292687226,0.583060286996936,0.10065869840905377,0.454085822443774
0,attempt_by_route,global_len,3,OSS-120B,74,0.5675675675675675,0.7678571428571429,0.4599004867215874,0.20194886171847415,0.5934663729773062,0.0841846892253242,0.48870481796520326
0,attempt,route_intercept,,,296,0.5304054054054054,0.7785822297575952,0.46534786501978126,0.202250964997195,0.5933105116736215,0.08962669018572264,0.47089007735027255
0,attempt_by_route,route_intercept,1,OSS-20B,222,0.5180180180180181,0.7883787078423405,0.4671594106677857,0.2024763380547869,0.5932865526650148,0.097922608556737,0.4586493186715128
0,attempt_by_route,route_intercept,3,OSS-120B,74,0.5675675675675675,0.765625,0.45429679548762847,0.2015748458244193,0.5933823886994416,0.07554786840998041,0.5076123533865516
0,attempt,route_intercept_len,,,296,0.5304054054054054,0.7882967511341246,0.47939069939778295,0.19919171623773504,0.585729752363192,0.10024260262466914,0.46270880384011837
0,attempt_by_route,route_intercept_len,1,OSS-20B,222,0.5180180180180181,0.7972368955709062,0.4839289577534556,0.19924436457021832,0.5851736061225195,0.1031489298141996,0.44759562742621195
0,attempt_by_route,route_intercept_len,3,OSS-120B,74,0.5675675675675675,0.7678571428571429,0.46174088596130775,0.19903377124028523,0.5873981910852109,0.09152362105607775,0.5080483330818378
0,best_seen_state,raw_state_score,,,222,0.5585585585585585,0.7721362738643844,0.4433917373936114,0.21548269759814653,0.6562898469120414,0.1667586030220395,0.4655189356254833
0,best_seen_state,state_score,,,222,0.5585585585585585,0.7721362738643844,0.44383224892865175,0.20721804417240777,0.6031800718906053,0.10800729566817881,0.47651830030430076
0,best_seen_state,state_score_n,,,222,0.5585585585585585,0.7721362738643844,0.441799276060015,0.20754442126946673,0.6039244569991009,0.10476246027532202,0.47526022811936713
0,best_seen_state,state_full,,,222,0.5585585585585585,0.7850559578670178,0.46478080525400833,0.20108314580157768,0.5893695504758338,0.1272094485538323,0.47037802354665054
1,attempt,raw_score,,,296,0.5033783783783784,0.7726795416153038,0.456122815524216,0.21469694447647347,0.6452487744874944,0.13698987092042494,0.3971506788810665
1,attempt_by_route,raw_score,1,OSS-20B,222,0.4954954954954955,0.772077922077922,0.45109359437324537,0.21698319792736304,0.6449742446446506,0.14225761557148917,0.3848474097715036
1,attempt_by_route,raw_score,3,OSS-120B,74,0.527027027027027,0.778021978021978,0.46867130647565636,0.20783818412380478,0.646072364016025,0.22826248928401116,0.434060486209755
1,attempt,global,,,296,0.5033783783783784,0.7726795416153038,0.456353669140748,0.20339832781819955,0.5953263420782815,0.07713088910387662,0.47154032519747385
1,attempt_by_route,global,1,OSS-20B,222,0.4954954954954955,0.772077922077922,0.4495831529616404,0.20445789533231165,0.5971108802700967,0.07720290625522312,0.46504404742773986
1,attempt_by_route,global,3,OSS-120B,74,0.527027027027027,0.778021978021978,0.47415302420684263,0.20021962527586332,0.5899727275028351,0.08059394970908695,0.49102915850667533
1,attempt,global_len,,,296,0.5033783783783784,0.7852805551750902,0.4772497609017184,0.19923678632701136,0.5854629611876787,0.0980871962823916,0.46337035939417853
1,attempt_by_route,global_len,1,OSS-20B,222,0.4954954954954955,0.7854707792207792,0.4719694622921938,0.20018302440659097,0.5869283049790935,0.11209249770123274,0.4552927216275904
1,attempt_by_route,global_len,3,OSS-120B,74,0.527027027027027,0.7846153846153846,0.49138820943997036,0.19639807208827273,0.5810669298134339,0.11397631591311293,0.4876032726939433
1,attempt,route_intercept,,,296,0.5033783783783784,0.769027073916815,0.4541645007745888,0.2036515878446785,0.5958386591481492,0.0734240498515512,0.4717069142899176
1,attempt_by_route,route_intercept,1,OSS-20B,222,0.4954954954954955,0.772077922077922,0.44906297457301203,0.20518881331882383,0.5985803207562569,0.08708055254080982,0.45698135770457876
1,attempt_by_route,route_intercept,3,OSS-120B,74,0.527027027027027,0.778021978021978,0.4757631881947735,0.19903991142224245,0.5876136743238264,0.10220808428105126,0.5158835840459343
1,attempt,route_intercept_len,,,296,0.5033783783783784,0.7819476784002192,0.47400493605478977,0.19964156901408853,0.5862486561455424,0.09257831398646181,0.46338784579384207
1,attempt_by_route,route_intercept_len,1,OSS-20B,222,0.4954954954954955,0.7857954545454545,0.4714574521162562,0.20124906721025207,0.5890112231792435,0.09389934158242706,0.44562455377314375
1,attempt_by_route,route_intercept_len,3,OSS-120B,74,0.527027027027027,0.7846153846153846,0.493839716575771,0.1948190744255979,0.5779609550444387,0.1535907303149926,0.516677721855937
1,best_seen_state,raw_state_score,,,222,0.527027027027027,0.7578347578347578,0.44230436208676605,0.20990000191494387,0.619615832798513,0.10889924534906943,0.4541561904673775
1,best_seen_state,state_score,,,222,0.527027027027027,0.7578347578347578,0.4433951494373147,0.20548908371506508,0.599980374163704,0.06958317494479338,0.4972677022607617
1,best_seen_state,state_score_n,,,222,0.527027027027027,0.7628001628001628,0.4444024513914341,0.20531527509200653,0.5997006093402635,0.07555544455506336,0.4965818833319958
1,best_seen_state,state_full,,,222,0.527027027027027,0.7762311762311762,0.4591348025100533,0.1999606873622367,0.5859491063855515,0.06806702489272812,0.4789011465536595
2,attempt,raw_score,,,296,0.48986486486486486,0.7906828042932176,0.48812787085340686,0.2050360264700121,0.6411832762315445,0.140808494900026,0.41149019108883833
2,attempt_by_route,raw_score,1,OSS-20B,222,0.47297297297297297,0.8033374033374033,0.5107091575301304,0.19726753229413108,0.6186992852059897,0.1474766328108606,0.3986612231227326
2,attempt_by_route,raw_score,3,OSS-120B,74,0.5405405405405406,0.7455882352941177,0.4077114412906839,0.22834150899765512,0.7086352493082089,0.19832576778591487,0.4499770949871556
2,attempt,global,,,296,0.48986486486486486,0.7906828042932176,0.4911479862307276,0.19574294262551659,0.5800652697252789,0.09563449075930347,0.49880365817850775
2,attempt_by_route,global,1,OSS-20B,222,0.47297297297297297,0.8033374033374033,0.5132562842330063,0.1913805878472412,0.5707208669680607,0.11523174807781084,0.49219846684315094
