level,model,n,auc_mean,auc_std,pearson_mean,pearson_std,brier_mean,brier_std,nll_mean,nll_std,ece_mean,ece_std,mean_pred_mean,mean_pred_std,positive_rate_mean,positive_rate_std
attempt,global,20,0.8034757211448171,0.02340788287129172,0.5176479394101496,0.043521478163508966,0.19736820787077636,0.004525551550834298,0.5837426015902397,0.009434321909352571,0.11139763242983813,0.029842427270387235,0.4992791614067146,0.032165780311474185,0.49375,0.025646209087125144
attempt,global_len,20,0.8137942695567746,0.024135544372611856,0.5352200716086445,0.04518326347573097,0.19219547824019884,0.005005007051164848,0.5720908400484979,0.010260479778759645,0.1147119200057928,0.027045321829452223,0.49244121208001673,0.03274194064025905,0.49375,0.025646209087125144
attempt,raw_score,20,0.8034757211448171,0.02340788287129172,0.5155480636560977,0.04405410620368868,0.194132456595191,0.015019379376882388,0.5965893894957165,0.04679400615134307,0.11843895016149997,0.02408619214395326,0.4155185253277572,0.025493390955058513,0.49375,0.025646209087125144
attempt,route_intercept,20,0.8004973770512981,0.023020095612646663,0.5148015031009834,0.04273912058674554,0.19763942681043728,0.004626554967421715,0.5842798626512271,0.009642624684762314,0.10841736022339207,0.0269234694615417,0.49938593795746505,0.03207962313841533,0.49375,0.025646209087125144
attempt,route_intercept_len,20,0.8112362961860493,0.023765638437088545,0.5320672774007289,0.044393185784042825,0.19250116479611917,0.0051587097033177565,0.57267595549624,0.010572789148470924,0.11021328845164899,0.024614818543822442,0.4924582196595054,0.03264739013739495,0.49375,0.025646209087125144
attempt_by_route,global,40,0.7946089338667566,0.03494021368882463,0.5010110227097895,0.061732858966237855,0.1998568997413585,0.008172841490619007,0.5891936705317282,0.01742359825924709,0.1211971368598019,0.033043516127870855,0.5052373735056835,0.03462928158919969,0.5077702702702702,0.04086441575257283
attempt_by_route,global_len,40,0.802727632643301,0.0371253809618477,0.5179180540641838,0.06295625440753953,0.19508885684186167,0.008999839641299223,0.5785603282299444,0.01936466704514629,0.12287939892212651,0.02587769158557325,0.49991177642799256,0.03629561206343499,0.5077702702702702,0.04086441575257283
attempt_by_route,raw_score,40,0.7946089338667566,0.03494021368882463,0.49790826605659355,0.06304801331011947,0.19861362172834224,0.020035890685745603,0.6131633726365106,0.06368902155220056,0.15081221035698444,0.04375355190398479,0.42790735282784176,0.0360139446694672,0.5077702702702702,0.04086441575257283
attempt_by_route,route_intercept,40,0.7946089338667566,0.03494021368882463,0.5010772164702506,0.06163734553218373,0.20028700904283117,0.0089766571919462,0.5900428555567725,0.019176215763867886,0.12018988244422761,0.03206026332062165,0.5093877658888093,0.03985094433821125,0.5077702702702702,0.04086441575257283
attempt_by_route,route_intercept_len,40,0.8027584892098967,0.03720246981369535,0.5182048773998856,0.06280392461033492,0.19548606825599762,0.009674506552219228,0.579339085388034,0.020893030807816543,0.1205593440560376,0.030141936427184494,0.5052706561995544,0.04327992847610414,0.5077702702702702,0.04086441575257283
best_seen_state,raw_state_score,20,0.801481500333818,0.02511831261933797,0.5166252239395556,0.045010243036062624,0.18906964027572132,0.013998203779961148,0.5734472641160189,0.041115208773375454,0.11305868810479036,0.02072408765570293,0.4651625902425532,0.028795858674738755,0.5173423423423424,0.029236802174865534
best_seen_state,state_full,20,0.8179342035803197,0.024798751292123698,0.5382724051593797,0.04603209021395571,0.1868302573094022,0.008061198140554756,0.5593454883005172,0.01782463915775426,0.11284232525529662,0.024843155860150755,0.5099399363726876,0.04286605464177254,0.5173423423423424,0.029236802174865534
best_seen_state,state_score,20,0.801481500333818,0.02511831261933797,0.5187728683637739,0.04488165171667829,0.19873100687182754,0.005209763183388346,0.586488421223737,0.010801917035846157,0.12307477540918774,0.02552446870224866,0.5173287359243611,0.03624453355445189,0.5173423423423424,0.029236802174865534
best_seen_state,state_score_n,20,0.8032123512271678,0.024187172153694116,0.5195737078288312,0.044704504053066405,0.1983971158001831,0.005305178410307407,0.5857906978384764,0.011017724805484944,0.12305918742992802,0.026155233222255582,0.5167893492177071,0.03650822940077156,0.5173423423423424,0.029236802174865534
