split_idx,level,model,bucket_idx,bucket_low,bucket_high,n,mean_pred,mean_true,abs_gap
0,attempt,raw_score,0,0.0,0.1,67,0.04284350515635156,0.1791044776119403,0.1362609724555887
0,attempt,raw_score,1,0.1,0.2,30,0.15028787304957708,0.3,0.1497121269504229
0,attempt,raw_score,2,0.2,0.30000000000000004,38,0.24995464753163488,0.42105263157894735,0.17109798404731247
0,attempt,raw_score,3,0.30000000000000004,0.4,26,0.3520147238786404,0.5769230769230769,0.22490835304443646
0,attempt,raw_score,4,0.4,0.5,25,0.445675892829895,0.68,0.23432410717010504
0,attempt,raw_score,5,0.5,0.6000000000000001,21,0.5449295072328477,0.7619047619047619,0.21697525467191414
0,attempt,raw_score,6,0.6000000000000001,0.7000000000000001,13,0.6494765694324787,0.9230769230769231,0.27360035364444446
0,attempt,raw_score,7,0.7000000000000001,0.8,12,0.7438877721627554,0.8333333333333334,0.089445561170578
0,attempt,raw_score,8,0.8,0.9,16,0.8548070415854454,0.875,0.020192958414554596
0,attempt,raw_score,9,0.9,1.0,48,0.9502667014797529,0.75,0.2002667014797529
0,attempt,global,0,0.0,0.1,0,,,
0,attempt,global,1,0.1,0.2,0,,,
0,attempt,global,2,0.2,0.30000000000000004,67,0.2739670715566782,0.1791044776119403,0.09486259394473792
0,attempt,global,3,0.30000000000000004,0.4,67,0.35235918758284274,0.3582089552238806,0.00584976764103784
0,attempt,global,4,0.4,0.5,45,0.4471344423619631,0.6222222222222222,0.17508777986025914
0,attempt,global,5,0.5,0.6000000000000001,35,0.5411272228824545,0.7714285714285715,0.23030134854611695
0,attempt,global,6,0.6000000000000001,0.7000000000000001,26,0.6517139951216471,0.8461538461538461,0.19443985103219907
0,attempt,global,7,0.7000000000000001,0.8,56,0.7391651987780811,0.7857142857142857,0.04654908693620463
0,attempt,global,8,0.8,0.9,0,,,
0,attempt,global,9,0.9,1.0,0,,,
0,attempt,global_len,0,0.0,0.1,0,,,
0,attempt,global_len,1,0.1,0.2,0,,,
0,attempt,global_len,2,0.2,0.30000000000000004,79,0.2566272605153594,0.20253164556962025,0.05409561494573914
0,attempt,global_len,3,0.30000000000000004,0.4,61,0.3500933274934185,0.3770491803278688,0.026955852834450345
0,attempt,global_len,4,0.4,0.5,42,0.4467151459517781,0.6190476190476191,0.172332473095841
0,attempt,global_len,5,0.5,0.6000000000000001,32,0.5406030819968697,0.78125,0.24064691800313032
0,attempt,global_len,6,0.6000000000000001,0.7000000000000001,22,0.6509908058622856,0.8636363636363636,0.212645557774078
0,attempt,global_len,7,0.7000000000000001,0.8,60,0.7493138345214359,0.8,0.050686165478564194
0,attempt,global_len,8,0.8,0.9,0,,,
0,attempt,global_len,9,0.9,1.0,0,,,
0,attempt,route_intercept,0,0.0,0.1,0,,,
0,attempt,route_intercept,1,0.1,0.2,0,,,
0,attempt,route_intercept,2,0.2,0.30000000000000004,64,0.27241870787724487,0.203125,0.06929370787724487
0,attempt,route_intercept,3,0.30000000000000004,0.4,69,0.3481403520461393,0.34782608695652173,0.0003142650896175714
0,attempt,route_intercept,4,0.4,0.5,45,0.4468442658727376,0.6,0.15315573412726236
0,attempt,route_intercept,5,0.5,0.6000000000000001,37,0.5415753342684312,0.7567567567567568,0.2151814224883256
0,attempt,route_intercept,6,0.6000000000000001,0.7000000000000001,23,0.6518171660263314,0.8260869565217391,0.1742697904954077
0,attempt,route_intercept,7,0.7000000000000001,0.8,58,0.7377397784403898,0.7931034482758621,0.05536366983547225
0,attempt,route_intercept,8,0.8,0.9,0,,,
0,attempt,route_intercept,9,0.9,1.0,0,,,
0,attempt,route_intercept_len,0,0.0,0.1,0,,,
0,attempt,route_intercept_len,1,0.1,0.2,0,,,
0,attempt,route_intercept_len,2,0.2,0.30000000000000004,81,0.25699763156529076,0.19753086419753085,0.05946676736775991
0,attempt,route_intercept_len,3,0.30000000000000004,0.4,61,0.3511669982795706,0.4098360655737705,0.058669067294199906
0,attempt,route_intercept_len,4,0.4,0.5,38,0.4502163205780919,0.631578947368421,0.1813626267903291
0,attempt,route_intercept_len,5,0.5,0.6000000000000001,32,0.5335727817216627,0.71875,0.18517721827833733
0,attempt,route_intercept_len,6,0.6000000000000001,0.7000000000000001,25,0.6502685014866811,0.88,0.22973149851331887
0,attempt,route_intercept_len,7,0.7000000000000001,0.8,59,0.7505855788238127,0.7966101694915254,0.046024590667712695
0,attempt,route_intercept_len,8,0.8,0.9,0,,,
0,attempt,route_intercept_len,9,0.9,1.0,0,,,
0,best_seen_state,raw_state_score,0,0.0,0.1,28,0.04609186375247581,0.14285714285714285,0.09676527910466703
0,best_seen_state,raw_state_score,1,0.1,0.2,21,0.15290791825169608,0.19047619047619047,0.03756827222449438
0,best_seen_state,raw_state_score,2,0.2,0.30000000000000004,42,0.24545438481228693,0.42857142857142855,0.18311704375914162
0,best_seen_state,raw_state_score,3,0.30000000000000004,0.4,17,0.3570946139447829,0.4117647058823529,0.05467009193757
0,best_seen_state,raw_state_score,4,0.4,0.5,23,0.4425039874470752,0.8695652173913043,0.4270612299442291
0,best_seen_state,raw_state_score,5,0.5,0.6000000000000001,19,0.5492068278162103,0.7894736842105263,0.240266856394316
0,best_seen_state,raw_state_score,6,0.6000000000000001,0.7000000000000001,15,0.6445696274439494,0.8,0.15543037255605063
0,best_seen_state,raw_state_score,7,0.7000000000000001,0.8,8,0.740657351911068,0.625,0.11565735191106796
0,best_seen_state,raw_state_score,8,0.8,0.9,5,0.8657588958740234,0.8,0.0657588958740234
0,best_seen_state,raw_state_score,9,0.9,1.0,44,0.9529262158003721,0.7954545454545454,0.15747167034582665
0,best_seen_state,state_score,0,0.0,0.1,0,,,
0,best_seen_state,state_score,1,0.1,0.2,0,,,
