level,model,n,auc_mean,auc_std,pearson_mean,pearson_std,brier_mean,brier_std,nll_mean,nll_std,ece_mean,ece_std,mean_pred_mean,mean_pred_std,positive_rate_mean,positive_rate_std
attempt,global,20,0.8088603593162971,0.023266941276186878,0.537092283972979,0.03684729021076082,0.19626428157597758,0.004015861464114357,0.5810609423750589,0.008109598732284761,0.12803442444561786,0.027715515347511294,0.5023866411283378,0.027704445635571888,0.49375,0.025646209087125144
attempt,global_len,20,0.820370255837832,0.023966872061627696,0.558010718672961,0.03889409805320121,0.18898994773043504,0.004579046394897738,0.5644074076149014,0.009066370688628702,0.12344740821993005,0.02852078812630268,0.49413629964949807,0.028273619212842705,0.49375,0.025646209087125144
attempt,raw_score,20,0.8088603593162971,0.023266941276186878,0.5358537396941001,0.0368391251112211,0.184201377969701,0.011888314849860018,0.5610989949050624,0.039477872077673365,0.10543399224643017,0.01895140528042015,0.5617761942850602,0.01931510782202639,0.49375,0.025646209087125144
attempt,route_intercept,20,0.8078743722581052,0.022640482812514927,0.5348372986011432,0.03661756834767246,0.19649401734018868,0.00407437427074945,0.58148199308795,0.008229057022341045,0.12457620880085196,0.02654672612145455,0.5025410950441344,0.02768414995136098,0.49375,0.025646209087125144
attempt,route_intercept_len,20,0.8186530685983288,0.02347083013809453,0.5555503861050363,0.03877047654318487,0.18924235855599977,0.0046833289604522165,0.564834681938906,0.009272480645333963,0.11821097984487647,0.025713766632072605,0.4942012979529095,0.028241366092667534,0.49375,0.025646209087125144
attempt_by_route,global,40,0.7961204403949724,0.036333209306051634,0.5197990116168899,0.05791043009962952,0.19939276631114708,0.00864565812755039,0.5878410316237284,0.01828279281242472,0.1363976527210715,0.03179812791476787,0.5068190532562495,0.029626822660281063,0.5077702702702702,0.04086441575257283
attempt_by_route,global_len,40,0.8068299829817406,0.037174387810564556,0.5398006682322875,0.05941383701153209,0.19264986300391096,0.00983543028351261,0.5725790415374239,0.021159001814856127,0.1323227540554546,0.02981883013524883,0.5003226825110506,0.031452068768757856,0.5077702702702702,0.04086441575257283
attempt_by_route,raw_score,40,0.7961204403949724,0.036333209306051634,0.5182161626651175,0.057945501402119834,0.18743709589624627,0.015329568952435115,0.5716218053433095,0.04856154114999994,0.12483383153359666,0.026854538001653508,0.5716256929437739,0.028534377994177313,0.5077702702702702,0.04086441575257283
attempt_by_route,route_intercept,40,0.7961204403949724,0.036333209306051634,0.5196349326645431,0.057959052244330046,0.19979282976016732,0.009328753780478935,0.5885909625946583,0.019675289999324785,0.13464049680068263,0.028192870842688098,0.5107009792301623,0.03455215209532421,0.5077702702702702,0.04086441575257283
attempt_by_route,route_intercept_len,40,0.8069882448549673,0.037036788609041416,0.5397926674643925,0.05946670386996637,0.19300134510005282,0.010336986661030906,0.573201400900105,0.022198943648506584,0.12761691601927053,0.025498691150726865,0.505574857515536,0.038370402721837865,0.5077702702702702,0.04086441575257283
best_seen_state,raw_state_score,20,0.8080641442677136,0.02798697152656929,0.529478017360938,0.04329467720518487,0.19312007658648617,0.012732518243964338,0.5878040176717862,0.04269218600546853,0.1550891450639848,0.025889125562909083,0.628408864695109,0.020198960757994947,0.5141891891891892,0.030493698963676045
best_seen_state,state_full,20,0.8259885804835274,0.02771079434403397,0.5653413491205254,0.04791666930627307,0.18203847816130972,0.008027262234965369,0.5481431641789914,0.016964126542821915,0.11961887598291407,0.035447777069089186,0.5076031015285285,0.03572923499864458,0.5141891891891892,0.030493698963676045
best_seen_state,state_score,20,0.8080641442677136,0.02798697152656929,0.5317794134315308,0.04333325387422882,0.20332827139041956,0.004102221256746322,0.5967348460366115,0.008291699669377357,0.15631543041153542,0.031106997379082797,0.5157172192287669,0.03020688388451281,0.5141891891891892,0.030493698963676045
best_seen_state,state_score_n,20,0.8067140472247418,0.027480192150721207,0.5329568521691458,0.04358407781494285,0.2024369647971108,0.0042268532067713934,0.5949199537119279,0.008576169408286823,0.15136517008499464,0.028810912512701303,0.514525062953761,0.030418407788465093,0.5141891891891892,0.030493698963676045
