budget_frac_of_120b,system,mean_reward,mean_true_cost,cost_frac_of_120b,lambda,choice_counts_by_route
0.05,Q old allsubsets final ep4 direct,0.5304197476865519,0.0006403178706293706,0.04604499474489251,200,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 212, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 74}"
0.05,Q old allsubsets bestdiag ep0 direct,0.5060835803025113,0.0005683751923076922,0.040871626333357766,200,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 219, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 67}"
0.05,Q bare-only final direct (epoch_0009),0.5269709119711422,0.0002598657342657342,0.018686838080721406,50,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 285, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 1}"
0.05,Q r32 qkvo latest direct (epoch_0003),0.5114584214035063,0.0005477682517482517,0.03938978971237587,200,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 229, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 2, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 55}"
0.05,Q r16 qkvo+mlp latest direct (epoch_0003),0.5245373536727881,0.0005190667902097902,0.03732587941668128,150,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 234, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 5, ""solver:openai/gpt-oss-120b"": 1, ""solver:openai/gpt-oss-20b"": 46}"
0.05,BCE post-scout r32 qkvo+mlp,0.5344359226974672,0.0005099529300699301,0.03667050548211801,75,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 238, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 48}"
0.05,BCE input-only r32 qkvo+mlp,0.525797137249227,0.0003402076503496503,0.024464192225534535,150,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 261, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 25}"
0.05,best_always_under_cap,0.5249824522310292,0.0002618322587412587,0.01882825004701906,0,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 286, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 0}"
0.08,Q old allsubsets final ep4 direct,0.5335478205874098,0.0010303981853146853,0.074095509752567,100,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 170, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 1, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 115}"
0.08,Q old allsubsets bestdiag ep0 direct,0.5186046977265886,0.0008323480349650349,0.059853804889462806,150,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 187, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 99}"
0.08,Q bare-only final direct (epoch_0009),0.5269709119711422,0.0002598657342657342,0.018686838080721406,50,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 285, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 1}"
0.08,Q r32 qkvo latest direct (epoch_0003),0.5114584214035063,0.0005477682517482517,0.03938978971237587,200,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 229, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 2, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 55}"
0.08,Q r16 qkvo+mlp latest direct (epoch_0003),0.5348099629377113,0.0011013209125874124,0.07919553390362864,75,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 211, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 17, ""solver:openai/gpt-oss-120b"": 15, ""solver:openai/gpt-oss-20b"": 43}"
0.08,Q r32 qkvo+mlp latest direct (epoch_0003),0.5354975330129998,0.0007447702027972028,0.053556118994840925,200,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 234, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 52}"
0.08,Q bare-out latest direct (epoch_0004),0.5226206158575452,0.000879780111888112,0.06326462603446029,150,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 194, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 12, ""solver:openai/gpt-oss-120b"": 1, ""solver:openai/gpt-oss-20b"": 79}"
0.08,BCE post-scout r32 qkvo+mlp,0.5460550546858858,0.0009831766083916085,0.07069982557600096,50,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 196, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 90}"
0.08,BCE input-only r32 qkvo+mlp,0.525797137249227,0.0003402076503496503,0.024464192225534535,150,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 261, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 25}"
0.08,best_always_under_cap,0.5249824522310292,0.0002618322587412587,0.01882825004701906,0,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 286, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 0}"
0.1,Q old allsubsets final ep4 direct,0.539798277945261,0.0012849693776223775,0.09240161949847707,60,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 153, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 3, ""solver:openai/gpt-oss-120b"": 4, ""solver:openai/gpt-oss-20b"": 126}"
0.1,Q old allsubsets bestdiag ep0 direct,0.5186046977265886,0.0008323480349650349,0.059853804889462806,150,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 187, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 99}"
0.1,Q bare-only final direct (epoch_0009),0.5269709119711422,0.0002598657342657342,0.018686838080721406,50,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 285, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 1}"
0.1,Q r32 qkvo latest direct (epoch_0003),0.5114584214035063,0.0005477682517482517,0.03938978971237587,200,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 229, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 2, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 55}"
0.1,Q r16 qkvo+mlp latest direct (epoch_0003),0.5348099629377113,0.0011013209125874124,0.07919553390362864,75,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 211, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 17, ""solver:openai/gpt-oss-120b"": 15, ""solver:openai/gpt-oss-20b"": 43}"
0.1,Q r32 qkvo+mlp latest direct (epoch_0003),0.5441088802679596,0.0012073758356643358,0.08682189980678094,100,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 208, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 1, ""solver:openai/gpt-oss-120b"": 7, ""solver:openai/gpt-oss-20b"": 70}"
0.1,Q bare-out latest direct (epoch_0004),0.53042232351895,0.001200419811188811,0.0863216949474256,100,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 171, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 25, ""solver:openai/gpt-oss-120b"": 4, ""solver:openai/gpt-oss-20b"": 86}"
0.1,BCE post-scout r32 qkvo+mlp,0.5511428300685924,0.0013119111083916084,0.09433898827824926,40,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 172, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 114}"
0.1,BCE input-only r32 qkvo+mlp,0.525797137249227,0.0003402076503496503,0.024464192225534535,150,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 261, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 25}"
0.1,best_always_under_cap,0.5249824522310292,0.0002618322587412587,0.01882825004701906,0,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 286, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 0}"
0.12,Q old allsubsets final ep4 direct,0.539798277945261,0.0012849693776223775,0.09240161949847707,60,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 153, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 3, ""solver:openai/gpt-oss-120b"": 4, ""solver:openai/gpt-oss-20b"": 126}"
0.12,Q old allsubsets bestdiag ep0 direct,0.5186046977265886,0.0008323480349650349,0.059853804889462806,150,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 187, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 99}"
0.12,Q bare-only final direct (epoch_0009),0.5269709119711422,0.0002598657342657342,0.018686838080721406,50,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 285, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 1}"
0.12,Q r32 qkvo latest direct (epoch_0003),0.5233772773254561,0.0015224983811188812,0.10948223245561042,75,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 172, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 12, ""solver:openai/gpt-oss-120b"": 20, ""solver:openai/gpt-oss-20b"": 82}"
0.12,Q r16 qkvo+mlp latest direct (epoch_0003),0.5348099629377113,0.0011013209125874124,0.07919553390362864,75,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 211, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 17, ""solver:openai/gpt-oss-120b"": 15, ""solver:openai/gpt-oss-20b"": 43}"
0.12,Q r32 qkvo+mlp latest direct (epoch_0003),0.5441088802679596,0.0012073758356643358,0.08682189980678094,100,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 208, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 1, ""solver:openai/gpt-oss-120b"": 7, ""solver:openai/gpt-oss-20b"": 70}"
0.12,Q bare-out latest direct (epoch_0004),0.531681749497748,0.001578077479020979,0.11347890252872983,75,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 162, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 31, ""solver:openai/gpt-oss-120b"": 13, ""solver:openai/gpt-oss-20b"": 80}"
0.12,BCE post-scout r32 qkvo+mlp,0.554763697911572,0.0015706276993006992,0.11294319193278203,35,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 155, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 131}"
