lambda,system,mean_reward,mean_true_cost,mean_pred_cost_for_choice,mean_utility,best_always,best_always_utility,gap_vs_best_always,oracle_utility,oracle_gap,choice_counts_by_route
25,Q old allsubsets final ep4 direct,0.531051911503007,0.0026900340314685318,0.002286361159447779,0.46380106071629373,always::scout:Qwen/Qwen3-4B-Instruct-2507,0.5184366457624979,-0.054635585046204194,0.6840423343353473,0.2202412736190536,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 139, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 6, ""solver:openai/gpt-oss-120b"": 42, ""solver:openai/gpt-oss-20b"": 99}"
25,Q old allsubsets bestdiag ep0 direct,0.5144951328594011,0.0020888334999999997,0.00161525380112115,0.46227429535940123,always::scout:Qwen/Qwen3-4B-Instruct-2507,0.5184366457624979,-0.056162350403096695,0.6840423343353473,0.2217680389759461,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 85, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 7, ""solver:openai/gpt-oss-20b"": 194}"
25,Q bare-only final direct (epoch_0009),0.5175408773049689,0.0009609923426573427,0.0007428448880040536,0.4935160687385353,always::scout:Qwen/Qwen3-4B-Instruct-2507,0.5184366457624979,-0.02492057702396261,0.6840423343353473,0.19052626559681202,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 257, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 29, ""solver:openai/gpt-oss-20b"": 0}"
25,Q r32 qkvo latest direct (epoch_0003),0.5398704088549138,0.0033043066853146856,0.0030249373675003497,0.4572627417220466,always::scout:Qwen/Qwen3-4B-Instruct-2507,0.5184366457624979,-0.06117390404045131,0.6840423343353473,0.22677959261330072,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 148, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 11, ""solver:openai/gpt-oss-120b"": 68, ""solver:openai/gpt-oss-20b"": 59}"
25,Q r16 qkvo+mlp latest direct (epoch_0003),0.5341121528196887,0.0035345371188811193,0.0032179033576209943,0.4457487248476608,always::scout:Qwen/Qwen3-4B-Instruct-2507,0.5184366457624979,-0.07268792091483711,0.6840423343353473,0.23829360948768652,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 161, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 34, ""solver:openai/gpt-oss-120b"": 70, ""solver:openai/gpt-oss-20b"": 21}"
25,Q r32 qkvo+mlp latest direct (epoch_0003),0.5397177130380472,0.003536520653846154,0.00288524972386631,0.45130469669189327,always::scout:Qwen/Qwen3-4B-Instruct-2507,0.5184366457624979,-0.06713194907060466,0.6840423343353473,0.23273763764345407,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 168, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 2, ""solver:openai/gpt-oss-120b"": 57, ""solver:openai/gpt-oss-20b"": 59}"
25,Q bare-out latest direct (epoch_0004),0.5611581679758186,0.003996751947552448,0.0036992423106308385,0.4612393692870076,always::scout:Qwen/Qwen3-4B-Instruct-2507,0.5184366457624979,-0.05719727647549033,0.6840423343353473,0.22280296504833974,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 128, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 44, ""solver:openai/gpt-oss-120b"": 74, ""solver:openai/gpt-oss-20b"": 40}"
25,BCE post-scout r32 qkvo+mlp,0.5572364418267735,0.002021527006993007,0.001419089297464954,0.5066982666519483,always::scout:Qwen/Qwen3-4B-Instruct-2507,0.5184366457624979,-0.011738379110549646,0.6840423343353473,0.17734406768339905,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 123, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 163}"
25,BCE input-only r32 qkvo+mlp,0.5365725236501078,0.0019767633076923073,0.0013924329609534918,0.48715344095780017,always::scout:Qwen/Qwen3-4B-Instruct-2507,0.5184366457624979,-0.03128320480469776,0.6840423343353473,0.19688889337754717,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 112, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 174}"
30,Q old allsubsets final ep4 direct,0.5279892085253952,0.0024028135069930068,0.001968680139252732,0.45590480331560507,always::scout:Qwen/Qwen3-4B-Instruct-2507,0.5171274844687914,-0.061222681153186354,0.675417073193772,0.2195122698781669,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 140, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 5, ""solver:openai/gpt-oss-120b"": 32, ""solver:openai/gpt-oss-20b"": 109}"
30,Q old allsubsets bestdiag ep0 direct,0.5122325181933695,0.0019161186888111887,0.0014740141832176893,0.4547489575290337,always::scout:Qwen/Qwen3-4B-Instruct-2507,0.5171274844687914,-0.062378526939757706,0.675417073193772,0.22066811566473826,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 93, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 2, ""solver:openai/gpt-oss-20b"": 191}"
30,Q bare-only final direct (epoch_0009),0.523678079740948,0.0004370165874125874,0.00037286066810527545,0.5105675821185705,always::scout:Qwen/Qwen3-4B-Instruct-2507,0.5171274844687914,-0.00655990235022097,0.675417073193772,0.16484949107520153,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 278, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 8, ""solver:openai/gpt-oss-20b"": 0}"
30,Q r32 qkvo latest direct (epoch_0003),0.5339875807283512,0.002921857241258741,0.002642597812149499,0.44633186349058906,always::scout:Qwen/Qwen3-4B-Instruct-2507,0.5171274844687914,-0.07079562097820236,0.675417073193772,0.2290852097031829,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 152, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 13, ""solver:openai/gpt-oss-120b"": 56, ""solver:openai/gpt-oss-20b"": 65}"
30,Q r16 qkvo+mlp latest direct (epoch_0003),0.529557511420734,0.0030485449195804194,0.002695217977448612,0.43810116383332137,always::scout:Qwen/Qwen3-4B-Instruct-2507,0.5171274844687914,-0.07902632063547005,0.675417073193772,0.2373159093604506,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 168, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 34, ""solver:openai/gpt-oss-120b"": 59, ""solver:openai/gpt-oss-20b"": 25}"
30,Q r32 qkvo+mlp latest direct (epoch_0003),0.5433902125038664,0.003131920818181818,0.002478468036768224,0.44943258795841196,always::scout:Qwen/Qwen3-4B-Instruct-2507,0.5171274844687914,-0.06769489651037947,0.675417073193772,0.22598448523536002,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 174, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 2, ""solver:openai/gpt-oss-120b"": 48, ""solver:openai/gpt-oss-20b"": 62}"
30,Q bare-out latest direct (epoch_0004),0.5623396213564279,0.003450841346153846,0.003141865440081751,0.4588143809718125,always::scout:Qwen/Qwen3-4B-Instruct-2507,0.5171274844687914,-0.058313103496978935,0.675417073193772,0.2166026922219595,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 132, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 41, ""solver:openai/gpt-oss-120b"": 63, ""solver:openai/gpt-oss-20b"": 50}"
30,BCE post-scout r32 qkvo+mlp,0.5504631732834064,0.0018698814125874125,0.0012514778990645272,0.49436673090578404,always::scout:Qwen/Qwen3-4B-Instruct-2507,0.5171274844687914,-0.022760753563007385,0.675417073193772,0.18105034228798794,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 136, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 1, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 149}"
30,BCE input-only r32 qkvo+mlp,0.5277802519758945,0.0018093017202797203,0.0012061407038196064,0.4735012003675028,always::scout:Qwen/Qwen3-4B-Instruct-2507,0.5171274844687914,-0.043626284101288604,0.675417073193772,0.20191587282626916,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 125, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 1, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 160}"
40,Q old allsubsets final ep4 direct,0.5345668367686673,0.0017332022902097903,0.001429362779480749,0.46523874516027564,always::scout:Qwen/Qwen3-4B-Instruct-2507,0.5145091618813789,-0.049270416721103216,0.6608126930162946,0.195573947856019,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 146, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 4, ""solver:openai/gpt-oss-120b"": 17, ""solver:openai/gpt-oss-20b"": 119}"
40,Q old allsubsets bestdiag ep0 direct,0.5094616343293799,0.0017457506538461538,0.0013283797330495722,0.4396316081755337,always::scout:Qwen/Qwen3-4B-Instruct-2507,0.5145091618813789,-0.07487755370584515,0.6608126930162946,0.22118108484076093,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 106, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 180}"
