run,kind,cost_mode,lambda,mean_reward,mean_cost,mean_utility,random_reward_same_cost,gain_vs_direct_random_same_cost,best_always_utility,utility_gain_vs_best_always,choice_counts
BCE post-scout old r16,non_q,fixed_train_mean,0,0.42657342657342656,0.011474155181818182,0.42657342657342656,0.4542693172313538,-0.027695890657927213,0.47202797202797203,-0.04545454545454547,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 82, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 204, ""solver:openai/gpt-oss-20b"": 0}"
BCE post-scout old r16,non_q,fixed_train_mean,0.25,0.4195804195804196,0.011219000632867132,0.4167756694222028,0.45240630890007605,-0.032825889319656465,0.46855138421328674,-0.05177571479108395,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 84, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 194, ""solver:openai/gpt-oss-20b"": 8}"
BCE post-scout old r16,non_q,fixed_train_mean,0.5,0.4125874125874126,0.01112049382867133,0.40702716567307695,0.45168706247606066,-0.03909964988864806,0.4650747963986014,-0.058047630725524435,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 84, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 190, ""solver:openai/gpt-oss-20b"": 12}"
BCE post-scout old r16,non_q,fixed_train_mean,0.75,0.4090909090909091,0.010855170423076923,0.40094953127360144,0.44974980634193557,-0.04065889725102645,0.4615982085839161,-0.06064867731031465,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 85, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 183, ""solver:openai/gpt-oss-20b"": 18}"
BCE post-scout old r16,non_q,fixed_train_mean,1,0.40559440559440557,0.010752403367132866,0.3948420022272727,0.4489994537333235,-0.043405048138917934,0.4581216207692308,-0.06327961854195807,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 85, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 179, ""solver:openai/gpt-oss-20b"": 22}"
BCE post-scout old r16,non_q,fixed_train_mean,1.25,0.4020979020979021,0.010535930947552449,0.38892798841346155,0.4474188825742824,-0.045320980476380335,0.45464503295454545,-0.0657170445410839,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 87, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 172, ""solver:openai/gpt-oss-20b"": 27}"
BCE post-scout old r16,non_q,fixed_train_mean,1.5,0.3986013986013986,0.010321270958041959,0.38311949216433566,0.44585154485487255,-0.04725014625347396,0.45116844513986015,-0.06804895297552449,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 88, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 166, ""solver:openai/gpt-oss-20b"": 32}"
BCE post-scout old r16,non_q,fixed_train_mean,1.75,0.3986013986013986,0.010306520146853147,0.3805649883444056,0.44574384195774275,-0.047142443356344155,0.44769185732517486,-0.06712686898076925,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 88, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 165, ""solver:openai/gpt-oss-20b"": 33}"
BCE post-scout old r16,non_q,fixed_train_mean,2,0.3986013986013986,0.010211475517482518,0.37817844756643354,0.4450498745678271,-0.04644847596642848,0.4442152695104895,-0.06603682194405597,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 89, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 162, ""solver:openai/gpt-oss-20b"": 35}"
BCE post-scout old r16,non_q,fixed_train_mean,2.25,0.3916083916083916,0.010112982111888113,0.36885418185664337,0.44433072597356277,-0.05272233436517115,0.4407386816958042,-0.07188449983916084,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 90, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 160, ""solver:openai/gpt-oss-20b"": 36}"
BCE post-scout old r16,non_q,fixed_train_mean,2.5,0.3916083916083916,0.00990945155944056,0.3668347627097902,0.4428446497251159,-0.051236258116724276,0.4372620938811189,-0.07042733117132871,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 90, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 155, ""solver:openai/gpt-oss-20b"": 41}"
BCE post-scout old r16,non_q,fixed_train_mean,2.75,0.3881118881118881,0.009793612069930069,0.3611794549195804,0.4419988488764295,-0.05388696076454136,0.43378550606643357,-0.07260605114685315,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 91, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 152, ""solver:openai/gpt-oss-20b"": 43}"
BCE post-scout old r16,non_q,fixed_train_mean,3,0.3881118881118881,0.0097605196993007,0.35883032901398604,0.44175722527051026,-0.05364533715862213,0.4303089182517483,-0.07147858923776224,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 91, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 151, ""solver:openai/gpt-oss-20b"": 44}"
