run,kind,cost_mode,best_same_cost_gain,best_same_cost_lambda,best_same_cost_reward,best_same_cost_cost,best_same_cost_random_reward,best_utility_gain_vs_always,best_utility_lambda,best_utility,choice_counts
ALWAYS scout:Qwen/Qwen3-4B-Instruct-2507,always,none,0.0,,0.2902097902097902,0.0002618322587412587,0.2902097902097902,0.0,,nan,
ALWAYS solver:openai/gpt-oss-20b,always,none,0.0,,0.3881118881118881,0.0030106595979020982,0.3881118881118881,0.0,,nan,
ALWAYS solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,always,none,0.0,,0.4020979020979021,0.004328844195804196,0.4020979020979021,0.0,,nan,
ALWAYS solver:openai/gpt-oss-120b,always,none,0.0,,0.47202797202797203,0.01390635125874126,0.47202797202797203,0.0,,nan,
BCE post-scout old r16,non_q,fixed_train_mean,0.017441056335671723,35,0.3776223776223776,0.002226444475524475,0.3601813212867059,0.016958018793706342,35,0.29969682097902095,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 139, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 147}"
BCE post-scout old r16,non_q,predicted_cost,0.02575878586241309,25,0.3706293706293706,0.001796560213286713,0.34487058476695753,0.019391738706293793,35,0.3021305408916084,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 140, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 1, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 145}"
BCE input-only old r16,non_q,fixed_train_mean,0.003433415826939623,35,0.3706293706293706,0.0024233965,0.367195954802431,0.003071690944056016,35,0.2858104931293706,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 79, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 207}"
BCE input-only old r16,non_q,predicted_cost,0.018462921295283152,4,0.45104895104895104,0.008504447884615384,0.4325860297536679,0.01009279912587413,25,0.3229381972902098,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 0, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 178, ""solver:openai/gpt-oss-20b"": 108}"
BCE post-scout r32 qkvo+mlp,non_q,fixed_train_mean,0.0054576332629707736,45,0.2972027972027972,0.00030494141958041954,0.2917451639398264,0.005053094755244736,45,0.2834804333216783,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 281, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 5}"
BCE post-scout r32 qkvo+mlp,non_q,predicted_cost,0.010311379906991325,100,0.3041958041958042,0.0003650060909090908,0.2938844242888129,0.0036686307692307962,100,0.26769519510489515,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 261, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 25}"
BCE input-only r32 qkvo+mlp,non_q,fixed_train_mean,0.0,50,0.2902097902097902,0.0002618322587412587,0.2902097902097902,0.0,50,0.27711817727272725,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 286, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 0}"
BCE input-only r32 qkvo+mlp,non_q,predicted_cost,0.004523464245920872,200,0.2972027972027972,0.00033117037062937055,0.2926793329568763,-0.001109460664335593,35,0.281629341520979,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 264, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 22}"
Cheapest-tier post-scout balanced newer,non_q,fixed_train_mean,0.0,0,0.0,0.0,0.0,-0.2378433384615385,200,0.0,"{""OUT"": 286, ""scout:Qwen/Qwen3-4B-Instruct-2507"": 0, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 0}"
Cheapest-tier post-scout balanced newer,non_q,predicted_cost,0.0,0,0.0,0.0,0.0,-0.2378433384615385,200,0.0,"{""OUT"": 286, ""scout:Qwen/Qwen3-4B-Instruct-2507"": 0, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 0}"
Cheapest-tier input-only balanced newer,non_q,fixed_train_mean,0.0,0,0.0,0.0,0.0,-0.2378433384615385,200,0.0,"{""OUT"": 286, ""scout:Qwen/Qwen3-4B-Instruct-2507"": 0, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 0}"
Cheapest-tier input-only balanced newer,non_q,predicted_cost,0.0,0,0.0,0.0,0.0,-0.2378433384615385,200,0.0,"{""OUT"": 286, ""scout:Qwen/Qwen3-4B-Instruct-2507"": 0, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 0}"
