policy,policy_type,lambda,cost_metric,cost_accounting,mean_true_reward,mean_true_cost,mean_true_utility,choice_counts_by_route,called_counts_by_route,thresholds,cascade_order,cascade_order_labels,train_utility
cascade_train_tau_weighted,cascade_train_thresholds,0.0,output_tokens,sequential_cascade,0.4370629370629371,0.01820636022377622,0.4370629370629371,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 15, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 49, ""solver:openai/gpt-oss-120b"": 97, ""solver:openai/gpt-oss-20b"": 125}","{""scout:Qwen/Qwen3-4B-Instruct-2507"": 286, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 174, ""solver:openai/gpt-oss-120b"": 271, ""solver:openai/gpt-oss-20b"": 125}","[0.9765625, 0.7781250000000011, 0.12792968750000022]","[0, 3, 2, 1]","[""scout:Qwen/Qwen3-4B-Instruct-2507"", ""solver:openai/gpt-oss-120b"", ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"", ""solver:openai/gpt-oss-20b""]",0.5165794066317626
cascade_train_tau_weighted,cascade_train_thresholds,5.0,output_tokens,sequential_cascade,0.3776223776223776,0.006477620916083915,0.34523427304195803,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 28, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 194, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 64}","{""scout:Qwen/Qwen3-4B-Instruct-2507"": 286, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 194, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 258}","[0.9453125, 0.8046875, -0.09326271875]","[0, 1, 2, 3]","[""scout:Qwen/Qwen3-4B-Instruct-2507"", ""solver:openai/gpt-oss-20b"", ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"", ""solver:openai/gpt-oss-120b""]",0.44200746562390947
cascade_train_tau_weighted,cascade_train_thresholds,10.0,output_tokens,sequential_cascade,0.38461538461538464,0.0057480656188811175,0.3271347284265735,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 31, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 158, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 97}","{""scout:Qwen/Qwen3-4B-Instruct-2507"": 286, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 158, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 255}","[0.93359375, 0.2820312499999993, -0.09326271875]","[0, 1, 2, 3]","[""scout:Qwen/Qwen3-4B-Instruct-2507"", ""solver:openai/gpt-oss-20b"", ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"", ""solver:openai/gpt-oss-120b""]",0.4128953779232113
cascade_train_tau_weighted,cascade_train_thresholds,15.0,output_tokens,sequential_cascade,0.38461538461538464,0.0029151124300699303,0.3408886981643357,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 67, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 219}","{""scout:Qwen/Qwen3-4B-Instruct-2507"": 286, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 219}","[0.3902343749999999, -0.093751, -0.09326271875]","[0, 1, 2, 3]","[""scout:Qwen/Qwen3-4B-Instruct-2507"", ""solver:openai/gpt-oss-20b"", ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"", ""solver:openai/gpt-oss-120b""]",0.3955378704799289
cascade_train_tau_weighted,cascade_train_thresholds,20.0,output_tokens,sequential_cascade,0.38461538461538464,0.0029151124300699303,0.32631313601398604,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 67, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 219}","{""scout:Qwen/Qwen3-4B-Instruct-2507"": 286, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 219}","[0.3902343749999999, -0.093751, -0.09326271875]","[0, 1, 2, 3]","[""scout:Qwen/Qwen3-4B-Instruct-2507"", ""solver:openai/gpt-oss-20b"", ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"", ""solver:openai/gpt-oss-120b""]",0.38224130258289735
cascade_train_tau_weighted,cascade_train_thresholds,25.0,output_tokens,sequential_cascade,0.38461538461538464,0.0029151124300699303,0.3117375738636364,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 67, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 219}","{""scout:Qwen/Qwen3-4B-Instruct-2507"": 286, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 219}","[0.3902343749999999, -0.093751, -0.09326271875]","[0, 1, 2, 3]","[""scout:Qwen/Qwen3-4B-Instruct-2507"", ""solver:openai/gpt-oss-20b"", ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"", ""solver:openai/gpt-oss-120b""]",0.3689447346858636
cascade_train_tau_weighted,cascade_train_thresholds,30.0,output_tokens,sequential_cascade,0.38461538461538464,0.0029151124300699303,0.2971620117132867,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 67, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 219}","{""scout:Qwen/Qwen3-4B-Instruct-2507"": 286, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 219}","[0.3902343749999999, -0.093751, -0.09326271875]","[0, 1, 2, 3]","[""scout:Qwen/Qwen3-4B-Instruct-2507"", ""solver:openai/gpt-oss-20b"", ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"", ""solver:openai/gpt-oss-120b""]",0.3556481667888312
cascade_train_tau_weighted,cascade_train_thresholds,35.0,output_tokens,sequential_cascade,0.38461538461538464,0.0029151124300699303,0.2825864495629371,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 67, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 219}","{""scout:Qwen/Qwen3-4B-Instruct-2507"": 286, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 219}","[0.3902343749999999, -0.093751, -0.09326271875]","[0, 1, 2, 3]","[""scout:Qwen/Qwen3-4B-Instruct-2507"", ""solver:openai/gpt-oss-20b"", ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"", ""solver:openai/gpt-oss-120b""]",0.34235159889179784
cascade_train_tau_weighted,cascade_train_thresholds,40.0,output_tokens,sequential_cascade,0.38461538461538464,0.0029151124300699303,0.26801088741258744,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 67, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 219}","{""scout:Qwen/Qwen3-4B-Instruct-2507"": 286, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 219}","[0.3902343749999999, -0.093751, -0.09326271875]","[0, 1, 2, 3]","[""scout:Qwen/Qwen3-4B-Instruct-2507"", ""solver:openai/gpt-oss-20b"", ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"", ""solver:openai/gpt-oss-120b""]",0.329055030994765
cascade_train_tau_weighted,cascade_train_thresholds,50.0,output_tokens,sequential_cascade,0.38461538461538464,0.0029151124300699303,0.2388597631118881,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 67, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 219}","{""scout:Qwen/Qwen3-4B-Instruct-2507"": 286, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 219}","[0.3902343749999999, -0.093751, -0.09326271875]","[0, 1, 2, 3]","[""scout:Qwen/Qwen3-4B-Instruct-2507"", ""solver:openai/gpt-oss-20b"", ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"", ""solver:openai/gpt-oss-120b""]",0.3024618952006987
