policy,policy_type,lambda,cost_metric,cost_accounting,mean_true_reward,mean_true_cost,mean_true_utility,choice_counts_by_route,called_counts_by_route,cascade_order,cascade_order_labels
always_direct::scout:Qwen/Qwen3-4B-Instruct-2507,always_direct,0.0,output_tokens,direct,0.2902097902097902,0.00026183225874125865,0.2902097902097902,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 286, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 0}",,,
always_direct::solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,always_direct,0.0,output_tokens,direct,0.4020979020979021,0.004328844195804197,0.4020979020979021,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 0, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 286, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 0}",,,
always_direct::solver:openai/gpt-oss-120b,always_direct,0.0,output_tokens,direct,0.47202797202797203,0.013906351258741255,0.47202797202797203,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 0, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 286, ""solver:openai/gpt-oss-20b"": 0}",,,
always_direct::solver:openai/gpt-oss-20b,always_direct,0.0,output_tokens,direct,0.3881118881118881,0.0030106595979021,0.3881118881118881,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 0, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 286}",,,
cascade_train_tau_weighted,cascade_train_thresholds,0.0,output_tokens,sequential_cascade,0.4370629370629371,0.01820636022377622,0.4370629370629371,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 15, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 49, ""solver:openai/gpt-oss-120b"": 97, ""solver:openai/gpt-oss-20b"": 125}","{""scout:Qwen/Qwen3-4B-Instruct-2507"": 286, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 174, ""solver:openai/gpt-oss-120b"": 271, ""solver:openai/gpt-oss-20b"": 125}","[0, 3, 2, 1]","[""scout:Qwen/Qwen3-4B-Instruct-2507"", ""solver:openai/gpt-oss-120b"", ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"", ""solver:openai/gpt-oss-20b""]"
direct_router_after_primary_pred_reward_pred_cost_weighted,router_after_primary,0.0,output_tokens,after_primary,0.42657342657342656,0.011694677223776222,0.42657342657342656,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 82, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 204, ""solver:openai/gpt-oss-20b"": 0}",,,
oracle_after_primary_utility_weighted,oracle_after_primary,0.0,output_tokens,after_primary,0.5594405594405595,0.0015183894545454542,0.5594405594405595,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 209, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 21, ""solver:openai/gpt-oss-120b"": 12, ""solver:openai/gpt-oss-20b"": 44}",,,
oracle_direct_utility_weighted,oracle_direct,0.0,output_tokens,direct,0.5594405594405595,0.0014341748951048942,0.5594405594405595,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 209, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 21, ""solver:openai/gpt-oss-120b"": 12, ""solver:openai/gpt-oss-20b"": 44}",,,
oracle_reward_after_primary_weighted,oracle_after_primary,0.0,output_tokens,after_primary,0.5594405594405595,0.0015183894545454542,0.5594405594405595,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 209, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 21, ""solver:openai/gpt-oss-120b"": 12, ""solver:openai/gpt-oss-20b"": 44}",,,
reward_only_router_after_primary_weighted,router_after_primary,0.0,output_tokens,after_primary,0.42657342657342656,0.011694677223776222,0.42657342657342656,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 82, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 204, ""solver:openai/gpt-oss-20b"": 0}",,,
always_direct::scout:Qwen/Qwen3-4B-Instruct-2507,always_direct,5.0,output_tokens,direct,0.2902097902097902,0.00026183225874125865,0.2889006289160839,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 286, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 0}",,,
always_direct::solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,always_direct,5.0,output_tokens,direct,0.4020979020979021,0.004328844195804197,0.3804536811188811,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 0, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 286, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 0}",,,
always_direct::solver:openai/gpt-oss-120b,always_direct,5.0,output_tokens,direct,0.47202797202797203,0.013906351258741255,0.40249621573426575,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 0, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 286, ""solver:openai/gpt-oss-20b"": 0}",,,
always_direct::solver:openai/gpt-oss-20b,always_direct,5.0,output_tokens,direct,0.3881118881118881,0.0030106595979021,0.37305859012237763,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 0, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 286}",,,
cascade_train_tau_weighted,cascade_train_thresholds,5.0,output_tokens,sequential_cascade,0.3776223776223776,0.006477620916083915,0.34523427304195803,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 28, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 194, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 64}","{""scout:Qwen/Qwen3-4B-Instruct-2507"": 286, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 194, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 258}","[0, 1, 2, 3]","[""scout:Qwen/Qwen3-4B-Instruct-2507"", ""solver:openai/gpt-oss-20b"", ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"", ""solver:openai/gpt-oss-120b""]"
direct_router_after_primary_pred_reward_pred_cost_weighted,router_after_primary,5.0,output_tokens,after_primary,0.42657342657342656,0.01165782369230769,0.3682843081118881,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 83, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 203, ""solver:openai/gpt-oss-20b"": 0}",,,
oracle_after_primary_utility_weighted,oracle_after_primary,5.0,output_tokens,after_primary,0.5594405594405595,0.0015060818636363632,0.5519101501223777,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 209, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 23, ""solver:openai/gpt-oss-120b"": 12, ""solver:openai/gpt-oss-20b"": 42}",,,
