policy,policy_type,lambda,cost_metric,cost_accounting,mean_true_reward,mean_pred_reward,mean_true_cost,mean_pred_cost,mean_true_utility,mean_pred_utility,utility_oracle_match_rate,reward_oracle_match_rate,choice_counts_by_route
direct_router_direct_pred_reward_pred_cost_weighted,router_direct,0.0,output_tokens,direct,0.47202797202797203,0.47963227362899513,0.013906351258741255,5.443759959259016e-05,0.47202797202797203,0.47963227362899513,0.04195804195804196,0.04195804195804196,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 0, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 286, ""solver:openai/gpt-oss-20b"": 0}"
reward_only_router_direct_weighted,router_direct,0.0,output_tokens,direct,0.47202797202797203,0.47963227362899513,0.013906351258741255,5.443759959259016e-05,0.47202797202797203,0.47963227362899513,0.04195804195804196,0.04195804195804196,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 0, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 286, ""solver:openai/gpt-oss-20b"": 0}"
oracle_after_primary_utility_weighted,oracle_after_primary,0.0,output_tokens,after_primary,0.5594405594405595,0.36034618797418955,0.0015183894545454542,5.671520484370601e-06,0.5594405594405595,0.36034618797418955,1.0,1.0,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 209, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 21, ""solver:openai/gpt-oss-120b"": 12, ""solver:openai/gpt-oss-20b"": 44}"
oracle_direct_utility_weighted,oracle_direct,0.0,output_tokens,direct,0.5594405594405595,0.36034618797418955,0.0014341748951048942,5.395009122520852e-06,0.5594405594405595,0.36034618797418955,1.0,1.0,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 209, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 21, ""solver:openai/gpt-oss-120b"": 12, ""solver:openai/gpt-oss-20b"": 44}"
oracle_reward_after_primary_weighted,oracle_after_primary,0.0,output_tokens,after_primary,0.5594405594405595,0.36034618797418955,0.0015183894545454542,5.671520484370601e-06,0.5594405594405595,0.36034618797418955,1.0,1.0,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 209, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 21, ""solver:openai/gpt-oss-120b"": 12, ""solver:openai/gpt-oss-20b"": 44}"
always_direct::scout:Qwen/Qwen3-4B-Instruct-2507,always_direct,0.0,output_tokens,direct,0.2902097902097902,0.3335349694206998,0.00026183225874125865,1.0269559184828258e-06,0.2902097902097902,0.3335349694206998,0.7307692307692307,0.7307692307692307,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 286, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 0}"
always_direct::solver:openai/gpt-oss-20b,always_direct,0.0,output_tokens,direct,0.3881118881118881,0.43282001137316645,0.0030106595979021,6.884125716499717e-06,0.3881118881118881,0.43282001137316645,0.15384615384615385,0.15384615384615385,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 0, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 286}"
always_after_primary::solver:openai/gpt-oss-20b,always_after_primary,0.0,output_tokens,after_primary,0.3881118881118881,0.43282001137316645,0.003272491856643357,7.911081634982563e-06,0.3881118881118881,0.43282001137316645,0.15384615384615385,0.15384615384615385,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 0, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 286}"
always_direct::solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,always_direct,0.0,output_tokens,direct,0.4020979020979021,0.4135678412614169,0.004328844195804197,1.7744459344702877e-05,0.4020979020979021,0.4135678412614169,0.07342657342657342,0.07342657342657342,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 0, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 286, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 0}"
always_after_primary::solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,always_after_primary,0.0,output_tokens,after_primary,0.4020979020979021,0.4135678412614169,0.004590676454545456,1.8771415263185784e-05,0.4020979020979021,0.4135678412614169,0.07342657342657342,0.07342657342657342,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 0, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 286, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 0}"
always_direct::solver:openai/gpt-oss-120b,always_direct,0.0,output_tokens,direct,0.47202797202797203,0.47963227362899513,0.013906351258741255,5.443759959259016e-05,0.47202797202797203,0.47963227362899513,0.04195804195804196,0.04195804195804196,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 0, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 286, ""solver:openai/gpt-oss-20b"": 0}"
