policy,policy_type,lambda,cost_metric,cost_accounting,mean_true_reward,mean_pred_reward,mean_true_cost,mean_pred_cost,mean_true_utility,mean_pred_utility,utility_oracle_match_rate,reward_oracle_match_rate,choice_counts_by_route
direct_router_after_primary_pred_reward_pred_cost_weighted,router_after_primary,0.0,output_tokens,after_primary,0.42657342657342656,0.4843356122712155,0.011694677223776222,0.0002985150826152269,0.42657342657342656,0.4843356122712155,0.25874125874125875,0.25874125874125875,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 82, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 204, ""solver:openai/gpt-oss-20b"": 0}"
reward_only_router_after_primary_weighted,router_after_primary,0.0,output_tokens,after_primary,0.42657342657342656,0.4843356122712155,0.011694677223776222,0.0002985150826152269,0.42657342657342656,0.4843356122712155,0.25874125874125875,0.25874125874125875,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 82, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 204, ""solver:openai/gpt-oss-20b"": 0}"
oracle_after_primary_utility_weighted,oracle_after_primary,0.0,output_tokens,after_primary,0.5594405594405595,0.4094069934599883,0.0015183894545454542,0.0002669713823182775,0.5594405594405595,0.4094069934599883,1.0,1.0,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 209, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 21, ""solver:openai/gpt-oss-120b"": 12, ""solver:openai/gpt-oss-20b"": 44}"
oracle_direct_utility_weighted,oracle_direct,0.0,output_tokens,direct,0.5594405594405595,0.4094069934599883,0.0014341748951048942,0.00018275682287771818,0.5594405594405595,0.4094069934599883,1.0,1.0,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 209, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 21, ""solver:openai/gpt-oss-120b"": 12, ""solver:openai/gpt-oss-20b"": 44}"
oracle_reward_after_primary_weighted,oracle_after_primary,0.0,output_tokens,after_primary,0.5594405594405595,0.4094069934599883,0.0015183894545454542,0.0002669713823182775,0.5594405594405595,0.4094069934599883,1.0,1.0,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 209, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 21, ""solver:openai/gpt-oss-120b"": 12, ""solver:openai/gpt-oss-20b"": 44}"
always_direct::scout:Qwen/Qwen3-4B-Instruct-2507,always_direct,0.0,output_tokens,direct,0.2902097902097902,0.3907502203971356,0.00026183225874125865,0.00026183225874125865,0.2902097902097902,0.3907502203971356,0.7307692307692307,0.7307692307692307,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 286, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 0}"
always_direct::solver:openai/gpt-oss-20b,always_direct,0.0,output_tokens,direct,0.3881118881118881,0.44919616744651664,0.0030106595979021,7.928410393198772e-06,0.3881118881118881,0.44919616744651664,0.15384615384615385,0.15384615384615385,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 0, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 286}"
always_after_primary::solver:openai/gpt-oss-20b,always_after_primary,0.0,output_tokens,after_primary,0.3881118881118881,0.44919616744651664,0.003272491856643357,0.00026976066913445733,0.3881118881118881,0.44919616744651664,0.15384615384615385,0.15384615384615385,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 0, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 286}"
always_direct::solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,always_direct,0.0,output_tokens,direct,0.4020979020979021,0.43522900426304423,0.004328844195804197,2.4006373800669278e-05,0.4020979020979021,0.43522900426304423,0.07342657342657342,0.07342657342657342,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 0, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 286, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 0}"
always_after_primary::solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,always_after_primary,0.0,output_tokens,after_primary,0.4020979020979021,0.43522900426304423,0.004590676454545456,0.0002858386325419279,0.4020979020979021,0.43522900426304423,0.07342657342657342,0.07342657342657342,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 0, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 286, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 0}"
