policy,policy_type,lambda,cost_accounting,mean_true_reward,mean_true_cost,mean_fixed_pred_cost,mean_true_utility,choice_counts_by_route
post_scout_router_fixed_mean_cost,post_scout,0,after_scout,0.42657342657342656,0.011694677223776222,0.010181047841899394,0.42657342657342656,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 82, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 204, ""solver:openai/gpt-oss-20b"": 0}"
input_only_router_fixed_mean_cost,input_only,0,after_scout,0.47202797202797203,0.01416818351748252,0.014168183517482615,0.47202797202797203,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 0, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 286, ""solver:openai/gpt-oss-20b"": 0}"
post_scout_router_reward_only,post_scout,0,after_scout,0.42657342657342656,0.011694677223776222,0.010181047841899394,0.42657342657342656,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 82, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 204, ""solver:openai/gpt-oss-20b"": 0}"
input_only_router_reward_only,input_only,0,after_scout,0.47202797202797203,0.01416818351748252,0.014168183517482615,0.47202797202797203,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 0, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 286, ""solver:openai/gpt-oss-20b"": 0}"
best_always,always,0,after_scout,0.47202797202797203,0.01416818351748252,0.014168183517482615,0.47202797202797203,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 0, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 286, ""solver:openai/gpt-oss-20b"": 0}"
post_scout_router_fixed_mean_cost,post_scout,5,after_scout,0.3776223776223776,0.008202793059440555,0.006469614701953644,0.3366084123251748,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 98, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 111, ""solver:openai/gpt-oss-20b"": 77}"
input_only_router_fixed_mean_cost,input_only,5,after_scout,0.38461538461538464,0.004122846220279723,0.004148718808389162,0.36400115351398604,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 0, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 23, ""solver:openai/gpt-oss-20b"": 263}"
post_scout_router_reward_only,post_scout,5,after_scout,0.42657342657342656,0.011694677223776222,0.010181047841899394,0.3681000404545455,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 82, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 204, ""solver:openai/gpt-oss-20b"": 0}"
input_only_router_reward_only,input_only,5,after_scout,0.47202797202797203,0.01416818351748252,0.014168183517482615,0.40118705444055947,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 0, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 286, ""solver:openai/gpt-oss-20b"": 0}"
best_always,always,5,after_scout,0.47202797202797203,0.01416818351748252,0.014168183517482615,0.40118705444055947,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 0, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 286, ""solver:openai/gpt-oss-20b"": 0}"
