policy,policy_type,lambda,cost_accounting,mean_true_reward,mean_true_cost,mean_fixed_pred_cost,mean_true_utility,choice_counts_by_route
post_scout_router_fixed_train_mean_cost,post_scout,0,after_scout,0.42657342657342656,0.011694677223776222,0.010307057445294643,0.42657342657342656,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 82, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 204, ""solver:openai/gpt-oss-20b"": 0}"
input_only_router_fixed_train_mean_cost,input_only,0,direct,0.47202797202797203,0.013906351258741255,0.014061715811518374,0.47202797202797203,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 0, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 286, ""solver:openai/gpt-oss-20b"": 0}"
best_always_direct,always,0,direct,0.47202797202797203,0.013906351258741255,0.014061715811518374,0.47202797202797203,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 0, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 286, ""solver:openai/gpt-oss-20b"": 0}"
post_scout_router_fixed_train_mean_cost,post_scout,5,after_scout,0.3741258741258741,0.0037531944335664346,0.002929667814093404,0.35535990195804196,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 98, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 21, ""solver:openai/gpt-oss-20b"": 167}"
input_only_router_fixed_train_mean_cost,input_only,5,direct,0.3881118881118881,0.0030106595979021,0.002774614125654462,0.37305859012237763,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 0, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 286}"
best_always_direct,always,5,direct,0.47202797202797203,0.013906351258741255,0.014061715811518374,0.40249621573426575,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 0, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 286, ""solver:openai/gpt-oss-20b"": 0}"
post_scout_router_fixed_train_mean_cost,post_scout,10,after_scout,0.3776223776223776,0.00258229137062937,0.0019553728935061483,0.3517994639160839,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 113, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 173}"
input_only_router_fixed_train_mean_cost,input_only,10,direct,0.3881118881118881,0.0030106595979021,0.002774614125654462,0.35800529213286714,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 0, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 286}"
best_always_direct,always,10,direct,0.4020979020979021,0.004328844195804197,0.004317807469458979,0.3588094601398601,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 0, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 286, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 0}"
post_scout_router_fixed_train_mean_cost,post_scout,15,after_scout,0.3741258741258741,0.0025026617622377623,0.0018777613095717594,0.33658594769230765,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 121, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 165}"
input_only_router_fixed_train_mean_cost,input_only,15,direct,0.3881118881118881,0.0030106595979021,0.002774614125654462,0.34295199414335664,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 0, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 286}"
best_always_direct,always,15,direct,0.3881118881118881,0.0030106595979021,0.002774614125654462,0.34295199414335664,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 0, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 286}"
post_scout_router_fixed_train_mean_cost,post_scout,20,after_scout,0.3811188811188811,0.0024815098636363636,0.0018292540696127667,0.3314886838461538,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 126, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 160}"
input_only_router_fixed_train_mean_cost,input_only,20,direct,0.3881118881118881,0.0030106595979021,0.002774614125654462,0.32789869615384615,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 0, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 286}"
best_always_direct,always,20,direct,0.3881118881118881,0.0030106595979021,0.002774614125654462,0.32789869615384615,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 0, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 286}"
post_scout_router_fixed_train_mean_cost,post_scout,25,after_scout,0.3776223776223776,0.002436244709790209,0.0017419410376865784,0.31671625987762236,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 135, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 151}"
input_only_router_fixed_train_mean_cost,input_only,25,direct,0.3881118881118881,0.0030106595979021,0.002774614125654462,0.31284539816433565,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 0, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 286}"
