policy,lambda,reward,cost,utility
always::4B,0,0.2803738317757009,0.00027524338317757,0.2803738317757009
always::20B,0,0.5420560747663551,0.0026967361401869154,0.5420560747663551
always::30B,0,0.5794392523364486,0.004814108411214952,0.5794392523364486
always::120B,0,0.7663551401869159,0.012236446822429909,0.7663551401869159
always::4B,5,0.2803738317757009,0.00027524338317757,0.27899761485981306
always::20B,5,0.5420560747663551,0.0026967361401869154,0.5285723940654206
always::30B,5,0.5794392523364486,0.004814108411214952,0.5553687102803738
always::120B,5,0.7663551401869159,0.012236446822429909,0.7051729060747663
always::4B,10,0.2803738317757009,0.00027524338317757,0.2776213979439252
always::20B,10,0.5420560747663551,0.0026967361401869154,0.5150887133644859
always::30B,10,0.5794392523364486,0.004814108411214952,0.531298168224299
always::120B,10,0.7663551401869159,0.012236446822429909,0.6439906719626167
always::4B,15,0.2803738317757009,0.00027524338317757,0.27624518102803736
always::20B,15,0.5420560747663551,0.0026967361401869154,0.5016050326635514
always::30B,15,0.5794392523364486,0.004814108411214952,0.5072276261682243
always::120B,15,0.7663551401869159,0.012236446822429909,0.5828084378504672
always::4B,20,0.2803738317757009,0.00027524338317757,0.2748689641121495
always::20B,20,0.5420560747663551,0.0026967361401869154,0.4881213519626168
always::30B,20,0.5794392523364486,0.004814108411214952,0.4831570841121495
always::120B,20,0.7663551401869159,0.012236446822429909,0.5216262037383177
always::4B,25,0.2803738317757009,0.00027524338317757,0.27349274719626165
always::20B,25,0.5420560747663551,0.0026967361401869154,0.4746376712616822
always::30B,25,0.5794392523364486,0.004814108411214952,0.45908654205607474
always::120B,25,0.7663551401869159,0.012236446822429909,0.4604439696261681
always::4B,30,0.2803738317757009,0.00027524338317757,0.2721165302803738
always::20B,30,0.5420560747663551,0.0026967361401869154,0.46115399056074763
always::30B,30,0.5794392523364486,0.004814108411214952,0.43501599999999996
always::120B,30,0.7663551401869159,0.012236446822429909,0.3992617355140186
always::4B,35,0.2803738317757009,0.00027524338317757,0.27074031336448595
always::20B,35,0.5420560747663551,0.0026967361401869154,0.44767030985981304
always::30B,35,0.5794392523364486,0.004814108411214952,0.41094545794392523
always::120B,35,0.7663551401869159,0.012236446822429909,0.33807950140186904
always::4B,40,0.2803738317757009,0.00027524338317757,0.2693640964485981
always::20B,40,0.5420560747663551,0.0026967361401869154,0.43418662915887846
always::30B,40,0.5794392523364486,0.004814108411214952,0.3868749158878505
always::120B,40,0.7663551401869159,0.012236446822429909,0.27689726728971953
always::4B,50,0.2803738317757009,0.00027524338317757,0.2666116626168224
always::20B,50,0.5420560747663551,0.0026967361401869154,0.40721926775700934
always::30B,50,0.5794392523364486,0.004814108411214952,0.33873383177570093
always::120B,50,0.7663551401869159,0.012236446822429909,0.1545327990654204
always::4B,75,0.2803738317757009,0.00027524338317757,0.25973057803738314
always::20B,75,0.5420560747663551,0.0026967361401869154,0.33980086425233647
always::30B,75,0.5794392523364486,0.004814108411214952,0.21838112149532718
always::120B,75,0.7663551401869159,0.012236446822429909,-0.1513783714953273
always::4B,100,0.2803738317757009,0.00027524338317757,0.2528494934579439
always::20B,100,0.5420560747663551,0.0026967361401869154,0.27238246074766354
always::30B,100,0.5794392523364486,0.004814108411214952,0.09802841121495337
always::120B,100,0.7663551401869159,0.012236446822429909,-0.4572895420560751
always::4B,150,0.2803738317757009,0.00027524338317757,0.2390873242990654
always::20B,150,0.5420560747663551,0.0026967361401869154,0.13754565373831779
always::30B,150,0.5794392523364486,0.004814108411214952,-0.1426770093457942
always::120B,150,0.7663551401869159,0.012236446822429909,-1.0691118831775706
always::4B,200,0.2803738317757009,0.00027524338317757,0.22532515514018692
always::20B,200,0.5420560747663551,0.0026967361401869154,0.002708846728971981
always::30B,200,0.5794392523364486,0.004814108411214952,-0.3833824299065418
always::120B,200,0.7663551401869159,0.012236446822429909,-1.6809342242990661
