policy,subset,lambda,reward,cost,utility
always::20B,all,0,0.3881118881118881,0.0030106595979021,0.3881118881118881
always::30B,all,0,0.4020979020979021,0.004328844195804197,0.4020979020979021
always::120B,all,0,0.47202797202797203,0.013906351258741255,0.47202797202797203
always::20B,all,5,0.3881118881118881,0.0030106595979021,0.37305859012237763
always::30B,all,5,0.4020979020979021,0.004328844195804197,0.3804536811188811
always::120B,all,5,0.47202797202797203,0.013906351258741255,0.40249621573426575
always::20B,all,10,0.3881118881118881,0.0030106595979021,0.35800529213286714
always::30B,all,10,0.4020979020979021,0.004328844195804197,0.3588094601398601
always::120B,all,10,0.47202797202797203,0.013906351258741255,0.33296445944055947
always::20B,all,15,0.3881118881118881,0.0030106595979021,0.34295199414335664
always::30B,all,15,0.4020979020979021,0.004328844195804197,0.3371652391608391
always::120B,all,15,0.47202797202797203,0.013906351258741255,0.2634327031468532
always::20B,all,20,0.3881118881118881,0.0030106595979021,0.32789869615384615
always::30B,all,20,0.4020979020979021,0.004328844195804197,0.31552101818181816
always::120B,all,20,0.47202797202797203,0.013906351258741255,0.1939009468531469
always::20B,all,25,0.3881118881118881,0.0030106595979021,0.31284539816433565
always::30B,all,25,0.4020979020979021,0.004328844195804197,0.29387679720279714
always::120B,all,25,0.47202797202797203,0.013906351258741255,0.12436919055944068
always::20B,all,30,0.3881118881118881,0.0030106595979021,0.29779210017482516
always::30B,all,30,0.4020979020979021,0.004328844195804197,0.27223257622377617
always::120B,all,30,0.47202797202797203,0.013906351258741255,0.0548374342657344
always::20B,all,35,0.3881118881118881,0.0030106595979021,0.2827388021853146
always::30B,all,35,0.4020979020979021,0.004328844195804197,0.2505883552447552
always::120B,all,35,0.47202797202797203,0.013906351258741255,-0.014694322027971884
always::20B,all,40,0.3881118881118881,0.0030106595979021,0.2676855041958041
always::30B,all,40,0.4020979020979021,0.004328844195804197,0.2289441342657342
always::120B,all,40,0.47202797202797203,0.013906351258741255,-0.08422607832167822
always::20B,all,50,0.3881118881118881,0.0030106595979021,0.23757890821678312
always::30B,all,50,0.4020979020979021,0.004328844195804197,0.18565569230769224
always::120B,all,50,0.47202797202797203,0.013906351258741255,-0.22328959090909067
always::20B,all,75,0.3881118881118881,0.0030106595979021,0.16231241826923062
always::30B,all,75,0.4020979020979021,0.004328844195804197,0.07743458741258735
always::120B,all,75,0.47202797202797203,0.013906351258741255,-0.5709483723776221
always::20B,all,100,0.3881118881118881,0.0030106595979021,0.08704592832167812
always::30B,all,100,0.4020979020979021,0.004328844195804197,-0.030786517482517595
always::120B,all,100,0.47202797202797203,0.013906351258741255,-0.9186071538461533
always::20B,all,150,0.3881118881118881,0.0030106595979021,-0.06348705157342688
always::30B,all,150,0.4020979020979021,0.004328844195804197,-0.24722872727272738
always::120B,all,150,0.47202797202797203,0.013906351258741255,-1.6139247167832163
always::20B,all,200,0.3881118881118881,0.0030106595979021,-0.21402003146853188
always::30B,all,200,0.4020979020979021,0.004328844195804197,-0.46367093706293727
always::120B,all,200,0.47202797202797203,0.013906351258741255,-2.3092422797202787
always::20B,mixed,0,0.5420560747663551,0.0026967361401869154,0.5420560747663551
always::30B,mixed,0,0.5794392523364486,0.004814108411214952,0.5794392523364486
always::120B,mixed,0,0.7663551401869159,0.012236446822429909,0.7663551401869159
always::20B,mixed,5,0.5420560747663551,0.0026967361401869154,0.5285723940654206
always::30B,mixed,5,0.5794392523364486,0.004814108411214952,0.5553687102803738
always::120B,mixed,5,0.7663551401869159,0.012236446822429909,0.7051729060747663
always::20B,mixed,10,0.5420560747663551,0.0026967361401869154,0.5150887133644859
always::30B,mixed,10,0.5794392523364486,0.004814108411214952,0.531298168224299
always::120B,mixed,10,0.7663551401869159,0.012236446822429909,0.6439906719626167
always::20B,mixed,15,0.5420560747663551,0.0026967361401869154,0.5016050326635514
always::30B,mixed,15,0.5794392523364486,0.004814108411214952,0.5072276261682243
always::120B,mixed,15,0.7663551401869159,0.012236446822429909,0.5828084378504672
always::20B,mixed,20,0.5420560747663551,0.0026967361401869154,0.4881213519626168
always::30B,mixed,20,0.5794392523364486,0.004814108411214952,0.4831570841121495
always::120B,mixed,20,0.7663551401869159,0.012236446822429909,0.5216262037383177
always::20B,mixed,25,0.5420560747663551,0.0026967361401869154,0.4746376712616822
always::30B,mixed,25,0.5794392523364486,0.004814108411214952,0.45908654205607474
always::120B,mixed,25,0.7663551401869159,0.012236446822429909,0.4604439696261681
always::20B,mixed,30,0.5420560747663551,0.0026967361401869154,0.46115399056074763
always::30B,mixed,30,0.5794392523364486,0.004814108411214952,0.43501599999999996
always::120B,mixed,30,0.7663551401869159,0.012236446822429909,0.3992617355140186
always::20B,mixed,35,0.5420560747663551,0.0026967361401869154,0.44767030985981304
always::30B,mixed,35,0.5794392523364486,0.004814108411214952,0.41094545794392523
always::120B,mixed,35,0.7663551401869159,0.012236446822429909,0.33807950140186904
always::20B,mixed,40,0.5420560747663551,0.0026967361401869154,0.43418662915887846
always::30B,mixed,40,0.5794392523364486,0.004814108411214952,0.3868749158878505
always::120B,mixed,40,0.7663551401869159,0.012236446822429909,0.27689726728971953
always::20B,mixed,50,0.5420560747663551,0.0026967361401869154,0.40721926775700934
always::30B,mixed,50,0.5794392523364486,0.004814108411214952,0.33873383177570093
always::120B,mixed,50,0.7663551401869159,0.012236446822429909,0.1545327990654204
always::20B,mixed,75,0.5420560747663551,0.0026967361401869154,0.33980086425233647
always::30B,mixed,75,0.5794392523364486,0.004814108411214952,0.21838112149532718
always::120B,mixed,75,0.7663551401869159,0.012236446822429909,-0.1513783714953273
always::20B,mixed,100,0.5420560747663551,0.0026967361401869154,0.27238246074766354
always::30B,mixed,100,0.5794392523364486,0.004814108411214952,0.09802841121495337
always::120B,mixed,100,0.7663551401869159,0.012236446822429909,-0.4572895420560751
always::20B,mixed,150,0.5420560747663551,0.0026967361401869154,0.13754565373831779
always::30B,mixed,150,0.5794392523364486,0.004814108411214952,-0.1426770093457942
always::120B,mixed,150,0.7663551401869159,0.012236446822429909,-1.0691118831775706
always::20B,mixed,200,0.5420560747663551,0.0026967361401869154,0.002708846728971981
always::30B,mixed,200,0.5794392523364486,0.004814108411214952,-0.3833824299065418
always::120B,mixed,200,0.7663551401869159,0.012236446822429909,-1.6809342242990661
