series,lambda,mean_true_cost,mean_true_reward,mean_true_utility,choice_counts_by_route
Post-scout router,0.0,0.011694677223776222,0.42657342657342656,0.42657342657342656,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 82, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 204, ""solver:openai/gpt-oss-20b"": 0}"
Post-scout router,5.0,0.01165782369230769,0.42657342657342656,0.3682843081118881,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 83, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 203, ""solver:openai/gpt-oss-20b"": 0}"
Post-scout router,10.0,0.01165782369230769,0.42657342657342656,0.30999518965034967,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 83, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 203, ""solver:openai/gpt-oss-20b"": 0}"
Post-scout router,15.0,0.01165782369230769,0.42657342657342656,0.2517060711888112,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 83, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 203, ""solver:openai/gpt-oss-20b"": 0}"
Post-scout router,20.0,0.011605286979020978,0.42657342657342656,0.19446768699300698,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 84, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 202, ""solver:openai/gpt-oss-20b"": 0}"
Post-scout router,25.0,0.011605286979020978,0.42657342657342656,0.1364412520979021,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 84, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 202, ""solver:openai/gpt-oss-20b"": 0}"
Post-scout router,30.0,0.011600720139860137,0.42657342657342656,0.07855182237762243,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 84, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 201, ""solver:openai/gpt-oss-20b"": 1}"
Post-scout router,35.0,0.011586646888111885,0.4230769230769231,0.017544281993007116,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 84, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 200, ""solver:openai/gpt-oss-20b"": 2}"
Post-scout router,40.0,0.01157008765384615,0.4230769230769231,-0.03972658307692295,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 84, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 199, ""solver:openai/gpt-oss-20b"": 3}"
Post-scout router,50.0,0.01151035998251748,0.4195804195804196,-0.1559375795454544,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 84, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 197, ""solver:openai/gpt-oss-20b"": 5}"
