lambda_dollar,state_failed_routes,action,value,conditional_p_by_available_route
0,none,4B,0.543630017452007,"{""120B"": 0.468586387434555, ""20B"": 0.41012216404886565, ""30B"": 0.387434554973822, ""4B"": 0.28534031413612565}"
0,4B,20B,0.36141636141636146,"{""120B"": 0.29914529914529914, ""20B"": 0.23076923076923078, ""30B"": 0.199023199023199}"
0,20B,4B,0.22633136094674555,"{""120B"": 0.1834319526627219, ""30B"": 0.1346153846153846, ""4B"": 0.06804733727810651}"
0,4B 20B,30B,0.16984126984126985,"{""120B"": 0.13968253968253969, ""30B"": 0.08253968253968254}"
0,30B,4B,0.254985754985755,"{""120B"": 0.21225071225071226, ""20B"": 0.16666666666666666, ""4B"": 0.06552706552706553}"
0,4B 30B,20B,0.2027439024390244,"{""120B"": 0.17530487804878048, ""20B"": 0.11890243902439024}"
0,20B 30B,4B,0.10598290598290598,"{""120B"": 0.09914529914529914, ""4B"": 0.011965811965811967}"
0,4B 20B 30B,120B,0.09515570934256055,"{""120B"": 0.09515570934256055}"
0,120B,4B,0.1412151067323481,"{""20B"": 0.09359605911330049, ""30B"": 0.09195402298850575, ""4B"": 0.05747126436781609}"
0,4B 120B,20B,0.08885017421602787,"{""20B"": 0.05574912891986063, ""30B"": 0.05749128919860627}"
0,20B 120B,4B,0.05253623188405797,"{""30B"": 0.04528985507246377, ""4B"": 0.018115942028985508}"
0,4B 20B 120B,30B,0.03505535055350553,"{""30B"": 0.03505535055350553}"
0,30B 120B,20B,0.054249547920433995,"{""20B"": 0.04701627486437613, ""4B"": 0.0216998191681736}"
0,4B 30B 120B,20B,0.033271719038817,"{""20B"": 0.033271719038817}"
0,20B 30B 120B,4B,0.007590132827324478,"{""4B"": 0.007590132827324478}"
0,4B 20B 30B 120B,STOP,0.0,{}
1,none,4B,0.5319042172131521,"{""120B"": 0.468586387434555, ""20B"": 0.41012216404886565, ""30B"": 0.387434554973822, ""4B"": 0.28534031413612565}"
1,4B,20B,0.3453964598122982,"{""120B"": 0.29914529914529914, ""20B"": 0.23076923076923078, ""30B"": 0.199023199023199}"
1,20B,4B,0.2100071633415946,"{""120B"": 0.1834319526627219, ""30B"": 0.1346153846153846, ""4B"": 0.06804733727810651}"
1,4B 20B,30B,0.15262239611933848,"{""120B"": 0.13968253968253969, ""30B"": 0.08253968253968254}"
1,30B,4B,0.24053805082063215,"{""120B"": 0.21225071225071226, ""20B"": 0.16666666666666666, ""4B"": 0.06552706552706553}"
1,4B 30B,20B,0.18757954480870898,"{""120B"": 0.17530487804878048, ""20B"": 0.11890243902439024}"
1,20B 30B,4B,0.09181242762778,"{""120B"": 0.09914529914529914, ""4B"": 0.011965811965811967}"
1,4B 20B 30B,120B,0.08109399353104221,"{""120B"": 0.09515570934256055}"
1,120B,4B,0.13448015304984282,"{""20B"": 0.09359605911330049, ""30B"": 0.09195402298850575, ""4B"": 0.05747126436781609}"
1,4B 120B,20B,0.08199846662618045,"{""20B"": 0.05574912891986063, ""30B"": 0.05749128919860627}"
1,20B 120B,4B,0.048019623173483066,"{""30B"": 0.04528985507246377, ""4B"": 0.018115942028985508}"
1,4B 20B 120B,30B,0.030737543084046547,"{""30B"": 0.03505535055350553}"
1,30B 120B,4B,0.05125812002864275,"{""20B"": 0.04701627486437613, ""4B"": 0.0216998191681736}"
1,4B 30B 120B,20B,0.030497104913162557,"{""20B"": 0.033271719038817}"
1,20B 30B 120B,4B,0.007313110436399522,"{""4B"": 0.007590132827324478}"
1,4B 20B 30B 120B,STOP,0.0,{}
2,none,4B,0.5201784169742971,"{""120B"": 0.468586387434555, ""20B"": 0.41012216404886565, ""30B"": 0.387434554973822, ""4B"": 0.28534031413612565}"
2,4B,20B,0.3293765582082351,"{""120B"": 0.29914529914529914, ""20B"": 0.23076923076923078, ""30B"": 0.199023199023199}"
2,20B,4B,0.1936829657364437,"{""120B"": 0.1834319526627219, ""30B"": 0.1346153846153846, ""4B"": 0.06804733727810651}"
2,4B 20B,30B,0.1354035223974071,"{""120B"": 0.13968253968253969, ""30B"": 0.08253968253968254}"
2,30B,4B,0.22609034665550926,"{""120B"": 0.21225071225071226, ""20B"": 0.16666666666666666, ""4B"": 0.06552706552706553}"
2,4B 30B,20B,0.17241518717839352,"{""120B"": 0.17530487804878048, ""20B"": 0.11890243902439024}"
2,20B 30B,4B,0.07764194927265404,"{""120B"": 0.09914529914529914, ""4B"": 0.011965811965811967}"
2,4B 20B 30B,120B,0.06703227771952389,"{""120B"": 0.09515570934256055}"
2,120B,4B,0.1277451993673375,"{""20B"": 0.09359605911330049, ""30B"": 0.09195402298850575, ""4B"": 0.05747126436781609}"
2,4B 120B,20B,0.07514675903633301,"{""20B"": 0.05574912891986063, ""30B"": 0.05749128919860627}"
2,20B 120B,4B,0.04350301446290816,"{""30B"": 0.04528985507246377, ""4B"": 0.018115942028985508}"
2,4B 20B 120B,30B,0.02641973561458756,"{""30B"": 0.03505535055350553}"
2,30B 120B,4B,0.04826669213685151,"{""20B"": 0.04701627486437613, ""4B"": 0.0216998191681736}"
2,4B 30B 120B,20B,0.027722490787508106,"{""20B"": 0.033271719038817}"
2,20B 30B 120B,4B,0.0070360880454745645,"{""4B"": 0.007590132827324478}"
2,4B 20B 30B 120B,STOP,0.0,{}
3,none,4B,0.5084526167354421,"{""120B"": 0.468586387434555, ""20B"": 0.41012216404886565, ""30B"": 0.387434554973822, ""4B"": 0.28534031413612565}"
3,4B,20B,0.31335665660417183,"{""120B"": 0.29914529914529914, ""20B"": 0.23076923076923078, ""30B"": 0.199023199023199}"
3,20B,4B,0.17735876813129275,"{""120B"": 0.1834319526627219, ""30B"": 0.1346153846153846, ""4B"": 0.06804733727810651}"
3,4B 20B,30B,0.11818464867547573,"{""120B"": 0.13968253968253969, ""30B"": 0.08253968253968254}"
3,30B,4B,0.21164264249038645,"{""120B"": 0.21225071225071226, ""20B"": 0.16666666666666666, ""4B"": 0.06552706552706553}"
3,4B 30B,20B,0.15725082954807812,"{""120B"": 0.17530487804878048, ""20B"": 0.11890243902439024}"
