policy,lambda_dollar,n,solve_rate,mean_cost_dollars,mean_cost_per_1000,utility,mean_calls,stopped_before_any_call,stopped_after_failed_calls,called_counts_by_route,first_counts_by_route,top_sequences
seq_global_train_stop,0,286,0.5594405594405595,0.015321982961538472,15.321982961538472,0.5594405594405595,2.576923076923077,0,126,"{""120B"": 175, ""20B"": 286, ""30B"": 137, ""4B"": 139}","{""20B"": 286}","{""20B"": 111, ""20B > 120B"": 36, ""20B > 120B > 4B"": 2, ""20B > 120B > 4B > 30B"": 137}"
seq_input_pred_stop,0,286,0.5594405594405595,0.014114178723776231,14.11417872377623,0.5594405594405595,2.7132867132867133,0,126,"{""120B"": 147, ""20B"": 209, ""30B"": 166, ""4B"": 254}","{""120B"": 12, ""20B"": 43, ""30B"": 13, ""4B"": 218}","{""120B"": 7, ""20B"": 18, ""20B > 4B > 30B > 120B"": 21, ""30B"": 7, ""4B"": 63, ""4B > 20B"": 30, ""4B > 20B > 30B"": 16, ""4B > 20B > 30B > 120B"": 109}"
seq_post_pred_stop_all_routes,0,286,0.5594405594405595,0.014046496031468536,14.046496031468536,0.5594405594405595,2.7167832167832167,0,126,"{""120B"": 141, ""20B"": 208, ""30B"": 171, ""4B"": 257}","{""120B"": 5, ""20B"": 41, ""30B"": 19, ""4B"": 221}","{""20B"": 17, ""20B > 4B > 30B > 120B"": 19, ""30B"": 9, ""30B > 4B > 20B > 120B"": 6, ""4B"": 65, ""4B > 20B"": 27, ""4B > 20B > 30B"": 18, ""4B > 20B > 30B > 120B"": 111}"
seq_scout_first_post_pred_stop_remaining,0,286,0.5594405594405595,0.013817682395104901,13.817682395104901,0.5594405594405595,2.7482517482517483,0,126,"{""120B"": 138, ""20B"": 203, ""30B"": 159, ""4B"": 286}","{""4B"": 286}","{""4B"": 83, ""4B > 20B"": 44, ""4B > 20B > 30B"": 21, ""4B > 20B > 30B > 120B"": 138}"
always_4B,0,286,0.2902097902097902,0.0002618322587412584,0.2618322587412584,0.2902097902097902,1.0,0,203,"{""4B"": 286}","{""4B"": 286}","{""4B"": 286}"
always_20B,0,286,0.3881118881118881,0.0030106595979020982,3.010659597902098,0.3881118881118881,1.0,0,175,"{""20B"": 286}","{""20B"": 286}","{""20B"": 286}"
always_30B,0,286,0.4020979020979021,0.00432884419580419,4.32884419580419,0.4020979020979021,1.0,0,171,"{""30B"": 286}","{""30B"": 286}","{""30B"": 286}"
always_120B,0,286,0.47202797202797203,0.013906351258741257,13.906351258741257,0.47202797202797203,1.0,0,151,"{""120B"": 286}","{""120B"": 286}","{""120B"": 286}"
seq_global_train_stop,1,286,0.5594405594405595,0.013817682395104901,13.817682395104901,0.5456228770454545,2.7482517482517483,0,126,"{""120B"": 138, ""20B"": 203, ""30B"": 159, ""4B"": 286}","{""4B"": 286}","{""4B"": 83, ""4B > 20B"": 44, ""4B > 20B > 30B"": 21, ""4B > 20B > 30B > 120B"": 138}"
seq_input_pred_stop,1,286,0.5594405594405595,0.013817682395104901,13.817682395104901,0.5456228770454545,2.7482517482517483,0,126,"{""120B"": 138, ""20B"": 203, ""30B"": 159, ""4B"": 286}","{""4B"": 286}","{""4B"": 83, ""4B > 20B"": 44, ""4B > 20B > 30B"": 21, ""4B > 20B > 30B > 120B"": 138}"
seq_post_pred_stop_all_routes,1,286,0.5594405594405595,0.013817682395104901,13.817682395104901,0.5456228770454545,2.7482517482517483,0,126,"{""120B"": 138, ""20B"": 203, ""30B"": 159, ""4B"": 286}","{""4B"": 286}","{""4B"": 83, ""4B > 20B"": 44, ""4B > 20B > 30B"": 21, ""4B > 20B > 30B > 120B"": 138}"
seq_scout_first_post_pred_stop_remaining,1,286,0.5594405594405595,0.013817682395104901,13.817682395104901,0.5456228770454545,2.7482517482517483,0,126,"{""120B"": 138, ""20B"": 203, ""30B"": 159, ""4B"": 286}","{""4B"": 286}","{""4B"": 83, ""4B > 20B"": 44, ""4B > 20B > 30B"": 21, ""4B > 20B > 30B > 120B"": 138}"
always_4B,1,286,0.2902097902097902,0.0002618322587412584,0.2618322587412584,0.28994795795104894,1.0,0,203,"{""4B"": 286}","{""4B"": 286}","{""4B"": 286}"
always_20B,1,286,0.3881118881118881,0.0030106595979020982,3.010659597902098,0.38510122851398604,1.0,0,175,"{""20B"": 286}","{""20B"": 286}","{""20B"": 286}"
always_30B,1,286,0.4020979020979021,0.00432884419580419,4.32884419580419,0.3977690579020979,1.0,0,171,"{""30B"": 286}","{""30B"": 286}","{""30B"": 286}"
always_120B,1,286,0.47202797202797203,0.013906351258741257,13.906351258741257,0.4581216207692308,1.0,0,151,"{""120B"": 286}","{""120B"": 286}","{""120B"": 286}"
seq_global_train_stop,2,286,0.5594405594405595,0.013817682395104901,13.817682395104901,0.5318051946503497,2.7482517482517483,0,126,"{""120B"": 138, ""20B"": 203, ""30B"": 159, ""4B"": 286}","{""4B"": 286}","{""4B"": 83, ""4B > 20B"": 44, ""4B > 20B > 30B"": 21, ""4B > 20B > 30B > 120B"": 138}"
seq_input_pred_stop,2,286,0.5594405594405595,0.013817682395104901,13.817682395104901,0.5318051946503497,2.7482517482517483,0,126,"{""120B"": 138, ""20B"": 203, ""30B"": 159, ""4B"": 286}","{""4B"": 286}","{""4B"": 83, ""4B > 20B"": 44, ""4B > 20B > 30B"": 21, ""4B > 20B > 30B > 120B"": 138}"
seq_post_pred_stop_all_routes,2,286,0.5594405594405595,0.013817682395104901,13.817682395104901,0.5318051946503497,2.7482517482517483,0,126,"{""120B"": 138, ""20B"": 203, ""30B"": 159, ""4B"": 286}","{""4B"": 286}","{""4B"": 83, ""4B > 20B"": 44, ""4B > 20B > 30B"": 21, ""4B > 20B > 30B > 120B"": 138}"
seq_scout_first_post_pred_stop_remaining,2,286,0.5594405594405595,0.013817682395104901,13.817682395104901,0.5318051946503497,2.7482517482517483,0,126,"{""120B"": 138, ""20B"": 203, ""30B"": 159, ""4B"": 286}","{""4B"": 286}","{""4B"": 83, ""4B > 20B"": 44, ""4B > 20B > 30B"": 21, ""4B > 20B > 30B > 120B"": 138}"
always_4B,2,286,0.2902097902097902,0.0002618322587412584,0.2618322587412584,0.28968612569230767,1.0,0,203,"{""4B"": 286}","{""4B"": 286}","{""4B"": 286}"
always_20B,2,286,0.3881118881118881,0.0030106595979020982,3.010659597902098,0.38209056891608395,1.0,0,175,"{""20B"": 286}","{""20B"": 286}","{""20B"": 286}"
always_30B,2,286,0.4020979020979021,0.00432884419580419,4.32884419580419,0.39344021370629373,1.0,0,171,"{""30B"": 286}","{""30B"": 286}","{""30B"": 286}"
always_120B,2,286,0.47202797202797203,0.013906351258741257,13.906351258741257,0.4442152695104895,1.0,0,151,"{""120B"": 286}","{""120B"": 286}","{""120B"": 286}"
seq_global_train_stop,3,286,0.5594405594405595,0.013817682395104901,13.817682395104901,0.5179875122552448,2.7482517482517483,0,126,"{""120B"": 138, ""20B"": 203, ""30B"": 159, ""4B"": 286}","{""4B"": 286}","{""4B"": 83, ""4B > 20B"": 44, ""4B > 20B > 30B"": 21, ""4B > 20B > 30B > 120B"": 138}"
seq_input_pred_stop,3,286,0.5594405594405595,0.013817682395104901,13.817682395104901,0.5179875122552448,2.7482517482517483,0,126,"{""120B"": 138, ""20B"": 203, ""30B"": 159, ""4B"": 286}","{""4B"": 286}","{""4B"": 83, ""4B > 20B"": 44, ""4B > 20B > 30B"": 21, ""4B > 20B > 30B > 120B"": 138}"
seq_post_pred_stop_all_routes,3,286,0.5594405594405595,0.013817682395104901,13.817682395104901,0.5179875122552448,2.7482517482517483,0,126,"{""120B"": 138, ""20B"": 203, ""30B"": 159, ""4B"": 286}","{""4B"": 286}","{""4B"": 83, ""4B > 20B"": 44, ""4B > 20B > 30B"": 21, ""4B > 20B > 30B > 120B"": 138}"
seq_scout_first_post_pred_stop_remaining,3,286,0.5594405594405595,0.013817682395104901,13.817682395104901,0.5179875122552448,2.7482517482517483,0,126,"{""120B"": 138, ""20B"": 203, ""30B"": 159, ""4B"": 286}","{""4B"": 286}","{""4B"": 83, ""4B > 20B"": 44, ""4B > 20B > 30B"": 21, ""4B > 20B > 30B > 120B"": 138}"
always_4B,3,286,0.2902097902097902,0.0002618322587412584,0.2618322587412584,0.28942429343356646,1.0,0,203,"{""4B"": 286}","{""4B"": 286}","{""4B"": 286}"
always_20B,3,286,0.3881118881118881,0.0030106595979020982,3.010659597902098,0.3790799093181818,1.0,0,175,"{""20B"": 286}","{""20B"": 286}","{""20B"": 286}"
always_30B,3,286,0.4020979020979021,0.00432884419580419,4.32884419580419,0.3891113695104895,1.0,0,171,"{""30B"": 286}","{""30B"": 286}","{""30B"": 286}"
always_120B,3,286,0.47202797202797203,0.013906351258741257,13.906351258741257,0.4303089182517483,1.0,0,151,"{""120B"": 286}","{""120B"": 286}","{""120B"": 286}"
seq_global_train_stop,4,286,0.5594405594405595,0.013817682395104901,13.817682395104901,0.5041698298601399,2.7482517482517483,0,126,"{""120B"": 138, ""20B"": 203, ""30B"": 159, ""4B"": 286}","{""4B"": 286}","{""4B"": 83, ""4B > 20B"": 44, ""4B > 20B > 30B"": 21, ""4B > 20B > 30B > 120B"": 138}"
seq_input_pred_stop,4,286,0.5594405594405595,0.013817682395104901,13.817682395104901,0.5041698298601399,2.7482517482517483,0,126,"{""120B"": 138, ""20B"": 203, ""30B"": 159, ""4B"": 286}","{""4B"": 286}","{""4B"": 83, ""4B > 20B"": 44, ""4B > 20B > 30B"": 21, ""4B > 20B > 30B > 120B"": 138}"
seq_post_pred_stop_all_routes,4,286,0.5594405594405595,0.013817682395104901,13.817682395104901,0.5041698298601399,2.7482517482517483,0,126,"{""120B"": 138, ""20B"": 203, ""30B"": 159, ""4B"": 286}","{""4B"": 286}","{""4B"": 83, ""4B > 20B"": 44, ""4B > 20B > 30B"": 21, ""4B > 20B > 30B > 120B"": 138}"
seq_scout_first_post_pred_stop_remaining,4,286,0.5594405594405595,0.013817682395104901,13.817682395104901,0.5041698298601399,2.7482517482517483,0,126,"{""120B"": 138, ""20B"": 203, ""30B"": 159, ""4B"": 286}","{""4B"": 286}","{""4B"": 83, ""4B > 20B"": 44, ""4B > 20B > 30B"": 21, ""4B > 20B > 30B > 120B"": 138}"
always_4B,4,286,0.2902097902097902,0.0002618322587412584,0.2618322587412584,0.2891624611748252,1.0,0,203,"{""4B"": 286}","{""4B"": 286}","{""4B"": 286}"
always_20B,4,286,0.3881118881118881,0.0030106595979020982,3.010659597902098,0.3760692497202797,1.0,0,175,"{""20B"": 286}","{""20B"": 286}","{""20B"": 286}"
always_30B,4,286,0.4020979020979021,0.00432884419580419,4.32884419580419,0.3847825253146853,1.0,0,171,"{""30B"": 286}","{""30B"": 286}","{""30B"": 286}"
always_120B,4,286,0.47202797202797203,0.013906351258741257,13.906351258741257,0.416402566993007,1.0,0,151,"{""120B"": 286}","{""120B"": 286}","{""120B"": 286}"
seq_global_train_stop,5,286,0.5594405594405595,0.013817682395104901,13.817682395104901,0.49035214746503497,2.7482517482517483,0,126,"{""120B"": 138, ""20B"": 203, ""30B"": 159, ""4B"": 286}","{""4B"": 286}","{""4B"": 83, ""4B > 20B"": 44, ""4B > 20B > 30B"": 21, ""4B > 20B > 30B > 120B"": 138}"
seq_input_pred_stop,5,286,0.5594405594405595,0.013817682395104901,13.817682395104901,0.49035214746503497,2.7482517482517483,0,126,"{""120B"": 138, ""20B"": 203, ""30B"": 159, ""4B"": 286}","{""4B"": 286}","{""4B"": 83, ""4B > 20B"": 44, ""4B > 20B > 30B"": 21, ""4B > 20B > 30B > 120B"": 138}"
seq_post_pred_stop_all_routes,5,286,0.5594405594405595,0.013817682395104901,13.817682395104901,0.49035214746503497,2.7482517482517483,0,126,"{""120B"": 138, ""20B"": 203, ""30B"": 159, ""4B"": 286}","{""4B"": 286}","{""4B"": 83, ""4B > 20B"": 44, ""4B > 20B > 30B"": 21, ""4B > 20B > 30B > 120B"": 138}"
seq_scout_first_post_pred_stop_remaining,5,286,0.5594405594405595,0.013817682395104901,13.817682395104901,0.49035214746503497,2.7482517482517483,0,126,"{""120B"": 138, ""20B"": 203, ""30B"": 159, ""4B"": 286}","{""4B"": 286}","{""4B"": 83, ""4B > 20B"": 44, ""4B > 20B > 30B"": 21, ""4B > 20B > 30B > 120B"": 138}"
always_4B,5,286,0.2902097902097902,0.0002618322587412584,0.2618322587412584,0.2889006289160839,1.0,0,203,"{""4B"": 286}","{""4B"": 286}","{""4B"": 286}"
always_20B,5,286,0.3881118881118881,0.0030106595979020982,3.010659597902098,0.37305859012237763,1.0,0,175,"{""20B"": 286}","{""20B"": 286}","{""20B"": 286}"
always_30B,5,286,0.4020979020979021,0.00432884419580419,4.32884419580419,0.3804536811188811,1.0,0,171,"{""30B"": 286}","{""30B"": 286}","{""30B"": 286}"
