split,lambda,best_always_policy,best_always_utility,fixed_q_utility,oracle_cost_q_utility,oracle_true_success_and_cost_utility,oracle_cost_minus_fixed,oracle_cost_q_minus_always,fixed_q_agree_oracle_cost,predicted_q_utility,oracle_cost_minus_predicted,predicted_q_minus_fixed,predicted_q_agree_oracle_cost
train,0.0,solver:openai/gpt-oss-120b,0.468586387434555,0.493891797556719,0.493891797556719,0.543630017452007,0.0,0.02530541012216403,1.0,nan,nan,nan,nan
train,5.0,solver:openai/gpt-oss-120b,0.39827780837696336,0.46995949941972076,0.47562618850785343,0.535827077434555,0.00566668908813267,0.07734838013089007,0.912739965095986,nan,nan,nan,nan
train,10.0,solver:openai/gpt-oss-20b,0.38237602279232114,0.45782708588132637,0.4575555032635253,0.528024137417103,-0.0002715826178010805,0.07517948047120415,0.900523560209424,nan,nan,nan,nan
train,15.0,solver:openai/gpt-oss-20b,0.3685029521640489,0.44516246508726,0.44614431817190225,0.520221197399651,0.0009818530846422702,0.07764136600785337,0.8917975567190227,nan,nan,nan,nan
train,20.0,solver:openai/gpt-oss-20b,0.3546298815357766,0.42994389146596856,0.43816936691099473,0.5124182573821989,0.008225475445026165,0.0835394853752181,0.8865619546247818,nan,nan,nan,nan
train,25.0,solver:openai/gpt-oss-20b,0.34075681090750437,0.4169893010689354,0.4273251222076789,0.504615317364747,0.010335821138743484,0.0865683113001745,0.8778359511343804,nan,nan,nan,nan
train,30.0,solver:openai/gpt-oss-20b,0.32688374027923217,0.4082814844328098,0.41742098319371723,0.4969715782024433,0.009139498760907416,0.09053724291448506,0.8909249563699826,nan,nan,nan,nan
train,35.0,solver:openai/gpt-oss-20b,0.3130106696509599,0.401379927417103,0.4071882834118674,0.48937181355148346,0.005808355994764425,0.0941776137609075,0.8926701570680629,nan,nan,nan,nan
train,40.0,solver:openai/gpt-oss-20b,0.29913759902268766,0.39146082541012217,0.4021027822687609,0.4819872983595113,0.010641956858638724,0.10296518324607323,0.9031413612565445,nan,nan,nan,nan
train,45.0,solver:openai/gpt-oss-20b,0.2852645283944154,0.3872921580148342,0.4022563168237347,0.4748674280453752,0.014964158808900507,0.11699178842931929,0.9171029668411868,nan,nan,nan,nan
train,50.0,scout:Qwen/Qwen3-4B-Instruct-2507,0.27148919458987786,0.3826375959860384,0.39617171448516575,0.46841456910994766,0.013534118499127334,0.12468251989528789,0.9214659685863874,nan,nan,nan,nan
train,55.0,scout:Qwen/Qwen3-4B-Instruct-2507,0.27010408263525304,0.3806337040183246,0.3933564090401396,0.4626804563001745,0.012722705021814995,0.12325232640488654,0.9240837696335078,nan,nan,nan,nan
train,60.0,scout:Qwen/Qwen3-4B-Instruct-2507,0.2687189706806283,0.3752532658115183,0.391624567382199,0.4573321312041885,0.016371301570680674,0.1229055967015707,0.9258289703315882,nan,nan,nan,nan
train,75.0,scout:Qwen/Qwen3-4B-Instruct-2507,0.26456363481675393,0.36272488108638745,0.37983968634380455,0.44211347979930193,0.0171148052574171,0.11527605152705062,0.9267015706806283,nan,nan,nan,nan
