budget_pct_of_20b_cost,cap_cost,random_direct_reward,random_direct_cost_pct_of_20b,random_direct_cost_pct_of_120b,random_direct_probs,q_direct_reward,q_direct_cost_pct_of_20b,best_q_reward,best_q_cost_pct_of_20b,always_direct_reward,cascade_reward,q_direct_minus_random,best_q_minus_random
5.0,0.000150532979895,,,,,,,,,,,,
10.0,0.00030106595979,0.291607,10.00,2.16,"{'scout:Qwen/Qwen3-4B-Instruct-2507': 0.9857, 'solver:openai/gpt-oss-20b': 0.0143}",,,,,0.290210,0.290210,,
25.0,0.000752664899475,0.307691,25.00,5.41,"{'scout:Qwen/Qwen3-4B-Instruct-2507': 0.8214, 'solver:openai/gpt-oss-20b': 0.1786}",,,,,0.290210,0.290210,,
40.0,0.00120426383916,0.323775,40.00,8.66,"{'scout:Qwen/Qwen3-4B-Instruct-2507': 0.6572, 'solver:openai/gpt-oss-20b': 0.3428}",0.346154,36.71,0.346154,36.71,0.290210,0.290210,0.022379,0.022379
50.0,0.00150532979895,0.334498,50.00,10.82,"{'scout:Qwen/Qwen3-4B-Instruct-2507': 0.5476, 'solver:openai/gpt-oss-20b': 0.4524}",0.356643,42.22,0.360140,49.67,0.290210,0.290210,0.022145,0.025642
65.0,0.00195692873864,0.350582,65.00,14.07,"{'scout:Qwen/Qwen3-4B-Instruct-2507': 0.3833, 'solver:openai/gpt-oss-20b': 0.6167}",0.356643,42.22,0.363636,53.34,0.290210,0.290210,0.006061,0.013054
75.0,0.00225799469843,0.361305,75.00,16.24,"{'scout:Qwen/Qwen3-4B-Instruct-2507': 0.2738, 'solver:openai/gpt-oss-20b': 0.7262}",0.363636,67.52,0.370629,65.53,0.290210,0.290210,0.002331,0.009324
90.0,0.00270959363811,0.377389,90.00,19.48,"{'scout:Qwen/Qwen3-4B-Instruct-2507': 0.1095, 'solver:openai/gpt-oss-20b': 0.8905}",0.363636,67.52,0.370629,65.53,0.290210,0.290210,-0.013753,-0.006760
100.0,0.0030106595979,0.388112,100.00,21.65,{'solver:openai/gpt-oss-20b': 1.0},0.363636,67.52,0.370629,65.53,0.388112,0.290210,-0.024476,-0.017483
110.0,0.00331172555769,0.391306,110.00,23.81,"{'solver:openai/gpt-oss-20b': 0.7716, 'solver:Qwen/Qwen3-Coder-30B-A3B-Instruct': 0.2284}",0.363636,67.52,0.377622,100.20,0.388112,0.374126,-0.027670,-0.013684
125.0,0.00376332449738,0.396098,125.00,27.06,"{'solver:openai/gpt-oss-20b': 0.429, 'solver:Qwen/Qwen3-Coder-30B-A3B-Instruct': 0.571}",0.363636,67.52,0.384615,124.59,0.388112,0.374126,-0.032462,-0.011483
150.0,0.00451598939685,0.403464,150.00,32.47,"{'solver:Qwen/Qwen3-Coder-30B-A3B-Instruct': 0.9805, 'solver:openai/gpt-oss-120b': 0.0195}",0.363636,67.52,0.384615,124.59,0.402098,0.374126,-0.039828,-0.018849
175.0,0.00526865429633,0.408960,175.00,37.89,"{'solver:Qwen/Qwen3-Coder-30B-A3B-Instruct': 0.9019, 'solver:openai/gpt-oss-120b': 0.0981}",0.370629,161.04,0.384615,124.59,0.402098,0.374126,-0.038331,-0.024345
200.0,0.0060213191958,0.414455,200.00,43.30,"{'solver:Qwen/Qwen3-Coder-30B-A3B-Instruct': 0.8233, 'solver:openai/gpt-oss-120b': 0.1767}",0.370629,161.04,0.391608,179.82,0.402098,0.374126,-0.043826,-0.022847
250.0,0.00752664899475,0.425447,250.00,54.12,"{'solver:Qwen/Qwen3-Coder-30B-A3B-Instruct': 0.6661, 'solver:openai/gpt-oss-120b': 0.3339}",0.391608,200.91,0.395105,220.84,0.402098,0.377622,-0.033839,-0.030342
300.0,0.0090319787937,0.436438,300.00,64.95,"{'solver:Qwen/Qwen3-Coder-30B-A3B-Instruct': 0.5089, 'solver:openai/gpt-oss-120b': 0.4911}",0.391608,200.91,0.412587,295.91,0.402098,0.377622,-0.044830,-0.023851
400.0,0.0120426383916,0.458420,400.00,86.60,"{'solver:Qwen/Qwen3-Coder-30B-A3B-Instruct': 0.1946, 'solver:openai/gpt-oss-120b': 0.8054}",0.405594,303.50,0.433566,387.53,0.402098,0.377622,-0.052826,-0.024854
462.0,0.0139092473423,0.472028,461.90,100.00,{'solver:openai/gpt-oss-120b': 1.0},0.405594,303.50,0.433566,387.53,0.472028,0.377622,-0.066434,-0.038462
