budget_pct_of_oss120,series,available,lambda,mean_reward,mean_cost,cost_pct_of_always_oss120,mean_utility_at_own_lambda,choice_counts_by_route
2,Best always direct,True,,0.2902097902097902,0.0002618322587412587,1.882825004701906,,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 286, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 0}"
2,Input-only reward + fixed train-mean cost,True,46.5,0.2902097902097902,0.0002618322587412587,1.882825004701906,0.27803459017832166,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 286, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 0}"
2,Post-scout reward + fixed train-mean cost,True,41.5,0.2902097902097902,0.0002618322587412587,1.882825004701906,0.27934375147202795,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 286, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 0}"
2,Post-scout reward + predicted expert cost,True,132.69411764705882,0.2902097902097902,0.0002618322587412587,1.882825004701906,0.25546618966458245,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 286, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 0}"
2,State policy w03 forced-scout max2,True,75.0,0.2972027972027972,0.0002707526643356,1.9469712744772658,0.2768963473776223,"{'scout:Qwen/Qwen3-4B-Instruct-2507': 283, 'solver:openai/gpt-oss-20b': 3, 'solver:Qwen/Qwen3-Coder-30B-A3B-Instruct': 0, 'solver:openai/gpt-oss-120b': 0}"
2,State policy w03 flexible max2,True,75.0,0.2972027972027972,0.0002707526643356,1.9469712744772658,0.2768963473776223,"{'scout:Qwen/Qwen3-4B-Instruct-2507': 283, 'solver:openai/gpt-oss-20b': 3, 'solver:Qwen/Qwen3-Coder-30B-A3B-Instruct': 0, 'solver:openai/gpt-oss-120b': 0}"
2,Cascade order/threshold sweep,True,75.0,0.2902097902097902,0.0002618322587412,1.8828250047014838,0.2705723708041958,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 286, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 0}"
2,Oracle post-scout,False,,,,,,
5,Best always direct,True,,0.2902097902097902,0.0002618322587412587,1.882825004701906,,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 286, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 0}"
5,Input-only reward + fixed train-mean cost,True,45.5,0.2937062937062937,0.0003916176328671328,2.81610629259037,0.27588769141083913,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 274, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 12}"
