budget_pct_of_oss120,series,available,lambda,mean_reward,mean_cost,cost_pct_of_always_oss120,mean_utility_at_own_lambda,choice_counts_by_route
10,Best always direct,True,,0.2902097902097902,0.0002618322587412587,1.882825004701906,,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 286, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 0}"
10,Input-only reward + fixed train-mean cost,True,44.0,0.3181818181818182,0.0011837145559440558,8.512042691284647,0.2660983777202797,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 199, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 87}"
10,Post-scout reward + fixed train-mean cost,True,40.0,0.33916083916083917,0.0013358372832167832,9.605950967023807,0.28572734783216786,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 214, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 72}"
10,Post-scout reward + predicted expert cost,True,37.5,0.34265734265734266,0.0011600907587412585,8.342164937132939,0.29915393920454547,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 201, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 85}"
10,State policy w03 forced-scout max2,True,10.0,0.3426573426573426,0.0013552277202797,9.745386802507454,0.3291050654545454,"{'scout:Qwen/Qwen3-4B-Instruct-2507': 233, 'solver:openai/gpt-oss-20b': 17, 'solver:Qwen/Qwen3-Coder-30B-A3B-Instruct': 6, 'solver:openai/gpt-oss-120b': 30}"
10,State policy w03 flexible max2,True,15.0,0.3321678321678322,0.0006952730454545,4.999679876613681,0.321738736486014,"{'scout:Qwen/Qwen3-4B-Instruct-2507': 252, 'solver:openai/gpt-oss-20b': 18, 'solver:Qwen/Qwen3-Coder-30B-A3B-Instruct': 2, 'solver:openai/gpt-oss-120b': 14}"
10,Cascade order/threshold sweep,True,75.0,0.2902097902097902,0.0002618322587412,1.8828250047014838,0.2705723708041958,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 286, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 0}"
10,Oracle post-scout,True,27.0,0.5559440559440559,0.0013743898356643356,9.883180786192359,0.5188355303811188,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 210, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 23, ""solver:openai/gpt-oss-120b"": 11, ""solver:openai/gpt-oss-20b"": 42}"
20,Best always direct,True,,0.2902097902097902,0.0002618322587412587,1.882825004701906,,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 286, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 0}"
20,Input-only reward + fixed train-mean cost,True,32.0,0.38461538461538464,0.0027003955209790207,19.418433137028703,0.298202727944056,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 43, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 243}"
20,Post-scout reward + fixed train-mean cost,True,19.75,0.3811188811188811,0.0024815098636363636,17.84443537679616,0.3321090613120629,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 126, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 160}"
20,Post-scout reward + predicted expert cost,True,20.0,0.3776223776223776,0.002454062811188811,17.64706475141159,0.3285411213986014,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 119, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 167}"
20,State policy w03 forced-scout max2,True,10.0,0.3426573426573426,0.0013552277202797,9.745386802507454,0.3291050654545454,"{'scout:Qwen/Qwen3-4B-Instruct-2507': 233, 'solver:openai/gpt-oss-20b': 17, 'solver:Qwen/Qwen3-Coder-30B-A3B-Instruct': 6, 'solver:openai/gpt-oss-120b': 30}"
20,State policy w03 flexible max2,True,10.0,0.3461538461538461,0.0014069687062937,10.117454105075241,0.332084159090909,"{'scout:Qwen/Qwen3-4B-Instruct-2507': 231, 'solver:openai/gpt-oss-20b': 17, 'solver:Qwen/Qwen3-Coder-30B-A3B-Instruct': 6, 'solver:openai/gpt-oss-120b': 32}"
20,Cascade order/threshold sweep,True,75.0,0.2902097902097902,0.0002618322587412,1.8828250047014838,0.2705723708041958,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 286, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 0}"
20,Oracle post-scout,True,0.25,0.5594405594405595,0.0015060818636363634,10.830172743476977,0.5590640389746504,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 209, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 23, ""solver:openai/gpt-oss-120b"": 12, ""solver:openai/gpt-oss-20b"": 42}"
25,Best always direct,True,,0.3881118881118881,0.0030106595979020974,21.64952935450739,,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 0, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 286}"
25,Input-only reward + fixed train-mean cost,True,29.5,0.3881118881118881,0.002913185374125874,20.94859621998044,0.30217291957517484,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 9, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 277}"
25,Post-scout reward + fixed train-mean cost,True,19.75,0.3811188811188811,0.0024815098636363636,17.84443537679616,0.3321090613120629,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 126, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 160}"
25,Post-scout reward + predicted expert cost,True,6.5,0.3881118881118881,0.003232372426573426,23.243857187496396,0.3671014673391608,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 95, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 13, ""solver:openai/gpt-oss-20b"": 178}"
