series,policy_type,lambda,mean_reward,mean_cost,mean_utility,mean_pred_reward,mean_pred_decision_cost,choice_counts_by_route,cost_pct_of_always_oss120,n_eval
Always 4B scout,always_direct,,0.2902097902097902,0.0002618322587412587,,,,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 286, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 0}",1.882825004701906,286
Always OSS120,always_direct,,0.47202797202797203,0.01390635125874126,,,,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 0, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 286, ""solver:openai/gpt-oss-20b"": 0}",100.0,286
Always OSS20,always_direct,,0.3881118881118881,0.0030106595979020974,,,,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 0, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 286}",21.64952935450739,286
Always Qwen30,always_direct,,0.4020979020979021,0.004328844195804196,,,,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 0, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 286, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 0}",31.12854058740368,286
Cascade order/threshold sweep,cascade,75.0,0.2902097902097902,0.0002618322587412,0.2705723708041958,,,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 286, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 0}",1.8828250047014838,286
Cascade order/threshold sweep,cascade,15.0,0.3846153846153846,0.0029151124300699,0.3408886981643357,,,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 67, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 219}",20.962453600023352,286
Cascade order/threshold sweep,cascade,0.0,0.4370629370629371,0.0182063602237762,0.4370629370629371,,,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 15, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 49, ""solver:openai/gpt-oss-120b"": 97, ""solver:openai/gpt-oss-20b"": 125}",130.92118762879687,286
Input-only reward + fixed train-mean cost,learned_direct,46.5,0.2902097902097902,0.0002618322587412587,0.27803459017832166,0.3335349694206998,0.0002770223909249569,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 286, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 0}",1.882825004701906,286
Input-only reward + fixed train-mean cost,learned_direct,45.5,0.2937062937062937,0.0003916176328671328,0.27588769141083913,0.3383358056311841,0.00038181644972479564,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 274, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 12}",2.81610629259037,286
Input-only reward + fixed train-mean cost,learned_direct,44.5,0.2972027972027972,0.0008212580104895104,0.260656815736014,0.3560173541724265,0.0007747941702241912,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 229, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 57}",5.905632579022363,286
Input-only reward + fixed train-mean cost,learned_direct,44.0,0.3181818181818182,0.0011837145559440558,0.2660983777202797,0.367608918697684,0.0010367793172237885,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 199, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 0, ""solver:openai/gpt-oss-20b"": 87}",8.512042691284647,286
