series,policy_type,lambda,mean_reward,mean_cost,mean_utility,mean_pred_reward,mean_pred_decision_cost,choice_counts_by_route,cost_pct_of_always_oss120,n_eval
Post-scout reward + predicted expert cost,learned_direct,0.0,0.42657342657342656,0.011694677223776226,0.42657342657342656,0.4843356122712155,0.01054920624104668,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 82, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 204, ""solver:openai/gpt-oss-20b"": 0}",84.0959429701244,286
Post-scout reward + predicted expert cost,learned_direct,0.25,0.4195804195804196,0.011484280993006992,0.41670934933216786,0.48429365351900355,0.010281656481876556,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 84, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 196, ""solver:openai/gpt-oss-20b"": 6}",82.5829923272519,286
Post-scout reward + predicted expert cost,learned_direct,0.5,0.4160839160839161,0.011346383538461537,0.41041072431468534,0.4842075489826136,0.010076952485079694,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 84, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 190, ""solver:openai/gpt-oss-20b"": 12}",81.59137740267724,286
Post-scout reward + predicted expert cost,learned_direct,0.75,0.4090909090909091,0.011152926367132866,0.40072621431555944,0.4841043768854408,0.009920891589164298,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 84, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 186, ""solver:openai/gpt-oss-20b"": 16}",80.20023483961945,286
Post-scout reward + predicted expert cost,learned_direct,1.0,0.40559440559440557,0.010979121031468532,0.39461528456293704,0.4839377761720777,0.009718591031053938,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 85, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 181, ""solver:openai/gpt-oss-20b"": 20}",78.95040781863807,286
Post-scout reward + predicted expert cost,learned_direct,1.25,0.40559440559440557,0.01081904056993007,0.392070604881993,0.48373307714929115,0.00953708695991394,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 86, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 176, ""solver:openai/gpt-oss-20b"": 24}",77.79927580305748,286
Post-scout reward + predicted expert cost,learned_direct,1.5,0.40559440559440557,0.010743383181818182,0.38947933082167835,0.48360443802980274,0.009444537290092753,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 87, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 173, ""solver:openai/gpt-oss-20b"": 26}",77.25522663657084,286
Post-scout reward + predicted expert cost,learned_direct,1.75,0.4020979020979021,0.010640236416083916,0.3834774883697552,0.48345231780639064,0.009348379423886501,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 87, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 170, ""solver:openai/gpt-oss-20b"": 29}",76.51350248610808,286
Post-scout reward + predicted expert cost,learned_direct,2.0,0.3986013986013986,0.010566868206293708,0.37746766218881117,0.48332819884473627,0.00928363764864273,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 87, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 168, ""solver:openai/gpt-oss-20b"": 31}",75.98591470678969,286
Post-scout reward + predicted expert cost,learned_direct,2.25,0.3951048951048951,0.010403573989510492,0.37169685362849647,0.4830395220876574,0.009147965554848201,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 87, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 164, ""solver:openai/gpt-oss-20b"": 35}",74.81167270941046,286
