policy,policy_type,selection_cost_mode,lambda,mean_reward,mean_cost,mean_utility,mean_called_routes,choice_counts_by_route,call_counts_by_route,first_call_counts_by_route
always::scout:Qwen/Qwen3-4B-Instruct-2507,always_direct,fixed_train_mean,0.0,0.2902097902097902,0.00026183225874125865,0.2902097902097902,1.0,"{'scout:Qwen/Qwen3-4B-Instruct-2507': 286, 'solver:openai/gpt-oss-20b': 0, 'solver:Qwen/Qwen3-Coder-30B-A3B-Instruct': 0, 'solver:openai/gpt-oss-120b': 0}","{'scout:Qwen/Qwen3-4B-Instruct-2507': 286, 'solver:openai/gpt-oss-20b': 0, 'solver:Qwen/Qwen3-Coder-30B-A3B-Instruct': 0, 'solver:openai/gpt-oss-120b': 0}","{'scout:Qwen/Qwen3-4B-Instruct-2507': 286, 'solver:openai/gpt-oss-20b': 0, 'solver:Qwen/Qwen3-Coder-30B-A3B-Instruct': 0, 'solver:openai/gpt-oss-120b': 0}"
always::solver:openai/gpt-oss-20b,always_direct,fixed_train_mean,0.0,0.3881118881118881,0.0030106595979021,0.3881118881118881,1.0,"{'scout:Qwen/Qwen3-4B-Instruct-2507': 0, 'solver:openai/gpt-oss-20b': 286, 'solver:Qwen/Qwen3-Coder-30B-A3B-Instruct': 0, 'solver:openai/gpt-oss-120b': 0}","{'scout:Qwen/Qwen3-4B-Instruct-2507': 0, 'solver:openai/gpt-oss-20b': 286, 'solver:Qwen/Qwen3-Coder-30B-A3B-Instruct': 0, 'solver:openai/gpt-oss-120b': 0}","{'scout:Qwen/Qwen3-4B-Instruct-2507': 0, 'solver:openai/gpt-oss-20b': 286, 'solver:Qwen/Qwen3-Coder-30B-A3B-Instruct': 0, 'solver:openai/gpt-oss-120b': 0}"
always::solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,always_direct,fixed_train_mean,0.0,0.4020979020979021,0.004328844195804197,0.4020979020979021,1.0,"{'scout:Qwen/Qwen3-4B-Instruct-2507': 0, 'solver:openai/gpt-oss-20b': 0, 'solver:Qwen/Qwen3-Coder-30B-A3B-Instruct': 286, 'solver:openai/gpt-oss-120b': 0}","{'scout:Qwen/Qwen3-4B-Instruct-2507': 0, 'solver:openai/gpt-oss-20b': 0, 'solver:Qwen/Qwen3-Coder-30B-A3B-Instruct': 286, 'solver:openai/gpt-oss-120b': 0}","{'scout:Qwen/Qwen3-4B-Instruct-2507': 0, 'solver:openai/gpt-oss-20b': 0, 'solver:Qwen/Qwen3-Coder-30B-A3B-Instruct': 286, 'solver:openai/gpt-oss-120b': 0}"
always::solver:openai/gpt-oss-120b,always_direct,fixed_train_mean,0.0,0.47202797202797203,0.013906351258741255,0.47202797202797203,1.0,"{'scout:Qwen/Qwen3-4B-Instruct-2507': 0, 'solver:openai/gpt-oss-20b': 0, 'solver:Qwen/Qwen3-Coder-30B-A3B-Instruct': 0, 'solver:openai/gpt-oss-120b': 286}","{'scout:Qwen/Qwen3-4B-Instruct-2507': 0, 'solver:openai/gpt-oss-20b': 0, 'solver:Qwen/Qwen3-Coder-30B-A3B-Instruct': 0, 'solver:openai/gpt-oss-120b': 286}","{'scout:Qwen/Qwen3-4B-Instruct-2507': 0, 'solver:openai/gpt-oss-20b': 0, 'solver:Qwen/Qwen3-Coder-30B-A3B-Instruct': 0, 'solver:openai/gpt-oss-120b': 286}"
state_policy::input_only_direct,input_only_direct,fixed_train_mean,0.0,0.40559440559440557,0.009137211993006988,0.40559440559440557,1.0,"{'scout:Qwen/Qwen3-4B-Instruct-2507': 48, 'solver:openai/gpt-oss-20b': 0, 'solver:Qwen/Qwen3-Coder-30B-A3B-Instruct': 64, 'solver:openai/gpt-oss-120b': 174}","{'scout:Qwen/Qwen3-4B-Instruct-2507': 48, 'solver:openai/gpt-oss-20b': 0, 'solver:Qwen/Qwen3-Coder-30B-A3B-Instruct': 64, 'solver:openai/gpt-oss-120b': 174}","{'scout:Qwen/Qwen3-4B-Instruct-2507': 48, 'solver:openai/gpt-oss-20b': 0, 'solver:Qwen/Qwen3-Coder-30B-A3B-Instruct': 64, 'solver:openai/gpt-oss-120b': 174}"
state_policy::flexible_latest_max4,flexible_latest_chain,fixed_train_mean,0.0,0.43356643356643354,0.011667134157342654,0.43356643356643354,1.4580419580419581,"{'scout:Qwen/Qwen3-4B-Instruct-2507': 55, 'solver:openai/gpt-oss-20b': 9, 'solver:Qwen/Qwen3-Coder-30B-A3B-Instruct': 50, 'solver:openai/gpt-oss-120b': 172}","{'scout:Qwen/Qwen3-4B-Instruct-2507': 91, 'solver:openai/gpt-oss-20b': 15, 'solver:Qwen/Qwen3-Coder-30B-A3B-Instruct': 92, 'solver:openai/gpt-oss-120b': 219}","{'scout:Qwen/Qwen3-4B-Instruct-2507': 48, 'solver:openai/gpt-oss-20b': 0, 'solver:Qwen/Qwen3-Coder-30B-A3B-Instruct': 64, 'solver:openai/gpt-oss-120b': 174}"
state_policy::forced_scout_latest_max4,forced_scout_latest_chain,fixed_train_mean,0.0,0.43006993006993005,0.01024123482867132,0.43006993006993005,1.944055944055944,"{'scout:Qwen/Qwen3-4B-Instruct-2507': 61, 'solver:openai/gpt-oss-20b': 11, 'solver:Qwen/Qwen3-Coder-30B-A3B-Instruct': 46, 'solver:openai/gpt-oss-120b': 168}","{'scout:Qwen/Qwen3-4B-Instruct-2507': 286, 'solver:openai/gpt-oss-20b': 11, 'solver:Qwen/Qwen3-Coder-30B-A3B-Instruct': 70, 'solver:openai/gpt-oss-120b': 189}","{'scout:Qwen/Qwen3-4B-Instruct-2507': 286, 'solver:openai/gpt-oss-20b': 0, 'solver:Qwen/Qwen3-Coder-30B-A3B-Instruct': 0, 'solver:openai/gpt-oss-120b': 0}"
state_policy::flexible_best_attempt_max4,flexible_best_attempt_chain,fixed_train_mean,0.0,0.4090909090909091,0.011266317279720276,0.4090909090909091,1.3566433566433567,"{'scout:Qwen/Qwen3-4B-Instruct-2507': 59, 'solver:openai/gpt-oss-20b': 0, 'solver:Qwen/Qwen3-Coder-30B-A3B-Instruct': 56, 'solver:openai/gpt-oss-120b': 171}","{'scout:Qwen/Qwen3-4B-Instruct-2507': 87, 'solver:openai/gpt-oss-20b': 0, 'solver:Qwen/Qwen3-Coder-30B-A3B-Instruct': 84, 'solver:openai/gpt-oss-120b': 217}","{'scout:Qwen/Qwen3-4B-Instruct-2507': 48, 'solver:openai/gpt-oss-20b': 0, 'solver:Qwen/Qwen3-Coder-30B-A3B-Instruct': 64, 'solver:openai/gpt-oss-120b': 174}"
state_policy::forced_scout_best_attempt_max4,forced_scout_best_attempt_chain,fixed_train_mean,0.0,0.4160839160839161,0.010067486909090902,0.4160839160839161,1.881118881118881,"{'scout:Qwen/Qwen3-4B-Instruct-2507': 90, 'solver:openai/gpt-oss-20b': 0, 'solver:Qwen/Qwen3-Coder-30B-A3B-Instruct': 38, 'solver:openai/gpt-oss-120b': 158}","{'scout:Qwen/Qwen3-4B-Instruct-2507': 286, 'solver:openai/gpt-oss-20b': 0, 'solver:Qwen/Qwen3-Coder-30B-A3B-Instruct': 63, 'solver:openai/gpt-oss-120b': 189}","{'scout:Qwen/Qwen3-4B-Instruct-2507': 286, 'solver:openai/gpt-oss-20b': 0, 'solver:Qwen/Qwen3-Coder-30B-A3B-Instruct': 0, 'solver:openai/gpt-oss-120b': 0}"
always::scout:Qwen/Qwen3-4B-Instruct-2507,always_direct,fixed_train_mean,5.0,0.2902097902097902,0.00026183225874125865,0.2889006289160839,1.0,"{'scout:Qwen/Qwen3-4B-Instruct-2507': 286, 'solver:openai/gpt-oss-20b': 0, 'solver:Qwen/Qwen3-Coder-30B-A3B-Instruct': 0, 'solver:openai/gpt-oss-120b': 0}","{'scout:Qwen/Qwen3-4B-Instruct-2507': 286, 'solver:openai/gpt-oss-20b': 0, 'solver:Qwen/Qwen3-Coder-30B-A3B-Instruct': 0, 'solver:openai/gpt-oss-120b': 0}","{'scout:Qwen/Qwen3-4B-Instruct-2507': 286, 'solver:openai/gpt-oss-20b': 0, 'solver:Qwen/Qwen3-Coder-30B-A3B-Instruct': 0, 'solver:openai/gpt-oss-120b': 0}"
