budget_pct_of_120b_cost,cap_cost,method,best_reward,best_cost,best_cost_pct_of_120b,reward_pct_of_120b_reward,gain_vs_always_at_cap,gain_vs_direct_random_at_cap,gain_vs_cascade_at_cap,chosen_point,lambda
2.000,0.000278127025175,Always direct,0.290209790,0.000261832258741,1.883,61.481,0.000000000,-0.000580354,0.000000000,scout:Qwen/Qwen3-4B-Instruct-2507,0
2.000,0.000278127025175,Cascade,0.290209790,0.000261832258741,1.883,61.481,0.000000000,-0.000580354,0.000000000,lambda=75,75
2.000,0.000278127025175,Direct random,0.290790144,0.000278127025175,2.000,61.604,0.000580354,0.000000000,0.000580354,0.9941*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.0059*solver:openai/gpt-oss-20b,
5.000,0.000695317562937,Always direct,0.290209790,0.000261832258741,1.883,61.481,0.000000000,-0.015438991,0.000000000,scout:Qwen/Qwen3-4B-Instruct-2507,0
5.000,0.000695317562937,Q direct (fixed train cost),0.311188811,0.000596315975524,4.288,65.926,0.020979021,0.005540030,0.020979021,lambda=200,200
5.000,0.000695317562937,Q direct (oracle cost diagnostic),0.342657343,0.000634344052448,4.562,72.593,0.052447552,0.037008561,0.052447552,lambda=150,150
5.000,0.000695317562937,Oracle route upper bound,0.503496503,0.000689417821678,4.958,106.667,0.213286713,0.197847722,0.213286713,lambda=200,200
5.000,0.000695317562937,Cascade,0.290209790,0.000261832258741,1.883,61.481,0.000000000,-0.015438991,0.000000000,lambda=75,75
5.000,0.000695317562937,Direct random,0.305648781,0.000695317562937,5.000,64.752,0.015438991,0.000000000,0.015438991,0.8423*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.1577*solver:openai/gpt-oss-20b,
8.000,0.0011125081007,Always direct,0.290209790,0.000261832258741,1.883,61.481,0.000000000,-0.030297629,0.000000000,scout:Qwen/Qwen3-4B-Instruct-2507,0
8.000,0.0011125081007,Q chain flexible (pred cost),0.332167832,0.00107179403147,7.707,70.370,0.041958042,0.011660413,0.041958042,state_policy::flexible_bare_max4,200
8.000,0.0011125081007,Q chain forced-scout (pred cost),0.335664336,0.000872339548951,6.273,71.111,0.045454545,0.015156917,0.045454545,state_policy::forced_scout_0_max4,150
8.000,0.0011125081007,Q direct (fixed train cost),0.342657343,0.000919915465035,6.615,72.593,0.052447552,0.022149924,0.052447552,lambda=100,100
8.000,0.0011125081007,Q direct (oracle cost diagnostic),0.370629371,0.000981277304196,7.056,78.519,0.080419580,0.050121952,0.080419580,lambda=60,60
8.000,0.0011125081007,Q direct (pred cost),0.346153846,0.00110517625874,7.947,73.333,0.055944056,0.025646427,0.055944056,lambda=100,100
8.000,0.0011125081007,Oracle route upper bound,0.538461538,0.00101379474476,7.290,114.074,0.248251748,0.217954120,0.248251748,lambda=75,75
8.000,0.0011125081007,Cascade,0.290209790,0.000261832258741,1.883,61.481,0.000000000,-0.030297629,0.000000000,lambda=75,75
8.000,0.0011125081007,Best Q policy (pred cost),0.346153846,0.00110517625874,7.947,73.333,0.055944056,0.025646427,0.055944056,Q direct (pred cost): lambda=100,100
8.000,0.0011125081007,Direct random,0.320507419,0.0011125081007,8.000,67.900,0.030297629,0.000000000,0.030297629,0.6905*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.3095*solver:openai/gpt-oss-20b,
10.000,0.00139063512587,Always direct,0.290209790,0.000261832258741,1.883,61.481,0.000000000,-0.040203387,0.000000000,scout:Qwen/Qwen3-4B-Instruct-2507,0
10.000,0.00139063512587,Q chain flexible (pred cost),0.346153846,0.00116883377273,8.405,73.333,0.055944056,0.015740669,0.055944056,state_policy::flexible_bare_max4,150
10.000,0.00139063512587,Q chain forced-scout (pred cost),0.339160839,0.00129774586364,9.332,71.852,0.048951049,0.008747662,0.048951049,state_policy::forced_scout_0_max4,75
10.000,0.00139063512587,Q direct (fixed train cost),0.353146853,0.0011952218042,8.595,74.815,0.062937063,0.022733676,0.062937063,lambda=55,55
10.000,0.00139063512587,Q direct (oracle cost diagnostic),0.377622378,0.00115500746853,8.306,80.000,0.087412587,0.047209201,0.087412587,lambda=50,50
10.000,0.00139063512587,Q direct (pred cost),0.356643357,0.00127109489161,9.140,75.556,0.066433566,0.026230180,0.066433566,lambda=50,50
10.000,0.00139063512587,Oracle route upper bound,0.555944056,0.00129624753497,9.321,117.778,0.265734266,0.225530879,0.265734266,lambda=30,30
