budget_pct_of_120b_cost,cap_cost,always_direct_reward,always_direct_cost_pct,always_direct_point,direct_random_reward,direct_random_cost_pct,direct_random_point,cascade_reward,cascade_cost_pct,cascade_point,best_q_policy_pred_cost_reward,best_q_policy_pred_cost_cost_pct,best_q_policy_pred_cost_point,q_direct_pred_cost_reward,q_direct_pred_cost_cost_pct,q_direct_pred_cost_point,q_direct_oracle_cost_diagnostic_reward,q_direct_oracle_cost_diagnostic_cost_pct,q_direct_oracle_cost_diagnostic_point,q_chain_flexible_pred_cost_reward,q_chain_flexible_pred_cost_cost_pct,q_chain_flexible_pred_cost_point,q_chain_forced_scout_pred_cost_reward,q_chain_forced_scout_pred_cost_cost_pct,q_chain_forced_scout_pred_cost_point,oracle_route_upper_bound_reward,oracle_route_upper_bound_cost_pct,oracle_route_upper_bound_point,q_direct_pred_gain_vs_always,q_direct_pred_gain_vs_cascade,q_direct_pred_gain_vs_direct_random,best_q_pred_gain_vs_direct_random,q_direct_pred_pct_of_120b_reward
2.000,0.000278127025175,0.290210,1.88,scout:Qwen/Qwen3-4B-Instruct-2507,0.290790,2.00,0.9941*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.0059*solver:openai/gpt-oss-20b,0.290210,1.88,lambda=75,,,,,,,,,,,,,,,,,,,,,,,
5.000,0.000695317562937,0.290210,1.88,scout:Qwen/Qwen3-4B-Instruct-2507,0.305649,5.00,0.8423*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.1577*solver:openai/gpt-oss-20b,0.290210,1.88,lambda=75,,,,,,,0.342657,4.56,lambda=150,,,,,,,0.503497,4.96,lambda=200,,,,,
8.000,0.0011125081007,0.290210,1.88,scout:Qwen/Qwen3-4B-Instruct-2507,0.320507,8.00,0.6905*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.3095*solver:openai/gpt-oss-20b,0.290210,1.88,lambda=75,0.346154,7.95,Q direct (pred cost): lambda=100,0.346154,7.95,lambda=100,0.370629,7.06,lambda=60,0.332168,7.71,state_policy::flexible_bare_max4,0.335664,6.27,state_policy::forced_scout_0_max4,0.538462,7.29,lambda=75,0.055944,0.055944,0.025646,0.025646,73.33
10.000,0.00139063512587,0.290210,1.88,scout:Qwen/Qwen3-4B-Instruct-2507,0.330413,10.00,0.5894*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.4106*solver:openai/gpt-oss-20b,0.290210,1.88,lambda=75,0.356643,9.14,Q direct (pred cost): lambda=50,0.356643,9.14,lambda=50,0.377622,8.31,lambda=50,0.346154,8.41,state_policy::flexible_bare_max4,0.339161,9.33,state_policy::forced_scout_0_max4,0.555944,9.32,lambda=30,0.066434,0.066434,0.026230,0.026230,75.56
12.000,0.00166876215105,0.290210,1.88,scout:Qwen/Qwen3-4B-Instruct-2507,0.340319,12.00,0.4882*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.5118*solver:openai/gpt-oss-20b,0.290210,1.88,lambda=75,0.363636,11.55,Q chain flexible (pred cost): state_policy::flexible_bare_max4,0.356643,9.14,lambda=50,0.377622,8.31,lambda=50,0.363636,11.55,state_policy::flexible_bare_max4,0.339161,9.33,state_policy::forced_scout_0_max4,0.559441,10.22,lambda=5,0.066434,0.066434,0.016324,0.023317,75.56
15.000,0.00208595268881,0.290210,1.88,scout:Qwen/Qwen3-4B-Instruct-2507,0.355178,15.00,0.3364*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.6636*solver:openai/gpt-oss-20b,0.290210,1.88,lambda=75,0.370629,14.19,Q chain flexible (pred cost): state_policy::flexible_bare_max4,0.363636,14.62,lambda=35,0.377622,8.31,lambda=50,0.370629,14.19,state_policy::flexible_bare_max4,0.349650,13.49,state_policy::forced_scout_0_max4,0.559441,10.22,lambda=5,0.073427,0.073427,0.008459,0.015452,77.04
18.000,0.00250314322657,0.290210,1.88,scout:Qwen/Qwen3-4B-Instruct-2507,0.370036,18.00,0.1846*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.8154*solver:openai/gpt-oss-20b,0.290210,1.88,lambda=75,0.370629,14.19,Q chain flexible (pred cost): state_policy::flexible_bare_max4,0.363636,14.62,lambda=35,0.377622,8.31,lambda=50,0.370629,14.19,state_policy::flexible_bare_max4,0.349650,13.49,state_policy::forced_scout_0_max4,0.559441,10.22,lambda=5,0.073427,0.073427,-0.006400,0.000593,77.04
20.000,0.00278127025175,0.290210,1.88,scout:Qwen/Qwen3-4B-Instruct-2507,0.379694,19.95,0.0860*scout:Qwen/Qwen3-4B-Instruct-2507 + 0.9140*solver:openai/gpt-oss-20b,0.290210,1.88,lambda=75,0.370629,14.19,Q chain flexible (pred cost): state_policy::flexible_bare_max4,0.363636,14.62,lambda=35,0.377622,8.31,lambda=50,0.370629,14.19,state_policy::flexible_bare_max4,0.353147,19.51,state_policy::forced_scout_0_max4,0.559441,10.22,lambda=5,0.073427,0.073427,-0.016058,-0.009065,77.04
22.000,0.00305939727692,0.388112,21.65,solver:openai/gpt-oss-20b,0.388629,22.00,0.9630*solver:openai/gpt-oss-20b + 0.0370*solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,0.374126,21.83,lambda=15,0.377622,21.69,Q chain flexible (pred cost): state_policy::flexible_bare_max4,0.363636,14.62,lambda=35,0.377622,8.31,lambda=50,0.377622,21.69,state_policy::flexible_bare_max4,0.353147,19.51,state_policy::forced_scout_0_max4,0.559441,10.22,lambda=5,-0.024476,-0.010490,-0.024993,-0.011007,77.04
25.000,0.00347658781469,0.388112,21.65,solver:openai/gpt-oss-20b,0.393055,25.00,0.6465*solver:openai/gpt-oss-20b + 0.3535*solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,0.374126,21.83,lambda=15,0.377622,21.69,Q chain flexible (pred cost): state_policy::flexible_bare_max4,0.363636,14.62,lambda=35,0.377622,8.31,lambda=50,0.377622,21.69,state_policy::flexible_bare_max4,0.353147,19.51,state_policy::forced_scout_0_max4,0.559441,10.22,lambda=5,-0.024476,-0.010490,-0.029419,-0.015433,77.04
