method,reward,cost,cost_pct_of_120b,reward_pct_of_120b,label,lambda,source
Always direct,0.290209790,0.000261832258741,1.883,61.481,scout:Qwen/Qwen3-4B-Instruct-2507,0,q_predicted_rows
Always direct,0.388111888,0.0030106595979,21.650,82.222,solver:openai/gpt-oss-20b,0,q_predicted_rows
Always direct,0.402097902,0.0043288441958,31.129,85.185,solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,0,q_predicted_rows
Always direct,0.472027972,0.0139063512587,100.000,100.000,solver:openai/gpt-oss-120b,0,q_predicted_rows
Best Q policy (pred cost),0.318181818,0.000769900451049,5.536,67.407,Q direct (pred cost): lambda=200,200,q_diag_rows
Best Q policy (pred cost),0.332167832,0.000807166993007,5.804,70.370,Q chain forced-scout (pred cost): state_policy::forced_scout_0_max4,200,q_predicted_rows
Best Q policy (pred cost),0.332167832,0.000859623111888,6.182,70.370,Q direct (pred cost): lambda=150,150,q_diag_rows
Best Q policy (pred cost),0.335664336,0.000872339548951,6.273,71.111,Q chain forced-scout (pred cost): state_policy::forced_scout_0_max4,150,q_predicted_rows
Best Q policy (pred cost),0.332167832,0.00107179403147,7.707,70.370,Q chain flexible (pred cost): state_policy::flexible_bare_max4,200,q_predicted_rows
Best Q policy (pred cost),0.346153846,0.00110517625874,7.947,73.333,Q direct (pred cost): lambda=100,100,q_diag_rows
Best Q policy (pred cost),0.335664336,0.00111627250699,8.027,71.111,Q chain forced-scout (pred cost): state_policy::forced_scout_0_max4,100,q_predicted_rows
Best Q policy (pred cost),0.346153846,0.001156716,8.318,73.333,Q direct (pred cost): lambda=75,75,q_diag_rows
Best Q policy (pred cost),0.346153846,0.00116883377273,8.405,73.333,Q chain flexible (pred cost): state_policy::flexible_bare_max4,150,q_predicted_rows
Best Q policy (pred cost),0.346153846,0.00120949862587,8.697,73.333,Q direct (pred cost): lambda=60,60,q_diag_rows
Best Q policy (pred cost),0.349650350,0.00123838010839,8.905,74.074,Q direct (pred cost): lambda=55,55,q_diag_rows
Best Q policy (pred cost),0.356643357,0.00127109489161,9.140,75.556,Q direct (pred cost): lambda=50,50,q_diag_rows
Best Q policy (pred cost),0.339160839,0.00129774586364,9.332,71.852,Q chain forced-scout (pred cost): state_policy::forced_scout_0_max4,75,q_predicted_rows
Best Q policy (pred cost),0.356643357,0.00139659143706,10.043,75.556,Q direct (pred cost): lambda=45,45,q_diag_rows
Best Q policy (pred cost),0.360139860,0.00149542346503,10.754,76.296,Q chain flexible (pred cost): state_policy::flexible_bare_max4,100,q_predicted_rows
Best Q policy (pred cost),0.356643357,0.0015974626014,11.487,75.556,Q direct (pred cost): lambda=40,40,q_diag_rows
Best Q policy (pred cost),0.363636364,0.00160574855245,11.547,77.037,Q chain flexible (pred cost): state_policy::flexible_bare_max4,75,q_predicted_rows
Best Q policy (pred cost),0.349650350,0.00187553767133,13.487,74.074,Q chain forced-scout (pred cost): state_policy::forced_scout_0_max4,50,q_predicted_rows
Best Q policy (pred cost),0.370629371,0.00197302292308,14.188,78.519,Q chain flexible (pred cost): state_policy::flexible_bare_max4,50,q_predicted_rows
Best Q policy (pred cost),0.363636364,0.00203277186713,14.618,77.037,Q direct (pred cost): lambda=35,35,q_diag_rows
Best Q policy (pred cost),0.346153846,0.00226117258392,16.260,73.333,Q chain forced-scout (pred cost): state_policy::forced_scout_0_max4,40,q_predicted_rows
Best Q policy (pred cost),0.363636364,0.00229009694406,16.468,77.037,Q direct (pred cost): lambda=30,30,q_diag_rows
Best Q policy (pred cost),0.367132867,0.00256203907692,18.424,77.778,Q chain flexible (pred cost): state_policy::flexible_bare_max4,40,q_predicted_rows
Best Q policy (pred cost),0.356643357,0.00266587494056,19.170,75.556,Q direct (pred cost): lambda=25,25,q_diag_rows
Best Q policy (pred cost),0.353146853,0.00271322121678,19.511,74.815,Q chain forced-scout (pred cost): state_policy::forced_scout_0_max4,35,q_predicted_rows
Best Q policy (pred cost),0.377622378,0.00301653346853,21.692,80.000,Q chain flexible (pred cost): state_policy::flexible_bare_max4,35,q_predicted_rows
Best Q policy (pred cost),0.356643357,0.00318054422378,22.871,75.556,Q direct (pred cost): lambda=20,20,q_diag_rows
Best Q policy (pred cost),0.353146853,0.00346793097552,24.938,74.815,Q chain forced-scout (pred cost): state_policy::forced_scout_0_max4,30,q_predicted_rows
Best Q policy (pred cost),0.384615385,0.00375107402448,26.974,81.481,Q chain flexible (pred cost): state_policy::flexible_bare_max4,30,q_predicted_rows
