budget_pct_of_20b_cost,cap_cost,always_direct_reward,always_direct_cost_pct_of_20b,always_direct_cost_pct_of_120b,always_direct_point,cascade_reward,cascade_cost_pct_of_20b,cascade_cost_pct_of_120b,cascade_point,best_q_policy_pred_cost_reward,best_q_policy_pred_cost_cost_pct_of_20b,best_q_policy_pred_cost_cost_pct_of_120b,best_q_policy_pred_cost_point,q_direct_pred_cost_reward,q_direct_pred_cost_cost_pct_of_20b,q_direct_pred_cost_cost_pct_of_120b,q_direct_pred_cost_point,q_direct_oracle_cost_diagnostic_reward,q_direct_oracle_cost_diagnostic_cost_pct_of_20b,q_direct_oracle_cost_diagnostic_cost_pct_of_120b,q_direct_oracle_cost_diagnostic_point,oracle_route_upper_bound_reward,oracle_route_upper_bound_cost_pct_of_20b,oracle_route_upper_bound_cost_pct_of_120b,oracle_route_upper_bound_point,q_gain_vs_always,q_gain_vs_cascade,q_pct_of_20b_reward,q_pct_of_120b_reward
5.0,0.000150532979895,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.0,0.00030106595979,0.290210,8.70,1.88,scout:Qwen/Qwen3-4B-Instruct-2507,0.290210,8.70,1.88,lambda=75,,,,,,,,,,,,,,,,,,,,
25.0,0.000752664899475,0.290210,8.70,1.88,scout:Qwen/Qwen3-4B-Instruct-2507,0.290210,8.70,1.88,lambda=75,,,,,,,,,0.342657,21.07,4.56,lambda=150,0.510490,24.35,5.27,lambda=150,,,,
40.0,0.00120426383916,0.290210,8.70,1.88,scout:Qwen/Qwen3-4B-Instruct-2507,0.290210,8.70,1.88,lambda=75,0.346154,36.71,7.95,Q direct (pred cost): lambda=100,0.346154,36.71,7.95,lambda=100,0.377622,38.36,8.31,lambda=50,0.548951,38.88,8.42,lambda=60,0.055944,0.055944,89.19,73.33
50.0,0.00150532979895,0.290210,8.70,1.88,scout:Qwen/Qwen3-4B-Instruct-2507,0.290210,8.70,1.88,lambda=75,0.360140,49.67,10.75,Q chain flexible (pred cost): state_policy::flexible_bare_max4,0.356643,42.22,9.14,lambda=50,0.377622,38.36,8.31,lambda=50,0.559441,47.23,10.22,lambda=5,0.069930,0.069930,92.79,76.30
65.0,0.00195692873864,0.290210,8.70,1.88,scout:Qwen/Qwen3-4B-Instruct-2507,0.290210,8.70,1.88,lambda=75,0.363636,53.34,11.55,Q chain flexible (pred cost): state_policy::flexible_bare_max4,0.356643,42.22,9.14,lambda=50,0.377622,38.36,8.31,lambda=50,0.559441,47.23,10.22,lambda=5,0.073427,0.073427,93.69,77.04
75.0,0.00225799469843,0.290210,8.70,1.88,scout:Qwen/Qwen3-4B-Instruct-2507,0.290210,8.70,1.88,lambda=75,0.370629,65.53,14.19,Q chain flexible (pred cost): state_policy::flexible_bare_max4,0.363636,67.52,14.62,lambda=35,0.377622,38.36,8.31,lambda=50,0.559441,47.23,10.22,lambda=5,0.080420,0.080420,95.50,78.52
90.0,0.00270959363811,0.290210,8.70,1.88,scout:Qwen/Qwen3-4B-Instruct-2507,0.290210,8.70,1.88,lambda=75,0.370629,65.53,14.19,Q chain flexible (pred cost): state_policy::flexible_bare_max4,0.363636,67.52,14.62,lambda=35,0.377622,38.36,8.31,lambda=50,0.559441,47.23,10.22,lambda=5,0.080420,0.080420,95.50,78.52
100.0,0.0030106595979,0.388112,100.00,21.65,solver:openai/gpt-oss-20b,0.290210,8.70,1.88,lambda=75,0.370629,65.53,14.19,Q chain flexible (pred cost): state_policy::flexible_bare_max4,0.363636,67.52,14.62,lambda=35,0.377622,38.36,8.31,lambda=50,0.559441,47.23,10.22,lambda=5,-0.017483,0.080420,95.50,78.52
110.0,0.00331172555769,0.388112,100.00,21.65,solver:openai/gpt-oss-20b,0.374126,100.82,21.83,lambda=15,0.377622,100.20,21.69,Q chain flexible (pred cost): state_policy::flexible_bare_max4,0.363636,67.52,14.62,lambda=35,0.377622,38.36,8.31,lambda=50,0.559441,47.23,10.22,lambda=5,-0.010490,0.003497,97.30,80.00
125.0,0.00376332449738,0.388112,100.00,21.65,solver:openai/gpt-oss-20b,0.374126,100.82,21.83,lambda=15,0.384615,124.59,26.97,Q chain flexible (pred cost): state_policy::flexible_bare_max4,0.363636,67.52,14.62,lambda=35,0.377622,38.36,8.31,lambda=50,0.559441,47.23,10.22,lambda=5,-0.003497,0.010490,99.10,81.48
150.0,0.00451598939685,0.402098,143.78,31.13,solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,0.374126,100.82,21.83,lambda=15,0.384615,124.59,26.97,Q chain flexible (pred cost): state_policy::flexible_bare_max4,0.363636,67.52,14.62,lambda=35,0.377622,38.36,8.31,lambda=50,0.559441,47.23,10.22,lambda=5,-0.017483,0.010490,99.10,81.48
