lambda,best_always_policy,best_always_utility,cascade_utility,best_q_policy,best_q_utility,best_q_minus_always,best_q_minus_cascade,best_q_reward,best_q_cost
0.0,always::solver:openai/gpt-oss-120b,0.47202797202797203,0.44405594405594406,state_policy::flexible_bare_max4,0.43356643356643354,-0.03846153846153849,-0.010489510489510523,0.43356643356643354,0.011667134157342654
5.0,always::solver:openai/gpt-oss-120b,0.40249621573426575,0.34523427304195803,state_policy::forced_scout_0_max4,0.3693732366783217,-0.033122979055944024,0.024138963636363697,0.4090909090909091,0.007943534482517476
10.0,always::solver:Qwen/Qwen3-Coder-30B-A3B-Instruct,0.3588094601398601,0.31284616846153845,state_policy::flexible_bare_max4,0.3382533992657343,-0.020556060874125814,0.025407230804195824,0.4125874125874126,0.007433401332167832
15.0,always::solver:openai/gpt-oss-20b,0.34295199414335664,0.32859655265734267,state_policy::input_only_direct,0.3030347550174825,-0.03991723912587414,-0.025561797639860162,0.36363636363636365,0.0040401072412587415
20.0,always::solver:openai/gpt-oss-20b,0.32789869615384615,0.31342011216783217,state_policy::input_only_direct,0.283868859020979,-0.04402983713286712,-0.02955125314685314,0.35664335664335667,0.0036387248811188817
25.0,always::solver:openai/gpt-oss-20b,0.31284539816433565,0.29824367167832166,state_policy::input_only_direct,0.2869670002622378,-0.02587839790209784,-0.01127667141608385,0.36013986013986016,0.0029269143951048938
30.0,always::solver:openai/gpt-oss-20b,0.29779210017482516,0.28306723118881116,state_policy::input_only_direct,0.28925356139860137,-0.008538538776223792,0.006186330209790203,0.3531468531468531,0.002129776391608391
35.0,always::solver:openai/gpt-oss-20b,0.2827388021853146,0.26789079069930066,state_policy::input_only_direct,0.30316662645104897,0.020427824265734362,0.03527583575174831,0.35664335664335667,0.0015279065769230771
40.0,always::scout:Qwen/Qwen3-4B-Instruct-2507,0.2797364998601399,0.25271435020979016,state_policy::input_only_direct,0.29560263132867126,0.015866131468531386,0.0428882811188811,0.34965034965034963,0.0013511929580419587
50.0,always::scout:Qwen/Qwen3-4B-Instruct-2507,0.27711817727272725,0.22236146923076922,state_policy::input_only_direct,0.2883688358391608,0.011250658566433536,0.06600736660839157,0.3531468531468531,0.0012955603461538468
75.0,always::scout:Qwen/Qwen3-4B-Instruct-2507,0.2705723708041958,0.2705723708041958,state_policy::input_only_direct,0.25961900201048954,-0.010953368793706286,-0.010953368793706286,0.33916083916083917,0.0010605578286713283
100.0,always::scout:Qwen/Qwen3-4B-Instruct-2507,0.26402656433566435,0.26402656433566435,state_policy::input_only_direct,0.25066579615384615,-0.013360768181818194,-0.013360768181818194,0.34265734265734266,0.0009199154650349648
150.0,always::scout:Qwen/Qwen3-4B-Instruct-2507,0.2509349513986014,0.2509349513986014,state_policy::input_only_direct,0.21547052412587409,-0.035464427272727306,-0.035464427272727306,0.32517482517482516,0.000731362006993007
200.0,always::scout:Qwen/Qwen3-4B-Instruct-2507,0.2378433384615385,0.23784333846153846,state_policy::input_only_direct,0.19192561608391606,-0.04591772237762243,-0.0459177223776224,0.3111888111888112,0.0005963159755244757
